Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,CablePwrV,fDOMRFU,fDOMQSU,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCæg/L,Temp,F_Temp,ConduScm,SpCond,F_SpCond,Sal,F_Sal,nLFCondæS/cm,TDSmg/L,Turb,F_Turb,TSSmg/L,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Presspsia,Depth,F_Depth
8/30/2018,10:00, ,0,LHS,0,6.2,0,55.43,166.25,1.5,5.96,0.12,0.12,19.631,<0> (CND),8790.6,9795.2,<-5> (CND),5.53,<0> (CND),9887.6,6367,17.49,<0> (CND),0,71.8,<0> (CND),6.36,<0> (CND),7.73,<0> (CND),-64.5,1.268,0.945,<0> (CND)
8/30/2018,10:15, ,0,LHS,0,6.2,0,54.73,164.15,1.54,6.13,0.12,0.12,19.648,0,8797.6,9799.3,-5,5.53,0,9891.4,6370,18.35,0,0,70.8,0,6.28,0,7.71,0,-63.6,1.241,0.926,0
8/30/2018,10:30, ,0,LHS,0,6.2,0,55.9,167.67,1.57,6.27,0.12,0.12,19.659,0,8810.4,9811.2,-5,5.54,0,9903.4,6377,16.49,0,0,70.3,0,6.23,0,7.7,0,-63,1.215,0.908,0
8/30/2018,10:45, ,0,LHS,0,6.2,0,56.57,169.68,1.5,6,0.1,0.1,19.675,0,8828.6,9828.3,-5,5.55,0,9920.3,6388,15.43,0,0,70.5,0,6.25,0,7.7,0,-63.1,1.188,0.888,0
8/30/2018,11:00, ,0,LHS,0,6.2,0,56.67,169.99,1.5,5.99,0.14,0.14,19.715,0,8849.2,9842.7,-5,5.56,0,9934.3,6398,15.17,0,0,70.8,0,6.27,0,7.7,0,-63.2,1.162,0.87,0
8/30/2018,11:15, ,0,LHS,0,6.2,0,56.64,169.89,1.53,6.09,0.1,0.1,19.74,0,8845.9,9833.9,-5,5.55,0,9925,6392,14.36,0,0,70.2,0,6.21,0,7.69,0,-62.7,1.144,0.858,0
8/30/2018,11:30, ,0,LHS,0,6.2,0,57.01,171,1.47,5.86,0.14,0.14,19.786,0,8876.2,9857.9,-5,5.57,0,9948.6,6408,12.74,0,0,70.6,0,6.24,0,7.7,0,-63.2,1.141,0.855,0
8/30/2018,11:45, ,0,LHS,0,6.2,0,57.53,172.55,1.4,5.58,0.09,0.09,19.805,0,8888,9867.1,-5,5.57,0,9957.5,6414,10.14,0,0,69.7,0,6.16,0,7.7,0,-62.8,1.147,0.86,0
8/30/2018,12:00, ,0,LHS,0,6.2,0,57.06,171.17,1.49,5.92,0.1,0.1,19.915,0,8899.3,9856.5,-5,5.57,0,9945.2,6407,10.45,0,0,69.2,0,6.1,0,7.69,0,-62.5,1.19,0.89,0
8/30/2018,12:15, ,0,LHS,0,6.2,0,56.69,170.05,1.64,6.52,0.11,0.11,19.94,0,8894.1,9845.7,-5,5.56,0,9933.9,6400,12.49,0,0,72.4,0,6.38,0,7.72,0,-64.3,1.266,0.943,0
8/30/2018,12:30, ,0,LHS,0,6.2,0,56.92,170.73,1.57,6.24,0.09,0.1,19.752,0,8876.7,9865.5,-5,5.57,0,9956.8,6413,14.04,0,0,70.5,0,6.23,0,7.71,0,-63.7,1.365,1.013,0
8/30/2018,12:45, ,0,LHS,0,6.2,0,55.89,167.64,1.54,6.13,0.12,0.12,19.987,0,8874.6,9814.3,-5,5.54,0,9901.5,6379,14.49,0,0,74.3,0,6.54,0,7.73,0,-64.8,1.491,1.101,0
8/30/2018,13:00, ,0,LHS,0,6.2,0,53.75,161.23,1.64,6.54,0.1,0.1,20.056,0,8784.8,9700.8,-5,5.47,0,9786,6306,17.85,0,0,78.8,0,6.93,0,7.76,0,-66.5,1.629,1.199,0
8/30/2018,13:15, ,0,LHS,0,6.2,0,51.39,154.14,1.62,6.45,0.14,0.14,20.15,0,8664,9548.5,-5,5.38,0,9630.9,6207,21.97,0,0,81.5,0,7.16,0,7.77,0,-67.3,1.771,1.299,0
8/30/2018,13:30, ,0,LHS,0,6.2,0,50.43,151.27,1.63,6.5,0.16,0.16,20.326,0,8545,9382.7,-5,5.28,0,9461.1,6099,19.37,0,0,84.2,0,7.37,0,7.79,0,-68.2,1.913,1.398,0
8/30/2018,13:45, ,0,LHS,0,6.2,0,48.5,145.48,1.65,6.57,0.13,0.13,20.471,0,8308.8,9095.6,-5,5.11,0,9169.5,5912,22.27,0,0,84.5,0,7.39,0,7.78,0,-68,2.047,1.493,0
8/30/2018,14:00, ,0,LHS,0,6.2,0,47.7,143.09,1.54,6.15,0.15,0.15,20.417,0,8140.6,8921.6,-5,5,0,8994.9,5799,25.28,0,0,82.8,0,7.25,0,7.77,0,-67,2.177,1.584,0
8/30/2018,14:15, ,0,LHS,0,6.2,0,46.43,139.27,1.49,5.94,0.13,0.13,20.431,0,8146.3,8925.2,-5,5,0,8998.3,5801,22.3,0,0,81.9,0,7.17,0,7.75,0,-66.2,2.305,1.674,0
8/30/2018,14:30, ,0,LHS,0,6.2,0,46.92,140.73,1.38,5.51,0.12,0.12,20.404,0,8200.7,8989.9,-5,5.04,0,9063.9,5843,24.66,0,0,81.6,0,7.14,0,7.75,0,-66.2,2.423,1.758,0
8/30/2018,14:45, ,0,LHS,0,6.2,0,46.31,138.9,1.28,5.12,0.1,0.11,20.358,0,8218.2,9017.7,-5,5.06,0,9092.5,5861,24.33,0,0,81.2,0,7.12,0,7.75,0,-65.9,2.535,1.836,0
8/30/2018,15:00, ,0,LHS,0,6.2,0,46.1,138.27,1.29,5.13,0.11,0.11,20.384,0,8239.9,9036.6,-5,5.07,0,9111.3,5874,24.78,0,0,81.2,0,7.11,0,7.74,0,-65.4,2.63,1.903,0
8/30/2018,15:15, ,0,LHS,0,6.2,0,46.87,140.58,1.32,5.27,0.13,0.13,20.403,0,8260.3,9055.5,-5,5.08,0,9130.1,5886,20.03,0,0,80.6,0,7.06,0,7.73,0,-64.6,2.715,1.963,0
8/30/2018,15:30, ,0,LHS,0,6.2,0,46.91,140.7,1.32,5.25,0.09,0.09,20.412,0,8271.9,9066.4,-5,5.09,0,9141,5893,19.84,0,0,80.2,0,7.02,0,7.71,0,-63.8,2.784,2.011,0
8/30/2018,15:45, ,0,LHS,0,6.2,0,47.03,141.05,1.29,5.13,0.1,0.1,20.388,0,8276.2,9075.6,-5,5.09,0,9150.6,5899,20.11,0,0,79.5,0,6.96,0,7.7,0,-63.3,2.839,2.05,0
8/30/2018,16:00, ,0,LHS,0,6.2,0,47.6,142.77,1.28,5.1,0.1,0.1,20.417,0,8283.4,9077.9,-5,5.09,0,9152.5,5901,18.25,0,0,79.1,0,6.93,0,7.7,0,-63,2.891,2.087,0
8/30/2018,16:15, ,0,LHS,0,6.2,0,47.78,143.32,1.27,5.04,0.11,0.11,20.421,0,8285.8,9079.9,-5,5.1,0,9154.4,5902,17.23,0,0,78.5,0,6.87,0,7.69,0,-62.4,2.933,2.116,0
8/30/2018,16:30, ,0,LHS,0,6.2,0,47.7,143.09,1.24,4.94,0.13,0.13,20.419,0,8281.1,9075.1,-5,5.09,0,9149.6,5899,16.72,0,0,78,0,6.83,0,7.68,0,-62.2,2.969,2.141,0
8/30/2018,16:45, ,0,LHS,0,6.2,0,47.63,142.86,1.17,4.68,0.1,0.1,20.441,0,8280.3,9070.2,-5,5.09,0,9144.3,5896,18.7,0,0,78,0,6.82,0,7.68,0,-62.1,2.989,2.156,0
8/30/2018,17:00, ,0,LHS,0,6.2,0,47.61,142.82,1.15,4.6,0.09,0.09,20.435,0,8271.5,9061.6,-5,5.08,0,9135.8,5890,16.23,0,0,77.5,0,6.78,0,7.68,0,-61.7,2.993,2.158,0
8/30/2018,17:15, ,0,LHS,0,6.2,0,47.9,143.68,1.1,4.38,0.04,0.04,20.451,0,8274,9061.3,-5,5.08,0,9135.2,5890,13.52,0,0,76.3,0,6.67,0,7.67,0,-61.6,2.987,2.154,0
8/30/2018,17:30, ,0,LHS,0,6.2,0,47.84,143.48,1.12,4.46,0.08,0.08,20.457,0,8273.9,9060.1,-5,5.08,0,9133.9,5889,13.09,0,0,71.4,0,6.24,0,7.64,0,-59.4,2.978,2.147,0
8/30/2018,17:45, ,0,LHS,0,6.2,0,47.7,143.07,1.25,4.97,0.1,0.1,20.449,0,8271.2,9058.6,-5,5.08,0,9132.5,5888,15.54,0,0,77.5,0,6.78,0,7.68,0,-61.9,2.957,2.133,0
8/30/2018,18:00, ,0,LHS,0,6.2,0,47.32,141.95,1.27,5.07,0.1,0.1,20.42,0,8266.7,9059.3,-5,5.08,0,9133.6,5889,15.02,0,0,79.3,0,6.94,0,7.69,0,-62.6,2.926,2.111,0
8/30/2018,18:15, ,0,LHS,0,6.2,0,47.63,142.85,1.21,4.8,0.09,0.09,20.424,0,8266.6,9058.3,-5,5.08,0,9132.6,5888,17.06,0,0,79.6,0,6.97,0,7.69,0,-62.7,2.883,2.081,0
8/30/2018,18:30, ,0,LHS,0,6.2,0,46.85,140.53,1.26,5.02,0.12,0.12,20.388,0,8271.1,9070,-5,5.09,0,9144.9,5896,16.72,0,0,78.6,0,6.88,0,7.69,0,-62.4,2.819,2.036,0
8/30/2018,18:45, ,0,LHS,0,6.2,0,47.42,142.23,1.28,5.11,0.11,0.11,20.382,0,8270.3,9070.4,-5,5.09,0,9145.4,5896,24.42,0,0,78.8,0,6.9,0,7.69,0,-62.6,2.74,1.98,0
