Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,CablePwrV,Turb,F_Turb,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Temp,F_Temp,SpCond,Sal,F_Sal,fDOMRFU,fDOMQSU,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCµg/L,WiperPosV,Pressbara,Depth,F_Depth
7/20/2017,15:30, ,0,LHS,0,6.3,0,47.04,<0> (CND),77.5,<0> (CND),6.67,<0> (CND),7.75,<0> (CND),-55.6,22.42,<0> (CND),2836.1,1.47,<0> (CND),33.58,101.17,1.46,5.82,0.34,0.31,1.225,0.1353,1.402,<0> (CND)
7/20/2017,15:45, ,0,LHS,0,6.3,0,52.83,0,76.4,0,6.57,0,7.75,0,-55.8,22.445,0,2837,1.47,0,33.96,102.31,1.48,5.89,0.31,0.27,1.222,0.1284,1.332,0
7/20/2017,16:00, ,0,LHS,0,6.3,0,49.76,0,75.6,0,6.5,0,7.75,0,-55.6,22.461,0,2842.5,1.48,0,34.23,103.14,1.48,5.89,0.26,0.23,1.226,0.1217,1.264,0
7/20/2017,16:15, ,0,LHS,0,6.3,0,53.12,0,75.4,0,6.48,0,7.75,0,-55.9,22.483,0,2849,1.48,0,34.51,103.97,1.52,6.03,0.33,0.29,1.227,0.1159,1.204,0
7/20/2017,16:30, ,0,LHS,0,6.3,0,48.08,0,75.3,0,6.48,0,7.76,0,-56.3,22.455,0,2870.8,1.49,0,35.13,105.83,1.53,6.11,0.31,0.27,1.229,0.1105,1.149,0
7/20/2017,16:45, ,0,LHS,0,6.3,0,48.1,0,74.9,0,6.43,0,7.76,0,-56.2,22.448,0,2897.7,1.51,0,35.92,108.19,1.59,6.32,0.34,0.3,1.229,0.1058,1.101,0
7/20/2017,17:00, ,0,LHS,0,6.3,0,51.49,0,74.5,0,6.4,0,7.76,0,-56.2,22.44,0,2930.8,1.53,0,36.47,109.84,1.61,6.41,0.31,0.27,1.23,0.1019,1.061,0
7/20/2017,17:15, ,0,LHS,0,6.3,0,37.92,0,74,0,6.36,0,7.75,0,-56,22.418,0,2962.6,1.54,0,37.39,112.61,1.63,6.49,0.33,0.3,1.231,0.0997,1.039,0
7/20/2017,17:30, ,0,LHS,0,6.3,0,35.85,0,73.4,0,6.31,0,7.75,0,-55.8,22.395,0,2994,1.56,0,38.55,116.08,1.66,6.62,0.33,0.3,1.232,0.099,1.031,0
7/20/2017,17:45, ,0,LHS,0,6.3,0,37.8,0,72.8,0,6.26,0,7.75,0,-55.7,22.382,0,3013.9,1.57,0,39.32,118.39,1.73,6.9,0.29,0.25,1.222,0.0996,1.038,0
7/20/2017,18:00, ,0,LHS,0,6.3,0,36.93,0,73.4,0,6.32,0,7.75,0,-56.1,22.335,0,3000.1,1.56,0,38.81,116.88,1.75,6.95,0.3,0.26,1.215,0.1026,1.068,0
7/20/2017,18:15, ,0,LHS,0,6.3,0,37.12,0,74.1,0,6.37,0,7.76,0,-56.6,22.418,0,2987.1,1.56,0,39.18,117.98,1.74,6.95,0.32,0.28,1.216,0.1068,1.112,0
7/20/2017,18:30, ,0,LHS,0,6.3,0,37.72,0,73.6,0,6.33,0,7.76,0,-56.5,22.42,0,2992.5,1.56,0,39.05,117.6,1.73,6.9,0.27,0.24,1.229,0.1126,1.17,0
7/20/2017,18:45, ,0,LHS,0,6.3,0,39.28,0,74.5,0,6.4,0,7.77,0,-57.1,22.472,0,2935.4,1.53,0,37.85,113.99,1.68,6.69,0.29,0.26,1.228,0.1198,1.244,0
7/20/2017,19:00, ,0,LHS,0,6.3,0,42.89,0,77.2,0,6.61,0,7.8,0,-58.7,22.63,0,2901.6,1.51,0,35.52,107.01,1.66,6.63,0.34,0.31,1.218,0.1274,1.322,0
7/20/2017,19:15, ,0,LHS,0,6.3,0,58.54,0,79.2,0,6.76,0,7.81,0,-59.6,22.831,0,2885.2,1.5,0,34.48,103.88,1.67,6.65,0.35,0.31,1.216,0.1356,1.406,0
7/20/2017,19:30, ,0,LHS,0,6.3,0,34.92,0,79.9,0,6.81,0,7.82,0,-59.9,22.868,0,2871.4,1.49,0,35.26,106.21,1.65,6.57,0.35,0.32,1.227,0.1438,1.49,0
7/20/2017,19:45, ,0,LHS,0,6.3,0,46.6,0,80.2,0,6.84,0,7.82,0,-59.9,22.832,0,2864.5,1.49,0,34.58,104.19,1.62,6.44,0.36,0.33,1.232,0.1525,1.579,0
7/20/2017,20:00, ,0,LHS,0,6.3,0,50.21,0,79.9,0,6.82,0,7.81,0,-59.6,22.814,0,2859.7,1.49,0,34.09,102.71,1.6,6.38,0.36,0.33,1.223,0.1612,1.667,0
7/20/2017,20:15, ,0,LHS,0,6.3,0,43.63,0,79.2,0,6.77,0,7.8,0,-59,22.789,0,2856,1.48,0,34.06,102.61,1.49,5.94,0.34,0.3,1.217,0.1698,1.756,0
7/20/2017,20:30, ,0,LHS,0,6.3,0,47.32,0,78.9,0,6.74,0,7.79,0,-58.6,22.773,0,2856.4,1.48,0,32.72,98.6,1.47,5.85,0.33,0.3,1.215,0.1784,1.844,0
7/20/2017,20:45, ,0,LHS,0,6.3,0,46.75,0,79,0,6.75,0,7.79,0,-58.4,22.721,0,2858.6,1.49,0,32.95,99.3,1.45,5.76,0.34,0.31,1.22,0.1868,1.93,0
7/20/2017,21:00, ,0,LHS,0,6.3,0,49.94,0,78.9,0,6.76,0,7.79,0,-58.1,22.632,0,2862.4,1.49,0,32.27,97.26,1.39,5.53,0.33,0.3,1.223,0.1947,2.011,0
7/20/2017,21:15, ,0,LHS,0,6.2,0,49.42,0,79,0,6.77,0,7.79,0,-58.1,22.579,0,2865.8,1.49,0,31.82,95.91,1.42,5.65,0.32,0.29,1.222,0.2025,2.091,0
7/20/2017,21:30, ,0,LHS,0,6.3,0,51.11,0,79.1,0,6.79,0,7.78,0,-57.9,22.506,0,2872,1.49,0,31.05,93.59,1.39,5.52,0.37,0.34,1.22,0.2095,2.162,0
7/20/2017,21:45, ,0,LHS,0,6.2,0,66.86,0,79.2,0,6.8,0,7.78,0,-57.7,22.448,0,2876.5,1.5,0,30.57,92.14,1.38,5.49,0.33,0.3,1.217,0.2157,2.225,0
7/20/2017,22:00, ,0,LHS,0,6.2,0,54.95,0,79.1,0,6.81,0,7.77,0,-57.4,22.402,0,2882.5,1.5,0,29.99,90.41,1.35,5.35,0.28,0.25,1.215,0.221,2.28,0
7/20/2017,22:15, ,0,LHS,0,6.2,0,55.81,0,79.2,0,6.82,0,7.77,0,-57.2,22.372,0,2886.7,1.5,0,29.67,89.45,1.29,5.14,0.3,0.27,1.223,0.2253,2.324,0
7/20/2017,22:30, ,0,LHS,0,6.2,0,58.32,0,79.4,0,6.83,0,7.77,0,-56.9,22.368,0,2895.2,1.51,0,29.13,87.83,1.25,4.96,0.31,0.28,1.234,0.2285,2.356,0
7/20/2017,22:45, ,0,LHS,0,6.2,0,57.36,0,79.5,0,6.84,0,7.76,0,-56.5,22.365,0,2902.2,1.51,0,28.74,86.66,1.24,4.93,0.31,0.28,1.23,0.2309,2.381,0
7/20/2017,23:00, ,0,LHS,0,6.2,0,54.55,0,79.6,0,6.86,0,7.76,0,-56.4,22.357,0,2908.9,1.51,0,28.55,86.1,1.22,4.86,0.32,0.29,1.221,0.233,2.402,0
7/20/2017,23:15, ,0,LHS,0,6.2,0,57.6,0,79.8,0,6.87,0,7.75,0,-56,22.379,0,2921.3,1.52,0,28.09,84.72,1.2,4.75,0.33,0.3,1.224,0.2346,2.419,0
