Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,Turb,F_Turb,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Temp,F_Temp,CondmS/cm,SpCond,F_SpCond,Sal,F_Sal,fDOMRFU,fDOMQSU,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCµg/L,Chlorophyllraw,BGA-PCraw,Depth,F_Depth,WiperPosV
6/8/2017,14:45, ,0,LHS,0,5.8,48.49,0,72.9,0,6.59,0,7.8,0,-53.8,19.974,0,1.7426,1.9277,0,0.98,0,28.19,82.17,1.88,7.37,0.35,0.38,1.8,-0.06,2.078,0,1.221
6/8/2017,15:00, ,0,LHS,0,5.8,47.44,0,72.5,0,6.56,0,7.8,0,-54,19.978,0,1.742,1.9268,0,0.98,0,28.58,83.36,1.87,7.33,0.33,0.36,1.79,-0.08,2.059,0,1.226
6/8/2017,15:15, ,0,LHS,0,5.8,61,0,72.2,0,6.53,0,7.81,0,-54.3,19.989,0,1.7509,1.9362,0,0.99,0,28.61,83.43,1.82,7.15,0.35,0.38,1.74,-0.06,2.032,0,1.218
6/8/2017,15:30, ,0,LHS,0,5.8,48.66,0,72.1,0,6.52,0,7.81,0,-54.3,19.981,0,1.7471,1.9323,0,0.99,0,28.76,83.89,2.02,7.94,0.36,0.39,1.94,-0.05,1.996,0,1.223
6/8/2017,15:45, ,0,LHS,0,5.8,46.98,0,72.1,0,6.51,0,7.81,0,-54.8,20.052,0,1.7621,1.9461,0,0.99,0,29.01,84.62,1.92,7.53,0.32,0.35,1.84,-0.09,1.953,0,1.218
6/8/2017,16:00, ,0,LHS,0,5.8,48.28,0,71,0,6.42,0,7.81,0,-54.7,19.999,0,1.7691,1.9559,0,1,0,29.09,84.88,1.9,7.48,0.34,0.38,1.83,-0.06,1.903,0,1.223
6/8/2017,16:15, ,0,LHS,0,5.8,50.12,0,70.9,0,6.41,0,7.82,0,-54.9,20.006,0,1.7736,1.9606,0,1,0,28.98,84.54,1.88,7.38,0.32,0.35,1.8,-0.09,1.849,0,1.219
6/8/2017,16:30, ,0,LHS,0,5.8,48.73,0,70.7,0,6.39,0,7.82,0,-55,20.022,0,1.7842,1.9717,0,1.01,0,29.14,85.01,1.79,7.03,0.35,0.38,1.71,-0.06,1.79,0,1.223
6/8/2017,16:45, ,0,LHS,0,5.8,49.43,0,70.6,0,6.38,0,7.82,0,-55.1,20.037,0,1.7899,1.9773,0,1.01,0,29.26,85.37,1.9,7.47,0.33,0.36,1.83,-0.08,1.728,0,1.22
6/8/2017,17:00, ,0,LHS,0,5.8,50.87,0,70.4,0,6.35,0,7.82,0,-55.2,20.056,0,1.798,1.9855,0,1.01,0,29.35,85.66,1.79,7.01,0.34,0.37,1.71,-0.07,1.667,0,1.223
6/8/2017,17:15, ,0,LHS,0,5.8,49.43,0,70,0,6.32,0,7.82,0,-55.2,20.05,0,1.808,1.9968,0,1.02,0,29.45,85.96,1.82,7.15,0.32,0.35,1.74,-0.09,1.603,0,1.219
