Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,Turb,F_Turb,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Temp,F_Temp,CondmS/cm,SpCond,F_SpCond,Sal,F_Sal,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCµg/L,Chlorophyllraw,BGA-PCraw,fDOMRFU,fDOMQSU,WiperPosV,Depth,F_Depth
4/13/2018,10:15, ,0,LHS,0,5.6,57.7,0,67.2,0,6.58,0,7.62,0,-66.3,16.036,0,1.7044,2.0564,0,1.06,0,1.6,6.39,0.37,0.37,1.55,-0.06,32.72,98.12,1.225,1.576,0
4/13/2018,10:30, ,0,LHS,0,5.6,56.72,0,66.4,0,6.49,0,7.62,0,-66.4,16.169,0,1.7392,2.092,0,1.08,0,1.58,6.28,0.38,0.38,1.52,-0.05,33.6,100.75,1.222,1.662,0
4/13/2018,10:45, ,0,LHS,0,5.6,61.53,0,65.8,0,6.42,0,7.62,0,-66.7,16.205,0,1.7419,2.0936,0,1.08,0,1.56,6.23,0.35,0.35,1.51,-0.08,33.29,99.83,1.226,1.747,0
4/13/2018,11:00, ,0,LHS,0,5.6,53.45,0,65.8,0,6.42,0,7.63,0,-66.9,16.297,0,1.7418,2.0891,0,1.07,0,1.57,6.27,0.37,0.37,1.52,-0.06,33.36,100.04,1.217,1.822,0
4/13/2018,11:15, ,0,LHS,0,5.6,63.36,0,65.8,0,6.41,0,7.63,0,-66.9,16.378,0,1.7488,2.0936,0,1.08,0,1.54,6.12,0.33,0.34,1.48,-0.09,33.42,100.22,1.222,1.891,0
4/13/2018,11:30, ,0,LHS,0,5.6,67.37,0,65.6,0,6.37,0,7.62,0,-66.7,16.465,0,1.7648,2.1085,0,1.08,0,1.54,6.13,0.32,0.32,1.48,-0.11,33.35,99.99,1.217,1.947,0
4/13/2018,11:45, ,0,LHS,0,5.6,53.65,0,65.4,0,6.35,0,7.62,0,-66.4,16.52,0,1.7881,2.1338,0,1.1,0,1.57,6.25,0.37,0.37,1.51,-0.06,33.39,100.11,1.223,1.997,0
4/13/2018,12:00, ,0,LHS,0,5.6,90.35,0,65.5,0,6.34,0,7.62,0,-66.4,16.604,0,1.8077,2.153,0,1.11,0,1.62,6.43,0.35,0.35,1.56,-0.08,33.55,100.59,1.219,2.035,0
4/13/2018,12:15, ,0,LHS,0,5.6,53.97,0,65.2,0,6.31,0,7.62,0,-66.4,16.64,0,1.822,2.1682,0,1.12,0,1.61,6.43,0.34,0.35,1.56,-0.08,33.76,101.24,1.225,2.065,0
4/13/2018,12:30, ,0,LHS,0,5.6,56.18,0,65.1,0,6.29,0,7.62,0,-66.3,16.674,0,1.8346,2.1815,0,1.12,0,1.61,6.39,0.33,0.33,1.55,-0.1,33.81,101.39,1.219,2.082,0
4/13/2018,12:45, ,0,LHS,0,5.6,51.65,0,64.4,0,6.23,0,7.61,0,-66.2,16.649,0,1.844,2.1939,0,1.13,0,1.59,6.33,0.36,0.36,1.53,-0.07,34.02,102.01,1.223,2.084,0
4/13/2018,13:00, ,0,LHS,0,5.6,45.21,0,57.2,0,5.53,0,7.58,0,-64.1,16.65,0,1.8462,2.1965,0,1.13,0,1.52,6.07,0.34,0.34,1.47,-0.09,35.6,106.74,1.219,2.074,0
4/13/2018,13:15, ,0,LHS,0,5.6,54.82,0,64.4,0,6.21,0,7.62,0,-66.2,16.763,0,1.852,2.1977,0,1.13,0,1.62,6.45,0.33,0.33,1.56,-0.09,34.52,103.51,1.224,2.047,0
4/13/2018,13:30, ,0,LHS,0,5.6,54.45,0,64.6,0,6.23,0,7.62,0,-66.4,16.762,0,1.8483,2.1934,0,1.13,0,1.58,6.3,0.32,0.32,1.52,-0.11,34.42,103.2,1.222,2.006,0
4/13/2018,13:45, ,0,LHS,0,5.6,54.08,0,64.9,0,6.25,0,7.61,0,-65.9,16.817,0,1.8395,2.1803,0,1.12,0,1.57,6.25,0.29,0.29,1.51,-0.14,34.32,102.9,1.225,1.954,0
4/13/2018,14:00, ,0,LHS,0,5.6,56.51,0,64.4,0,6.21,0,7.61,0,-65.7,16.743,0,1.8285,2.1709,0,1.12,0,1.56,6.23,0.29,0.29,1.51,-0.14,34.27,102.75,1.222,1.891,0
4/13/2018,14:15, ,0,LHS,0,5.6,55.98,0,64.9,0,6.26,0,7.61,0,-66.1,16.789,0,1.8179,2.1561,0,1.11,0,1.55,6.17,0.28,0.28,1.49,-0.15,33.84,101.47,1.225,1.821,0
4/13/2018,14:30, ,0,LHS,0,5.6,60.08,0,65.2,0,6.28,0,7.61,0,-66.2,16.803,0,1.7982,2.132,0,1.1,0,1.55,6.18,0.33,0.33,1.49,-0.1,33.76,101.23,1.222,1.746,0
4/13/2018,14:45, ,0,LHS,0,5.6,55.6,0,65.4,0,6.3,0,7.62,0,-66.5,16.871,0,1.7905,2.1195,0,1.09,0,1.5,5.99,0.31,0.32,1.45,-0.11,33.54,100.57,1.225,1.667,0
4/13/2018,15:00, ,0,LHS,0,5.6,55.82,0,65.7,0,6.32,0,7.62,0,-66.7,16.903,0,1.7799,2.1056,0,1.08,0,1.52,6.04,0.31,0.31,1.46,-0.12,33.26,99.74,1.221,1.59,0
