Site,Bottle,datetime,Deployment,ID,EC_uScm,pH,Turbidity_ntu,TP_mgL,TDP_mgL,PO4P_mgL,TN_mgL,TDN_mgL,DON_mgL,NH4N_mgL,NO3N_mgL,DOC_mgL,TSS_mgL,VSS_mgL,ID2,datetime_DLS
SD,1,2017-06-12T18:00:00Z,1,CMP 25,2.56,7.73,84.1,0.68,0.242,0.131,3.02,2.8,2.26,0.01,0.53,35.1,94,20.2,25,2017-06-12T18:00:00Z
SD,2,2017-06-12T19:00:00Z,1,CMP 26,2.59,8.05,121,1.034,0.266,0.195,3.88,3.02,2.15,0.04,0.83,27.1,118.2,22.5,26,2017-06-12T19:00:00Z
SD,3,2017-06-12T20:00:00Z,1,CMP 27,2.58,7.76,126.1,0.961,0.186,0.112,3.56,2.63,2.17,0.02,0.44,32,120.9,25.2,27,2017-06-12T20:00:00Z
SD,4,2017-06-12T21:00:00Z,1,CMP 28,2.58,7.56,109.7,0.933,0.168,0.095,3.59,2.48,2.12,0.02,0.35,34.9,102.7,23.2,28,2017-06-12T21:00:00Z
SD,5,2017-06-12T22:00:00Z,1,CMP 29,1.91,7.98,105.5,0.768,0.407,0.314,3.11,2.9,1.57,0.02,1.31,27,93.7,18.1,29,2017-06-12T22:00:00Z
SD,6,2017-06-12T23:00:00Z,1,CMP 30,1.82,7.87,88.8,0.703,0.438,0.37,2.93,2.64,1.43,0.02,1.2,14.2,74,11.5,30,2017-06-12T23:00:00Z
SD,7,2017-06-13T00:00:00Z,1,CMP 31,1.68,8.29,70.1,0.602,0.444,0.319,2.59,2.41,1.37,0.03,1.02,12.7,61.9,10.5,31,2017-06-13T00:00:00Z
SD,8,2017-06-13T01:00:00Z,1,CMP 32,1.66,8,104,0.639,0.34,0.304,2.49,2.37,1.37,0.05,0.96,13.8,94.4,14.4,32,2017-06-13T01:00:00Z
SD,9,2017-06-13T02:00:00Z,1,CMP 33,1.67,8.27,118,0.793,0.371,0.316,2.78,2.35,1.33,0.02,1,12.8,102.3,15.4,33,2017-06-13T02:00:00Z
SD,10,2017-06-13T03:00:00Z,1,CMP 34,1.76,7.89,99.3,0.685,0.371,0.314,2.92,2.72,1.65,0.01,1.07,14.9,83.9,13.6,34,2017-06-13T03:00:00Z
SD,11,2017-06-13T04:00:00Z,1,CMP 35,1.81,7.65,79.3,0.713,0.383,0.34,3.03,2.58,1.46,0.02,1.11,17.9,72.5,13.5,35,2017-06-13T04:00:00Z
SD,12,2017-06-13T05:00:00Z,1,CMP 36,1.92,7.6,76.9,0.749,0.42,0.356,3.18,2.96,1.75,0.01,1.2,20.3,76.2,13.4,36,2017-06-13T05:00:00Z
SD,13,2017-06-13T06:00:00Z,1,CMP 37,1.95,7.98,73.3,0.758,0.401,0.362,3.1,2.69,1.46,0.04,1.18,17.5,65.3,11.3,37,2017-06-13T06:00:00Z
SD,14,2017-06-12T07:00:00Z,1,CMP 38,1.94,7.52,72.8,0.694,0.426,0.361,2.89,2.7,1.41,0.02,1.26,24.1,64.8,12.6,38,2017-06-12T07:00:00Z
SD,15,2017-06-12T08:00:00Z,1,CMP 39,1.81,7.96,70.7,0.657,0.408,0.359,3.15,3.07,1.87,0.04,1.16,16.7,65.3,10.7,39,2017-06-12T08:00:00Z
SD,16,2017-06-12T09:00:00Z,1,CMP 40,1.69,7.38,58.6,0.602,0.371,0.307,3.02,2.86,1.78,0.03,1.04,27,55.8,11.5,40,2017-06-12T09:00:00Z
SD,17,2017-06-12T10:00:00Z,1,CMP 41,1.6,7.82,72,0.593,0.309,0.275,2.77,2.49,1.58,0.04,0.87,15.1,71.8,11.1,41,2017-06-12T10:00:00Z
SD,18,2017-06-12T11:00:00Z,1,CMP 42,1.59,7.87,68.7,0.556,0.309,0.275,3.2,2.56,1.66,0.05,0.85,13.7,63.8,9.2,42,2017-06-12T11:00:00Z
SD,19,2017-06-12T12:00:00Z,1,CMP 43,1.62,7.39,79.2,0.538,0.34,0.272,2.62,2.55,1.65,0.02,0.88,23.7,71.4,12.8,43,2017-06-12T12:00:00Z
SD,20,2017-06-12T13:00:00Z,1,CMP 44,1.63,7.4,76.5,0.611,0.365,0.283,3.22,3.15,2.2,0.04,0.91,25.5,76,14,44,2017-06-12T13:00:00Z
SD,21,2017-06-12T14:00:00Z,1,CMP 45,1.72,7.86,90.5,0.685,0.371,0.319,3.08,2.96,1.91,0.04,1.01,26.8,82.8,16.3,45,2017-06-12T14:00:00Z
SD,1,2017-06-21T18:50:00Z,2,CMP 152,1.79,7.88,91.4,0.782,0.414,0.362,2.31,1.93,0.74,0.02,1.17,12.6,73.6,11.2,152,2017-06-21T18:45:00Z
SD,2,2017-06-21T19:50:00Z,2,CMP 153,1.62,7.92,191,1.23,0.388,0.331,2.25,1.69,0.55,0.01,1.12,11.2,170.2,23.7,153,2017-06-21T19:45:00Z
SD,3,2017-06-21T20:50:00Z,2,CMP 154,1.6,7.75,139,0.811,0.329,0.302,2.12,1.48,0.65,0,0.83,13.6,127.9,21.6,154,2017-06-21T20:45:00Z
SD,4,2017-06-21T21:50:00Z,2,CMP 155,1.71,7.58,95.1,0.706,0.363,0.311,2.02,1.78,0.8,0.02,0.96,16.2,70.5,11.4,155,2017-06-21T21:45:00Z
SD,5,2017-06-21T22:50:00Z,2,CMP 156,1.79,8.01,112,0.849,0.458,0.396,2.37,2.18,0.74,0.02,1.42,13.3,85.4,13.2,156,2017-06-21T22:45:00Z
SD,6,2017-06-21T23:50:00Z,2,CMP 157,1.97,8.01,108,0.916,0.528,0.428,2.7,2.37,0.79,0.02,1.57,14.2,83.2,14,157,2017-06-21T23:45:00Z
SD,7,2017-06-22T00:50:00Z,2,CMP 158,2.34,7.93,111,1.03,0.471,0.394,3.14,2.44,0.99,0.02,1.43,18.5,96,18,158,2017-06-22T00:45:00Z
SD,8,2017-06-22T01:50:00Z,2,CMP 159,2.48,7.74,108,0.982,0.426,0.352,3.14,2.27,1.07,0.02,1.18,21.1,87.6,14.8,159,2017-06-22T01:45:00Z
SD,9,2017-06-22T02:50:00Z,2,CMP 160,2.15,7.77,105,0.916,0.471,0.388,2.55,2.25,0.86,0.02,1.36,17.3,88,14.9,160,2017-06-22T02:45:00Z
SD,10,2017-06-22T03:50:00Z,2,CMP 161,1.87,7.89,92.4,0.849,0.496,0.409,2.24,2.06,0.62,0.03,1.42,13.9,87.3,14,161,2017-06-22T03:45:00Z
SD,11,2017-06-22T04:50:00Z,2,CMP 162,1.67,7.55,91.5,0.678,0.319,0.266,1.84,1.37,0.57,0.01,0.79,13.1,85.4,13.8,162,2017-06-22T04:45:00Z
SD,12,2017-06-22T05:50:00Z,2,CMP 163,1.51,7.6,81.1,0.544,0.268,0.224,1.48,1.21,0.5,0.01,0.7,11.3,74.7,10.2,163,2017-06-22T05:45:00Z
SD,13,2017-06-22T06:50:00Z,2,CMP 164,1.41,7.68,85.7,0.487,0.236,0.192,1.26,1.08,0.48,0.01,0.59,10.2,79.8,13.4,164,2017-06-22T06:45:00Z
SD,14,2017-06-21T07:50:00Z,2,CMP 165,1.5,7.56,93.2,0.592,0.249,0.186,1.43,1.07,0.52,0.01,0.54,11.2,85.9,14.9,165,2017-06-21T07:45:00Z
SD,15,2017-06-21T08:50:00Z,2,CMP 166,1.44,7.64,115,0.621,0.287,0.244,1.45,1.27,0.56,0.02,0.7,10.7,92.2,16.2,166,2017-06-21T08:45:00Z
SD,16,2017-06-21T09:50:00Z,2,CMP 167,1.5,7.53,86.2,0.592,0.287,0.23,1.59,1.3,0.52,0.02,0.76,11.9,70,13.3,167,2017-06-21T09:45:00Z
SD,17,2017-06-21T10:50:00Z,2,CMP 168,1.67,7.74,90.5,0.678,0.388,0.314,1.85,1.72,0.63,0.02,1.08,11.6,72.6,13,168,2017-06-21T10:45:00Z
SD,18,2017-06-21T11:50:00Z,2,CMP 169,1.9,7.88,114,0.868,0.484,0.37,2.29,2.06,0.73,0.03,1.31,14,95.7,14.3,169,2017-06-21T11:45:00Z
SD,19,2017-06-21T12:50:00Z,2,CMP 170,2.37,7.7,101,0.973,0.401,0.329,2.24,2.15,0.99,0.02,1.14,19.7,89,17,170,2017-06-21T12:45:00Z
SD,20,2017-06-21T13:50:00Z,2,CMP 171,2.53,7.58,90.4,0.932,0.395,0.311,2.58,2.14,1.08,0.02,1.04,22.8,69,16.2,171,2017-06-21T13:45:00Z
SD,21,2017-06-21T14:50:00Z,2,CMP 172,2.82,7.54,137,1.172,0.363,0.284,2.92,2.17,1.23,0.01,0.93,24.5,114.7,21.8,172,2017-06-21T14:45:00Z
SD,22,2017-06-21T15:50:00Z,2,CMP 173,3,7.81,150,1.239,0.426,0.319,2.74,2.55,1.51,0.15,0.89,33.2,127.1,25.6,173,2017-06-21T15:45:00Z
SD,23,2017-06-21T16:50:00Z,2,CMP 174,3.21,7.5,155,1.286,0.344,0.263,3.01,2.36,1.51,0.17,0.68,36.5,103.7,22.3,174,2017-06-21T16:45:00Z
SD,24,2017-06-21T17:50:00Z,2,CMP 175,2.03,7.75,160,1.267,0.604,0.523,2.76,2.65,0.75,0.02,1.88,15.4,157.8,25.7,175,2017-06-21T17:45:00Z
SD,1,2017-07-17T20:02:00Z,3,CMP 252,2.79,8.29,122,0.915,0.508,0.471,2.95,2.28,0.53,0.03,1.71,11.3,121.9,16.5,252,2017-07-17T20:00:00Z
SD,2,2017-07-17T21:02:00Z,3,CMP 253,2.76,8.23,144,0.951,0.515,0.478,3.22,2.32,0.54,0.01,1.77,11.7,126,17.1,253,2017-07-17T21:00:00Z
SD,3,2017-07-17T22:02:00Z,3,CMP 254,2.82,8.2,154,1.045,0.541,0.502,3.62,2.48,0.56,0.02,1.91,12.2,130.7,18.5,254,2017-07-17T22:00:00Z
SD,4,2017-07-17T23:02:00Z,3,CMP 255,2.84,8.1,127,0.868,0.53,0.492,3.15,2.43,0.57,0.01,1.85,13.2,99.6,12.6,255,2017-07-17T23:00:00Z
SD,5,2017-07-18T00:02:00Z,3,CMP 256,2.82,8.22,112,0.776,0.538,0.5,3.25,2.53,0.63,0.02,1.88,12.5,97.4,13.2,256,2017-07-18T00:00:00Z
