Site,Bottle,datetime,Deployment,ID,EC_uScm,pH,Turbidity_ntu,TP_mgL,TDP_mgL,PO4P_mgL,TN_mgL,TDN_mgL,DON_mgL,NH4N_mgL,NO3N_mgL,DOC_mgL,TSS_mgL,VSS_mgL,ID2,datetime_DLS,Yr
FM,6,2017-08-28T16:02:00Z,6,CMP 593,7.41,8.29,71.5,0.561,0.304,0.186,2.08,1.49,0.68,0.03,0.78,8.6,58.6,8.2,593,2017-08-28T16:00:00Z,2017
FM,7,2017-08-28T17:02:00Z,6,CMP 594,7.58,8.33,50.4,0.487,0.283,0.192,1.83,1.43,0.68,0.02,0.73,8.2,38.3,6.8,594,2017-08-28T17:00:00Z,2017
FM,8,2017-08-28T18:02:00Z,6,CMP 595,8.07,8.16,52.3,0.241,0.109,0.051,1.37,0.82,0.56,0.02,0.24,7,28.7,7.1,595,2017-08-28T18:00:00Z,2017
FM,9,2017-08-28T19:02:00Z,6,CMP 596,8.03,8.09,45.5,0.198,0.058,0.02,1.32,0.68,0.52,0.03,0.14,6.8,29.9,5.9,596,2017-08-28T19:00:00Z,2017
FM,10,2017-08-28T20:02:00Z,6,CMP 597,8.02,8.19,33.7,0.333,0.15,0.081,1.57,0.95,0.54,0.03,0.38,7,28.1,3.9,597,2017-08-28T20:00:00Z,2017
FM,11,2017-08-28T21:02:00Z,6,CMP 598,7.89,8.13,59.2,0.376,0.14,0.069,1.45,0.93,0.57,0.03,0.33,7.2,56.6,7.2,598,2017-08-28T21:00:00Z,2017
FM,12,2017-08-28T22:02:00Z,6,CMP 599,7.97,8.14,47.3,0.235,0.092,0.038,1.39,0.75,0.51,0.03,0.21,6.9,42.3,9.5,599,2017-08-28T22:00:00Z,2017
FM,13,2017-08-28T23:02:00Z,6,CMP 600,7.73,8.2,44,0.339,0.196,0.112,1.62,1.11,0.57,0.02,0.52,7.4,31.4,4.7,600,2017-08-28T23:00:00Z,2017
FM,14,2017-08-29T00:02:00Z,6,CMP 601,7.54,8.22,46,0.425,0.274,0.161,1.85,1.34,0.64,0.01,0.69,8.3,32.4,4.3,601,2017-08-29T00:00:00Z,2017
FM,15,2017-08-29T01:02:00Z,6,CMP 602,7.44,8.22,81.9,0.628,0.301,0.229,1.96,1.58,0.78,0.02,0.78,10.8,70.4,10.4,602,2017-08-29T01:00:00Z,2017
FM,16,2017-08-29T02:02:00Z,6,CMP 603,7.37,8.2,48.4,0.499,0.313,0.229,1.79,1.42,0.66,0.01,0.74,9.4,40.8,5.3,603,2017-08-29T02:00:00Z,2017
FM,17,2017-08-29T03:02:00Z,6,CMP 604,7.35,8.24,62.1,0.456,0.307,0.235,1.75,1.46,0.77,0.02,0.66,9.8,38.6,7.6,604,2017-08-29T03:00:00Z,2017
FM,18,2017-08-29T04:02:00Z,6,CMP 605,7.37,8.17,44.5,0.547,0.308,0.21,1.95,1.41,0.76,0.04,0.61,9.5,38.6,6.6,605,2017-08-29T04:00:00Z,2017
FM,19,2017-08-29T05:02:00Z,6,CMP 606,7.43,8.18,87.7,0.561,0.293,0.223,1.9,1.38,0.72,0.01,0.65,9.4,72.7,9.5,606,2017-08-29T05:00:00Z,2017
FM,20,2017-08-29T06:02:00Z,6,CMP 607,7.1,8.27,57,0.591,0.426,0.296,2.2,1.78,0.73,0.01,1.03,11.3,44.5,12,607,2017-08-29T06:00:00Z,2017
FM,21,2017-08-29T07:02:00Z,6,CMP 608,7.28,8.08,46.1,0.554,0.34,0.232,1.96,1.58,0.69,0.02,0.87,10,39.4,5.9,608,2017-08-29T07:00:00Z,2017
FM,22,2017-08-29T08:02:00Z,6,CMP 609,7.48,8.19,50.5,0.462,0.257,0.186,1.79,1.38,0.7,0.01,0.68,8.3,47.7,5.1,609,2017-08-29T08:00:00Z,2017
FM,23,2017-08-29T09:02:00Z,6,CMP 610,7.81,8.08,51.6,0.287,0.153,0.087,1.54,1.05,0.63,0,0.41,7.4,35,7.5,610,2017-08-29T09:00:00Z,2017
FM,24,2017-08-29T10:02:00Z,6,CMP 611,7.81,8.02,43.1,0.266,0.143,0.075,1.46,0.94,0.57,0.01,0.36,7.2,35.2,7.9,611,2017-08-29T10:00:00Z,2017
FM,1,2017-09-12T16:29:00Z,7,CMP 756,7.83,8.27,72.4,0.53,0.361,0.278,1.74,1.59,0.57,0.01,1.02,8.1,67.5,8.9,756,2017-09-12T16:30:00Z,2017
FM,2,2017-09-12T17:29:00Z,7,CMP 757,7.88,8.11,62.3,0.401,0.286,0.155,1.48,1.35,0.54,0.01,0.8,7.6,60.1,7.6,757,2017-09-12T17:30:00Z,2017
FM,3,2017-09-12T18:29:00Z,7,CMP 758,8.4,8.18,58.5,0.389,0.223,0.112,1.39,1.12,0.43,0.01,0.67,6.5,54.2,7.3,758,2017-09-12T18:30:00Z,2017
FM,4,2017-09-12T19:29:00Z,7,CMP 759,8.96,8.05,83.8,0.339,0.142,0.069,1.17,0.9,0.44,0.01,0.46,4.9,77.9,9.5,759,2017-09-12T19:30:00Z,2017
FM,5,2017-09-12T20:29:00Z,7,CMP 760,9.1,8,68.9,0.235,0.117,0.038,1.05,0.73,0.36,0,0.37,4.3,58.6,8.1,760,2017-09-12T20:30:00Z,2017
FM,6,2017-09-12T21:29:00Z,7,CMP 761,8.97,7.97,53,0.273,0.177,0.124,1.1,0.91,0.4,0.08,0.43,4.9,46.9,6.5,761,2017-09-12T21:30:00Z,2017
FM,7,2017-09-12T22:29:00Z,7,CMP 762,8.3,8.03,71.4,0.456,0.248,0.173,1.42,1.32,0.57,0.02,0.73,7.1,65.1,8.8,762,2017-09-12T22:30:00Z,2017
FM,8,2017-09-12T23:29:00Z,7,CMP 763,8.02,8.05,45.7,0.438,0.317,0.216,1.68,1.46,0.57,0.02,0.87,8.3,38.6,6,763,2017-09-12T23:30:00Z,2017
FM,9,2017-09-13T00:29:00Z,7,CMP 764,8.02,8.07,36.5,0.403,0.332,0.198,1.62,1.46,0.58,0.01,0.86,9.3,31.6,6.1,764,2017-09-13T00:30:00Z,2017
FM,10,2017-09-13T01:29:00Z,7,CMP 765,8.12,8.01,144.7,0.69,0.328,0.229,1.58,1.45,0.65,0.01,0.8,10,122,16.5,765,2017-09-13T01:30:00Z,2017
FM,11,2017-09-13T02:29:00Z,7,CMP 766,8.26,8.02,178.6,0.929,0.323,0.284,1.73,1.58,0.84,0.01,0.73,11.1,151.2,25,766,2017-09-13T02:30:00Z,2017
FM,12,2017-09-13T03:29:00Z,7,CMP 767,8.4,8.07,173,0.793,0.316,0.204,1.56,1.45,0.73,0.04,0.68,11.8,152.2,27.6,767,2017-09-13T03:30:00Z,2017
FM,13,2017-09-13T04:29:00Z,7,CMP 768,8.32,7.91,149.4,0.69,0.322,0.247,1.58,1.38,0.65,0.01,0.71,11.7,137.4,23.6,768,2017-09-13T04:30:00Z,2017
FM,14,2017-09-13T05:29:00Z,7,CMP 769,7.69,8.15,65.3,0.591,0.462,0.352,1.91,1.77,0.51,0.01,1.26,9.2,61.9,9.2,769,2017-09-13T05:30:00Z,2017
FM,15,2017-09-13T06:29:00Z,7,CMP 770,7.69,8.1,48.2,0.579,0.446,0.345,2.07,1.77,0.52,0.01,1.24,9,41.6,6.4,770,2017-09-13T06:30:00Z,2017
FM,16,2017-09-13T07:29:00Z,7,CMP 771,8.14,7.96,90.2,0.456,0.301,0.235,1.65,1.52,0.69,0.01,0.83,11.8,54.4,7.2,771,2017-09-13T07:30:00Z,2017
FM,17,2017-09-13T08:29:00Z,7,CMP 772,8.31,7.96,124,0.358,0.177,0.1,1.27,1.13,0.63,0.01,0.5,10.6,104.9,13.7,772,2017-09-13T08:30:00Z,2017
FM,18,2017-09-13T09:29:00Z,7,CMP 773,8.39,7.88,151.5,0.45,0.12,0.044,1.13,0.93,0.59,0.01,0.32,9.1,153.7,17.5,773,2017-09-13T09:30:00Z,2017
FM,19,2017-09-13T10:29:00Z,7,CMP 774,8.34,7.92,61.1,0.278,0.162,0.1,1.2,1.1,0.63,0.01,0.46,9.6,49.8,6.9,774,2017-09-13T10:30:00Z,2017
FM,20,2017-09-13T11:29:00Z,7,CMP 775,8.22,7.97,93.3,0.407,0.25,0.18,1.44,1.38,0.68,0.01,0.68,10.6,90.5,12.2,775,2017-09-13T11:30:00Z,2017
FM,21,2017-09-13T12:29:00Z,7,CMP 776,8.02,8,100.4,0.518,0.35,0.281,1.8,1.66,0.72,0.01,0.93,11.5,98.1,12.8,776,2017-09-13T12:30:00Z,2017
FM,22,2017-09-13T13:29:00Z,7,CMP 777,7.8,8.08,354,1.574,0.416,0.29,2.11,1.87,0.7,0.01,1.17,11.1,303.1,45.1,777,2017-09-13T13:30:00Z,2017
FM,23,2017-09-13T14:29:00Z,7,CMP 778,7.81,8.02,225,1.027,0.419,0.376,2.02,1.92,0.72,0.01,1.19,11.2,218.7,26.2,778,2017-09-13T14:30:00Z,2017
FM,24,2017-09-13T15:29:00Z,7,CMP 779,8.11,8.03,93,0.536,0.304,0.21,1.55,1.46,0.61,0.01,0.84,10.8,84.2,14.1,779,2017-09-13T15:30:00Z,2017
FM,1,2017-09-19T13:15:00Z,8,CMP 876,8.66,7.91,114.6,0.475,0.136,0.069,1.28,0.95,0.55,0.02,0.38,7.5,98.9,14.6,876,2017-09-19T13:15:00Z,2017
FM,2,2017-09-19T14:15:00Z,8,CMP 877,8.63,7.9,125.8,0.413,0.073,0.026,0.95,0.71,0.5,0.01,0.21,6.2,113,15.7,877,2017-09-19T14:15:00Z,2017
FM,3,2017-09-19T15:15:00Z,8,CMP 878,8.62,7.85,76.6,0.318,0.063,0.02,0.97,0.72,0.52,0.02,0.18,6.4,56.5,9.7,878,2017-09-19T15:15:00Z,2017
FM,4,2017-09-19T16:15:00Z,8,CMP 879,8.63,7.86,60.5,0.321,0.089,0.032,1.07,0.77,0.48,0.01,0.28,6.5,41.5,8,879,2017-09-19T16:15:00Z,2017
FM,5,2017-09-19T17:15:00Z,8,CMP 880,8.58,7.91,57.9,0.358,0.17,0.087,1.18,1.06,0.55,0.01,0.49,7.7,39.9,8.2,880,2017-09-19T17:15:00Z,2017
FM,6,2017-09-19T18:15:00Z,8,CMP 881,8.42,8.03,52.3,0.505,0.289,0.198,1.59,1.43,0.6,0.01,0.82,8.9,31.4,7.9,881,2017-09-19T18:15:00Z,2017
FM,7,2017-09-19T19:15:00Z,8,CMP 882,8.26,8.1,48.4,0.493,0.372,0.266,1.75,1.58,0.53,0.01,1.04,9.3,32.4,7.1,882,2017-09-19T19:15:00Z,2017
FM,8,2017-09-19T20:15:00Z,8,CMP 883,8.42,8.15,44.2,0.562,0.361,0.309,1.71,1.61,0.61,0.01,0.98,9.6,31.8,7.1,883,2017-09-19T20:15:00Z,2017
FM,9,2017-09-19T21:15:00Z,8,CMP 884,8.55,8.09,43.7,0.504,0.305,0.229,1.56,1.5,0.58,0.01,0.9,10.2,34.5,6.6,884,2017-09-19T21:15:00Z,2017
FM,10,2017-09-19T22:15:00Z,8,CMP 885,8.4,8.1,53.5,0.516,0.298,0.21,1.64,1.56,0.61,0.02,0.93,9.7,43.7,8,885,2017-09-19T22:15:00Z,2017
FM,11,2017-09-19T23:15:00Z,8,CMP 886,8.08,8.13,52.2,0.591,0.411,0.352,2.01,1.86,0.61,0.02,1.23,8.8,51.7,6.9,886,2017-09-19T23:15:00Z,2017
FM,12,2017-09-20T00:15:00Z,8,CMP 887,8.33,8.14,58,0.514,0.329,0.204,1.63,1.53,0.53,0.01,0.98,8.9,46.8,9.4,887,2017-09-20T00:15:00Z,2017
FM,13,2017-09-20T01:15:00Z,8,CMP 888,8.62,7.96,145.3,0.518,0.106,0.044,0.92,0.79,0.42,0.01,0.36,6.7,129,19,888,2017-09-20T01:15:00Z,2017
FM,14,2017-09-20T02:15:00Z,8,CMP 889,8.57,7.97,83.2,0.302,0.065,0.02,0.92,0.71,0.46,0,0.24,5.8,74.1,10.4,889,2017-09-20T02:15:00Z,2017
FM,15,2017-09-20T03:15:00Z,8,CMP 890,8.51,7.93,45.9,0.272,0.12,0.038,1.04,0.92,0.51,0.01,0.41,6.5,36.8,6.3,890,2017-09-20T03:15:00Z,2017
FM,16,2017-09-20T04:15:00Z,8,CMP 891,8.55,7.89,41.7,0.223,0.079,0.038,0.93,0.73,0.45,0.02,0.27,6.1,33.3,6.1,891,2017-09-20T04:15:00Z,2017
FM,17,2017-09-20T05:15:00Z,8,CMP 892,8.45,7.97,33.1,0.315,0.202,0.149,1.34,1.22,0.57,0.03,0.63,9.8,27.2,5.8,892,2017-09-20T05:15:00Z,2017
FM,18,2017-09-20T06:15:00Z,8,CMP 893,8.19,8.09,43.4,0.468,0.304,0.21,1.78,1.66,0.59,0.04,1.02,10.1,28.8,6.9,893,2017-09-20T06:15:00Z,2017
FM,19,2017-09-20T07:15:00Z,8,CMP 894,8.31,8.06,48.9,0.487,0.258,0.198,1.84,1.74,0.71,0.03,1,11.2,37.1,7.9,894,2017-09-20T07:15:00Z,2017
FM,20,2017-09-20T08:15:00Z,8,CMP 895,8.5,8.03,52.4,0.542,0.341,0.284,1.76,1.62,0.7,0.02,0.9,11.5,41.7,8.3,895,2017-09-20T08:15:00Z,2017
FM,21,2017-09-20T09:15:00Z,8,CMP 896,8.67,8.11,75.6,0.586,0.289,0.204,1.77,1.69,0.88,0.02,0.78,12.1,65,9.8,896,2017-09-20T09:15:00Z,2017
FM,22,2017-09-20T10:15:00Z,8,CMP 897,8.69,8,72.5,0.563,0.302,0.216,1.58,1.49,0.74,0.01,0.74,12.1,58.4,11.4,897,2017-09-20T10:15:00Z,2017
FM,23,2017-09-20T11:15:00Z,8,CMP 898,8.02,8.08,79.3,0.671,0.446,0.364,2.07,1.96,0.62,0.04,1.29,11,68.1,10.3,898,2017-09-20T11:15:00Z,2017
FM,24,2017-09-20T12:15:00Z,8,CMP 899,7.96,8.04,129.1,0.828,0.451,0.284,2.14,2,0.62,0.03,1.34,10.8,120,16.1,899,2017-09-20T12:15:00Z,2017
SD,1,2017-06-12T18:00:00Z,1,CMP 25,2.56,7.73,84.1,0.68,0.242,0.131,3.02,2.8,2.26,0.01,0.53,35.1,94,20.2,25,2017-06-12T18:00:00Z,2017
SD,2,2017-06-12T19:00:00Z,1,CMP 26,2.59,8.05,121,1.034,0.266,0.195,3.88,3.02,2.15,0.04,0.83,27.1,118.2,22.5,26,2017-06-12T19:00:00Z,2017
SD,3,2017-06-12T20:00:00Z,1,CMP 27,2.58,7.76,126.1,0.961,0.186,0.112,3.56,2.63,2.17,0.02,0.44,32,120.9,25.2,27,2017-06-12T20:00:00Z,2017
SD,4,2017-06-12T21:00:00Z,1,CMP 28,2.58,7.56,109.7,0.933,0.168,0.095,3.59,2.48,2.12,0.02,0.35,34.9,102.7,23.2,28,2017-06-12T21:00:00Z,2017
SD,5,2017-06-12T22:00:00Z,1,CMP 29,1.91,7.98,105.5,0.768,0.407,0.314,3.11,2.9,1.57,0.02,1.31,27,93.7,18.1,29,2017-06-12T22:00:00Z,2017
SD,6,2017-06-12T23:00:00Z,1,CMP 30,1.82,7.87,88.8,0.703,0.438,0.37,2.93,2.64,1.43,0.02,1.2,14.2,74,11.5,30,2017-06-12T23:00:00Z,2017
SD,7,2017-06-13T00:00:00Z,1,CMP 31,1.68,8.29,70.1,0.602,0.444,0.319,2.59,2.41,1.37,0.03,1.02,12.7,61.9,10.5,31,2017-06-13T00:00:00Z,2017
SD,8,2017-06-13T01:00:00Z,1,CMP 32,1.66,8,104,0.639,0.34,0.304,2.49,2.37,1.37,0.05,0.96,13.8,94.4,14.4,32,2017-06-13T01:00:00Z,2017
SD,9,2017-06-13T02:00:00Z,1,CMP 33,1.67,8.27,118,0.793,0.371,0.316,2.78,2.35,1.33,0.02,1,12.8,102.3,15.4,33,2017-06-13T02:00:00Z,2017
SD,10,2017-06-13T03:00:00Z,1,CMP 34,1.76,7.89,99.3,0.685,0.371,0.314,2.92,2.72,1.65,0.01,1.07,14.9,83.9,13.6,34,2017-06-13T03:00:00Z,2017
SD,11,2017-06-13T04:00:00Z,1,CMP 35,1.81,7.65,79.3,0.713,0.383,0.34,3.03,2.58,1.46,0.02,1.11,17.9,72.5,13.5,35,2017-06-13T04:00:00Z,2017
SD,12,2017-06-13T05:00:00Z,1,CMP 36,1.92,7.6,76.9,0.749,0.42,0.356,3.18,2.96,1.75,0.01,1.2,20.3,76.2,13.4,36,2017-06-13T05:00:00Z,2017
SD,13,2017-06-13T06:00:00Z,1,CMP 37,1.95,7.98,73.3,0.758,0.401,0.362,3.1,2.69,1.46,0.04,1.18,17.5,65.3,11.3,37,2017-06-13T06:00:00Z,2017
SD,14,2017-06-12T07:00:00Z,1,CMP 38,1.94,7.52,72.8,0.694,0.426,0.361,2.89,2.7,1.41,0.02,1.26,24.1,64.8,12.6,38,2017-06-12T07:00:00Z,2017
SD,15,2017-06-12T08:00:00Z,1,CMP 39,1.81,7.96,70.7,0.657,0.408,0.359,3.15,3.07,1.87,0.04,1.16,16.7,65.3,10.7,39,2017-06-12T08:00:00Z,2017
SD,16,2017-06-12T09:00:00Z,1,CMP 40,1.69,7.38,58.6,0.602,0.371,0.307,3.02,2.86,1.78,0.03,1.04,27,55.8,11.5,40,2017-06-12T09:00:00Z,2017
SD,17,2017-06-12T10:00:00Z,1,CMP 41,1.6,7.82,72,0.593,0.309,0.275,2.77,2.49,1.58,0.04,0.87,15.1,71.8,11.1,41,2017-06-12T10:00:00Z,2017
SD,18,2017-06-12T11:00:00Z,1,CMP 42,1.59,7.87,68.7,0.556,0.309,0.275,3.2,2.56,1.66,0.05,0.85,13.7,63.8,9.2,42,2017-06-12T11:00:00Z,2017
SD,19,2017-06-12T12:00:00Z,1,CMP 43,1.62,7.39,79.2,0.538,0.34,0.272,2.62,2.55,1.65,0.02,0.88,23.7,71.4,12.8,43,2017-06-12T12:00:00Z,2017
SD,20,2017-06-12T13:00:00Z,1,CMP 44,1.63,7.4,76.5,0.611,0.365,0.283,3.22,3.15,2.2,0.04,0.91,25.5,76,14,44,2017-06-12T13:00:00Z,2017
SD,21,2017-06-12T14:00:00Z,1,CMP 45,1.72,7.86,90.5,0.685,0.371,0.319,3.08,2.96,1.91,0.04,1.01,26.8,82.8,16.3,45,2017-06-12T14:00:00Z,2017
SD,1,2017-06-21T18:50:00Z,2,CMP 152,1.79,7.88,91.4,0.782,0.414,0.362,2.31,1.93,0.74,0.02,1.17,12.6,73.6,11.2,152,2017-06-21T18:45:00Z,2017
SD,2,2017-06-21T19:50:00Z,2,CMP 153,1.62,7.92,191,1.23,0.388,0.331,2.25,1.69,0.55,0.01,1.12,11.2,170.2,23.7,153,2017-06-21T19:45:00Z,2017
SD,3,2017-06-21T20:50:00Z,2,CMP 154,1.6,7.75,139,0.811,0.329,0.302,2.12,1.48,0.65,0,0.83,13.6,127.9,21.6,154,2017-06-21T20:45:00Z,2017
SD,4,2017-06-21T21:50:00Z,2,CMP 155,1.71,7.58,95.1,0.706,0.363,0.311,2.02,1.78,0.8,0.02,0.96,16.2,70.5,11.4,155,2017-06-21T21:45:00Z,2017
SD,5,2017-06-21T22:50:00Z,2,CMP 156,1.79,8.01,112,0.849,0.458,0.396,2.37,2.18,0.74,0.02,1.42,13.3,85.4,13.2,156,2017-06-21T22:45:00Z,2017
SD,6,2017-06-21T23:50:00Z,2,CMP 157,1.97,8.01,108,0.916,0.528,0.428,2.7,2.37,0.79,0.02,1.57,14.2,83.2,14,157,2017-06-21T23:45:00Z,2017
SD,7,2017-06-22T00:50:00Z,2,CMP 158,2.34,7.93,111,1.03,0.471,0.394,3.14,2.44,0.99,0.02,1.43,18.5,96,18,158,2017-06-22T00:45:00Z,2017
SD,8,2017-06-22T01:50:00Z,2,CMP 159,2.48,7.74,108,0.982,0.426,0.352,3.14,2.27,1.07,0.02,1.18,21.1,87.6,14.8,159,2017-06-22T01:45:00Z,2017
SD,9,2017-06-22T02:50:00Z,2,CMP 160,2.15,7.77,105,0.916,0.471,0.388,2.55,2.25,0.86,0.02,1.36,17.3,88,14.9,160,2017-06-22T02:45:00Z,2017
SD,10,2017-06-22T03:50:00Z,2,CMP 161,1.87,7.89,92.4,0.849,0.496,0.409,2.24,2.06,0.62,0.03,1.42,13.9,87.3,14,161,2017-06-22T03:45:00Z,2017
SD,11,2017-06-22T04:50:00Z,2,CMP 162,1.67,7.55,91.5,0.678,0.319,0.266,1.84,1.37,0.57,0.01,0.79,13.1,85.4,13.8,162,2017-06-22T04:45:00Z,2017
SD,12,2017-06-22T05:50:00Z,2,CMP 163,1.51,7.6,81.1,0.544,0.268,0.224,1.48,1.21,0.5,0.01,0.7,11.3,74.7,10.2,163,2017-06-22T05:45:00Z,2017
SD,13,2017-06-22T06:50:00Z,2,CMP 164,1.41,7.68,85.7,0.487,0.236,0.192,1.26,1.08,0.48,0.01,0.59,10.2,79.8,13.4,164,2017-06-22T06:45:00Z,2017
SD,14,2017-06-21T07:50:00Z,2,CMP 165,1.5,7.56,93.2,0.592,0.249,0.186,1.43,1.07,0.52,0.01,0.54,11.2,85.9,14.9,165,2017-06-21T07:45:00Z,2017
SD,15,2017-06-21T08:50:00Z,2,CMP 166,1.44,7.64,115,0.621,0.287,0.244,1.45,1.27,0.56,0.02,0.7,10.7,92.2,16.2,166,2017-06-21T08:45:00Z,2017
SD,16,2017-06-21T09:50:00Z,2,CMP 167,1.5,7.53,86.2,0.592,0.287,0.23,1.59,1.3,0.52,0.02,0.76,11.9,70,13.3,167,2017-06-21T09:45:00Z,2017
SD,17,2017-06-21T10:50:00Z,2,CMP 168,1.67,7.74,90.5,0.678,0.388,0.314,1.85,1.72,0.63,0.02,1.08,11.6,72.6,13,168,2017-06-21T10:45:00Z,2017
SD,18,2017-06-21T11:50:00Z,2,CMP 169,1.9,7.88,114,0.868,0.484,0.37,2.29,2.06,0.73,0.03,1.31,14,95.7,14.3,169,2017-06-21T11:45:00Z,2017
SD,19,2017-06-21T12:50:00Z,2,CMP 170,2.37,7.7,101,0.973,0.401,0.329,2.24,2.15,0.99,0.02,1.14,19.7,89,17,170,2017-06-21T12:45:00Z,2017
SD,20,2017-06-21T13:50:00Z,2,CMP 171,2.53,7.58,90.4,0.932,0.395,0.311,2.58,2.14,1.08,0.02,1.04,22.8,69,16.2,171,2017-06-21T13:45:00Z,2017
SD,21,2017-06-21T14:50:00Z,2,CMP 172,2.82,7.54,137,1.172,0.363,0.284,2.92,2.17,1.23,0.01,0.93,24.5,114.7,21.8,172,2017-06-21T14:45:00Z,2017
SD,22,2017-06-21T15:50:00Z,2,CMP 173,3,7.81,150,1.239,0.426,0.319,2.74,2.55,1.51,0.15,0.89,33.2,127.1,25.6,173,2017-06-21T15:45:00Z,2017
SD,23,2017-06-21T16:50:00Z,2,CMP 174,3.21,7.5,155,1.286,0.344,0.263,3.01,2.36,1.51,0.17,0.68,36.5,103.7,22.3,174,2017-06-21T16:45:00Z,2017
SD,24,2017-06-21T17:50:00Z,2,CMP 175,2.03,7.75,160,1.267,0.604,0.523,2.76,2.65,0.75,0.02,1.88,15.4,157.8,25.7,175,2017-06-21T17:45:00Z,2017
SD,1,2017-07-17T20:02:00Z,3,CMP 252,2.79,8.29,122,0.915,0.508,0.471,2.95,2.28,0.53,0.03,1.71,11.3,121.9,16.5,252,2017-07-17T20:00:00Z,2017
SD,2,2017-07-17T21:02:00Z,3,CMP 253,2.76,8.23,144,0.951,0.515,0.478,3.22,2.32,0.54,0.01,1.77,11.7,126,17.1,253,2017-07-17T21:00:00Z,2017
SD,3,2017-07-17T22:02:00Z,3,CMP 254,2.82,8.2,154,1.045,0.541,0.502,3.62,2.48,0.56,0.02,1.91,12.2,130.7,18.5,254,2017-07-17T22:00:00Z,2017
SD,4,2017-07-17T23:02:00Z,3,CMP 255,2.84,8.1,127,0.868,0.53,0.492,3.15,2.43,0.57,0.01,1.85,13.2,99.6,12.6,255,2017-07-17T23:00:00Z,2017
SD,5,2017-07-18T00:02:00Z,3,CMP 256,2.82,8.22,112,0.776,0.538,0.5,3.25,2.53,0.63,0.02,1.88,12.5,97.4,13.2,256,2017-07-18T00:00:00Z,2017
SD,6,2017-07-18T01:02:00Z,3,CMP 257,2.76,8.19,74.4,0.832,0.591,0.551,3.59,2.7,0.66,0.03,2.01,12.3,69.3,11,257,2017-07-18T01:00:00Z,2017
SD,7,2017-07-18T02:02:00Z,3,CMP 258,2.33,8.17,63.9,0.703,0.537,0.502,2.83,2.43,0.56,0.01,1.85,12.5,59.5,10.2,258,2017-07-18T02:00:00Z,2017
SD,8,2017-07-18T03:02:00Z,3,CMP 259,2.78,8.11,80.7,0.62,0.46,0.42,2.38,2.08,0.5,0.01,1.58,11.8,79.5,12.8,259,2017-07-18T03:00:00Z,2017
SD,9,2017-07-18T04:02:00Z,3,CMP 260,2.88,8.04,78,0.601,0.393,0.308,2.08,1.76,0.5,0.01,1.25,11.6,75,13.3,260,2017-07-18T04:00:00Z,2017
SD,10,2017-07-18T05:02:00Z,3,CMP 261,2.94,7.92,59.4,0.509,0.325,0.289,1.99,1.56,0.46,0.01,1.08,10.8,39.8,4.9,261,2017-07-18T05:00:00Z,2017
SD,11,2017-07-18T06:02:00Z,3,CMP 262,2.98,7.8,63.1,0.454,0.282,0.234,1.75,1.46,0.55,0,0.91,12.6,57.2,10.4,262,2017-07-18T06:00:00Z,2017
SD,12,2017-07-17T07:02:00Z,3,CMP 263,2.96,7.95,64.3,0.481,0.313,0.276,1.72,1.52,0.48,0.01,1.03,9.8,60.2,10.8,263,2017-07-17T07:00:00Z,2017
SD,13,2017-07-17T08:02:00Z,3,CMP 264,2.87,7.85,59.6,0.592,0.368,0.325,2.06,1.74,0.57,0.01,1.17,11.1,53.7,9.7,264,2017-07-17T08:00:00Z,2017
SD,14,2017-07-17T09:02:00Z,3,CMP 265,2.81,8.03,68.7,0.62,0.43,0.382,2.15,2.02,0.54,0.01,1.47,10.8,58,8.6,265,2017-07-17T09:00:00Z,2017
SD,15,2017-07-17T10:02:00Z,3,CMP 266,2.83,7.98,69.8,0.721,0.499,0.463,3.11,2.33,0.61,0.01,1.71,12.4,64.5,9.5,266,2017-07-17T10:00:00Z,2017
SD,16,2017-07-17T11:02:00Z,3,CMP 267,2.86,7.98,74,0.776,0.528,0.483,3.11,2.4,0.6,0.01,1.79,13.1,68.7,9.8,267,2017-07-17T11:00:00Z,2017
SD,17,2017-07-17T12:02:00Z,3,CMP 268,2.89,8.04,92.9,0.795,0.491,0.454,3.02,2.4,0.7,0.03,1.67,13.4,94.5,13.4,268,2017-07-17T12:00:00Z,2017
SD,18,2017-07-17T13:02:00Z,3,CMP 269,2.9,8.06,98.6,0.73,0.491,0.43,2.9,2.11,0.58,0.04,1.49,14,93.8,12.9,269,2017-07-17T13:00:00Z,2017
SD,19,2017-07-17T14:02:00Z,3,CMP 270,2.97,7.96,169,0.887,0.424,0.373,2.38,1.82,0.64,0.02,1.16,14.7,144.7,19,270,2017-07-17T14:00:00Z,2017
SD,20,2017-07-17T15:02:00Z,3,CMP 271,3.02,7.86,168,0.924,0.38,0.341,2.22,1.64,0.67,0.01,0.96,15.9,151.6,20.5,271,2017-07-17T15:00:00Z,2017
SD,21,2017-07-17T16:02:00Z,3,CMP 272,2.82,8.28,134,0.97,0.626,0.587,2.9,2.69,0.55,0.01,2.13,13.2,121.4,17.4,272,2017-07-17T16:00:00Z,2017
SD,22,2017-07-17T17:02:00Z,3,CMP 273,2.84,8.3,161,0.951,0.553,0.516,2.83,2.6,0.58,0.04,1.98,12.1,158.5,18.5,273,2017-07-17T17:00:00Z,2017
SD,23,2017-07-17T18:02:00Z,3,CMP 274,2.8,8.27,120,0.758,0.491,0.456,2.72,2.22,0.55,0.01,1.66,11.3,108,14.8,274,2017-07-17T18:00:00Z,2017
