Site,Bottle,datetime,Deployment,ID,EC_uScm,pH,Turbidity_ntu,TP_mgL,TDP_mgL,PO4P_mgL,TN_mgL,TDN_mgL,DON_mgL,NH4N_mgL,NO3N_mgL,DOC_mgL,TSS_mgL,VSS_mgL,ID2,datetime_DLS,Yr
FM,16,2017-06-12T23:25:00Z,1,CMP 16,2,8.29,57.4,0.584,0.395,0.358,2.87,2.37,1.31,0.06,1.01,12.8,46.7,6.6,16,2017-06-12T23:30:00Z,2017
FM,17,2017-06-13T00:25:00Z,1,CMP 17,1.78,8.32,55.4,0.464,0.279,0.242,2.48,2.07,1.38,0.04,0.65,11.9,43.8,7.2,17,2017-06-13T00:30:00Z,2017
FM,18,2017-06-13T01:25:00Z,1,CMP 18,1.66,8.07,58.6,0.399,0.223,0.196,2.21,1.96,1.39,0.05,0.52,11.3,43.1,6.8,18,2017-06-13T01:30:00Z,2017
FM,19,2017-06-13T02:25:00Z,1,CMP 19,1.44,8.06,61.2,0.363,0.18,0.145,2.18,2.07,1.57,0.06,0.44,11.2,46.3,7.3,19,2017-06-13T02:30:00Z,2017
FM,20,2017-06-13T03:25:00Z,1,CMP 20,1.31,7.99,53.5,0.289,0.131,0.108,2.1,1.95,1.57,0.04,0.34,9.8,45.4,6,20,2017-06-13T03:30:00Z,2017
FM,21,2017-06-13T04:25:00Z,1,CMP 21,1.33,8,52.6,0.353,0.15,0.125,1.95,1.72,1.31,0.04,0.37,9.9,41.1,7,21,2017-06-13T04:30:00Z,2017
FM,22,2017-06-13T05:25:00Z,1,CMP 22,1.4,7.99,62.6,0.372,0.168,0.143,1.79,1.72,1.31,0.05,0.36,10.6,45.7,7.3,22,2017-06-13T05:30:00Z,2017
FM,23,2017-06-13T06:25:00Z,1,CMP 23,1.47,8.18,70,0.399,0.18,0.15,2.04,1.97,1.48,0.06,0.43,10.6,56.2,9.2,23,2017-06-13T06:30:00Z,2017
FM,24,2017-06-13T07:25:00Z,1,CMP 24,1.61,8.08,71.6,0.446,0.223,0.192,2.05,1.99,1.42,0.06,0.51,11.4,67.4,11,24,2017-06-13T07:30:00Z,2017
FM,1,2017-06-22T11:15:00Z,2,CMP 128,2.2,7.69,71.3,0.668,0.338,0.26,1.42,0.96,0.93,0.02,0,17.7,66.4,11.1,128,2017-06-22T11:15:00Z,2017
FM,2,2017-06-22T12:15:00Z,2,CMP 129,1.63,7.65,172,0.905,0.179,0.131,1.32,0.93,0.69,0.03,0.2,12.4,159.5,27.3,129,2017-06-22T12:15:00Z,2017
FM,3,2017-06-22T13:15:00Z,2,CMP 130,1.43,7.53,105,0.535,0.122,0.073,1.01,0.68,0.64,0.04,0,12.5,108,14.2,130,2017-06-22T13:15:00Z,2017
FM,4,2017-06-22T14:15:00Z,2,CMP 131,1.44,7.63,77.7,0.411,0.141,0.09,1.01,0.83,0.66,0.03,0.15,11.2,72.9,9.3,131,2017-06-22T14:15:00Z,2017
FM,5,2017-06-22T15:15:00Z,2,CMP 132,1.64,7.62,267,1.144,0.166,0.112,1.34,0.78,0.7,0.02,0.06,14.7,230,39.5,132,2017-06-22T15:15:00Z,2017
FM,6,2017-06-22T16:15:00Z,2,CMP 133,1.88,7.65,73.4,0.535,0.274,0.214,1.45,1.26,0.75,0.02,0.49,15.1,74.2,11.2,133,2017-06-22T16:15:00Z,2017
FM,7,2017-06-22T17:15:00Z,2,CMP 134,2.08,7.77,238,1.182,0.401,0.337,2.09,1.81,0.83,0.03,0.96,16,246.9,30,134,2017-06-22T17:15:00Z,2017
FM,8,2017-06-22T18:15:00Z,2,CMP 135,2.12,7.85,334,1.533,0.484,0.387,2.32,2.1,0.9,0.02,1.17,15.7,314.7,48.4,135,2017-06-22T18:15:00Z,2017
FM,9,2017-06-22T19:15:00Z,2,CMP 136,1.98,7.81,99.7,0.744,0.401,0.334,2.03,1.9,0.87,0.03,0.99,15.4,84,10,136,2017-06-22T19:15:00Z,2017
FM,10,2017-06-22T20:15:00Z,2,CMP 137,1.83,7.77,102,0.754,0.312,0.26,2.04,1.78,0.86,0.03,0.9,14.7,116.4,16.8,137,2017-06-22T20:15:00Z,2017
FM,11,2017-06-22T21:15:00Z,2,CMP 138,1.75,7.99,98.8,0.744,0.445,0.361,2.29,2.09,0.79,0.02,1.28,12.8,93.8,13.1,138,2017-06-22T21:15:00Z,2017
