Bottle,datetime,Site,ID,EC_uScm,pH,Turbidity_ntu,filter_mL,filter_g,60C_g,510C_g,Notes,Entered By,QA/QC,DOC_ppm,DOC_rep2,TN_ppm,TN_rep2,NO3_ppm,NO3_rep2,NH4_ppm,NH4_rep2,TP_ppm,TP_rep2,PO4_PPM,PO4_rep2,datetime_DLS,Yr
17,2018-04-24T11:20:00Z,SD,CMP 155,2.84,7.75,126,350,0.1162,0.1553,0.1487,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T11:15:00Z,2018
18,2018-04-24T12:20:00Z,SD,CMP 156,2.884,7.79,135,300,0.1212,0.1542,0.1498,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T12:15:00Z,2018
19,2018-04-24T13:20:00Z,SD,CMP 157,2.896,7.76,130,340,0.1226,0.1566,0.149,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T13:15:00Z,2018
20,2018-04-24T14:20:00Z,SD,CMP 158,2.897,7.65,105,356,0.1234,0.1566,0.1509,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T14:15:00Z,2018
21,2018-04-24T15:20:00Z,SD,CMP 159,2.872,7.71,95,396,0.1228,0.1609,0.1508,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T15:15:00Z,2018
22,2018-04-24T16:20:00Z,SD,CMP 160,2.767,7.72,124,390,0.1242,0.1874,0.1491,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T16:15:00Z,2018
23,2018-04-24T17:20:00Z,SD,CMP 161,2.646,7.67,128,471,0.1304,NA,0.1502,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T17:15:00Z,2018
24,2018-04-24T18:20:00Z,SD,CMP 162,2.58,7.62,128,336,0.1297,NA,0.1613,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T18:15:00Z,2018
1,2018-04-24T19:45:00Z,HL,CMP 163,2.933,7.77,134,342,0.1303,NA,0.1657,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T19:45:00Z,2018
2,2018-04-24T20:45:00Z,HL,CMP 164,2.919,7.8,341,241,0.1284,NA,0.1892,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T20:45:00Z,2018
3,2018-04-24T21:45:00Z,HL,CMP 165,2.931,7.74,260,370,0.131,NA,0.2033,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T21:45:00Z,2018
4,2018-04-24T22:45:00Z,HL,CMP 166,2.966,7.71,465,380,0.1286,NA,0.3052,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T22:45:00Z,2018
5,2018-04-24T23:45:00Z,HL,CMP 167,3.001,7.72,294,370,0.1278,NA,0.1911,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T23:45:00Z,2018
7,2018-04-25T01:45:00Z,HL,CMP 168,3.045,7.79,899,310,0.1295,NA,0.3978,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-25T01:45:00Z,2018
8,2018-04-25T02:45:00Z,HL,CMP 169,3.004,7.85,226,380,0.1248,NA,0.1908,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-25T02:45:00Z,2018
9,2018-04-25T03:45:00Z,HL,CMP 170,2.945,7.93,181,330,0.1291,NA,0.1733,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-25T03:45:00Z,2018
10,2018-04-25T04:45:00Z,HL,CMP 171,2.919,8.05,98,320,0.1293,NA,0.1544,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-25T04:45:00Z,2018
11,2018-04-25T05:45:00Z,HL,CMP 172,2.906,7.89,99,330,0.1262,NA,0.1513,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-25T05:45:00Z,2018
12,2018-04-25T06:45:00Z,HL,CMP 173,2.879,7.95,179,410,0.1305,NA,0.197,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-25T06:45:00Z,2018
13,2018-04-24T07:45:00Z,HL,CMP 174,2.884,7.99,176,370,0.1274,NA,0.2036,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T07:45:00Z,2018
14,2018-04-24T08:45:00Z,HL,CMP 175,2.857,7.85,107,362,0.1292,NA,0.156,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T08:45:00Z,2018
15,2018-04-24T09:45:00Z,HL,CMP 176,2.89,7.88,108,411,0.1275,NA,0.1658,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T09:45:00Z,2018
16,2018-04-24T10:45:00Z,HL,CMP 177,2.87,7.95,82,451,0.128,NA,0.1568,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T10:45:00Z,2018
17,2018-04-24T11:45:00Z,HL,CMP 178,2.914,7.91,247,298,0.1286,NA,0.18,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T11:45:00Z,2018
18,2018-04-24T12:45:00Z,HL,CMP 179,2.945,7.91,516,276,0.1298,NA,0.2117,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T12:45:00Z,2018
19,2018-04-24T13:45:00Z,HL,CMP 180,2.99,8.14,347,270,0.1291,NA,0.1999,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T13:45:00Z,2018
20,2018-04-24T14:45:00Z,HL,CMP 181,2.935,7.93,156,282,0.1282,NA,NA,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T14:45:00Z,2018
21,2018-04-24T15:45:00Z,HL,CMP 182,2.915,7.95,100,370,0.1296,NA,NA,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T15:45:00Z,2018
22,2018-04-24T16:45:00Z,HL,CMP 183,2.898,7.83,201,400,0.1267,NA,NA,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T16:45:00Z,2018
23,2018-04-24T17:45:00Z,HL,CMP 184,2.853,7.7,419,350,0.1263,NA,NA,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T17:45:00Z,2018
24,2018-04-24T18:45:00Z,HL,CMP 185,2.884,7.9,179,300,0.1277,NA,NA,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-24T18:45:00Z,2018
1,2018-05-08T19:45:00Z,FM,CMP 186,2.458,7.93,239,310,0.1288,NA,NA,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T19:45:00Z,2018
2,2018-05-08T20:45:00Z,FM,CMP 187,2.554,8.06,75,382,0.1257,NA,NA,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T20:45:00Z,2018
3,2018-05-08T21:45:00Z,FM,CMP 188,2.447,8.03,76,410,0.1298,NA,NA,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T21:45:00Z,2018
4,2018-05-08T22:45:00Z,FM,CMP 189,2.625,8.14,81,390,0.1275,NA,NA,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T22:45:00Z,2018
5,2018-05-08T23:45:00Z,FM,CMP 190,2.707,8.1,92,465,0.1297,NA,NA,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T23:45:00Z,2018
6,2018-05-09T00:45:00Z,FM,CMP 191,2.784,8.06,104,420,0.1298,NA,NA,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T00:45:00Z,2018
7,2018-05-09T01:45:00Z,FM,CMP 192,2.866,8.05,228,355,0.1297,NA,NA,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T01:45:00Z,2018
8,2018-05-09T02:45:00Z,FM,CMP 193,3.001,8.19,193,460,0.1275,NA,NA,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T02:45:00Z,2018
9,2018-05-09T03:45:00Z,FM,CMP 194,2.673,8.1,174,310,0.1274,NA,NA,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T03:45:00Z,2018
10,2018-05-09T04:45:00Z,FM,CMP 195,2.675,8.16,89,458,0.1279,NA,NA,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T04:45:00Z,2018
11,2018-05-09T05:45:00Z,FM,CMP 196,2.608,8.1,110,358,0.1268,NA,NA,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T05:45:00Z,2018
12,2018-05-09T06:45:00Z,FM,CMP 197,2.639,8.2,98,277,0.1262,NA,NA,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T06:45:00Z,2018
13,2018-05-08T07:45:00Z,FM,CMP 198,2.684,8.13,103,460,0.1272,NA,NA,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T07:45:00Z,2018
14,2018-05-08T08:45:00Z,FM,CMP 199,2.673,8.16,87,520,0.1259,NA,NA,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T08:45:00Z,2018
15,2018-05-08T09:45:00Z,FM,CMP 200,2.668,8.12,74,540,0.1285,NA,NA,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T09:45:00Z,2018
16,2018-05-08T10:45:00Z,FM,CMP 201,2.699,8.08,78,525,0.127,NA,NA,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T10:45:00Z,2018
17,2018-05-08T11:45:00Z,FM,CMP 202,2.691,8.13,82,412,0.1273,NA,NA,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T11:45:00Z,2018
18,2018-05-08T12:45:00Z,FM,CMP 203,2.615,8.13,71,427,0.1283,NA,NA,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T12:45:00Z,2018
19,2018-05-08T13:45:00Z,FM,CMP 204,2.616,8.1,73,420,0.1288,NA,NA,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T13:45:00Z,2018
20,2018-05-08T14:45:00Z,FM,CMP 205,2.637,8.17,75,435,0.121,NA,0.1434,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T14:45:00Z,2018
21,2018-05-08T15:45:00Z,FM,CMP 206,2.642,8.12,73,380,0.1206,NA,0.1378,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T15:45:00Z,2018
22,2018-05-08T16:45:00Z,FM,CMP 207,2.613,8.11,75,415,0.123,NA,0.1316,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T16:45:00Z,2018
23,2018-05-08T17:45:00Z,FM,CMP 208,2.642,8.08,74,445,0.1228,NA,0.1325,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T17:45:00Z,2018
24,2018-05-08T18:45:00Z,PT,CMP 209,2.568,8.02,72,420,0.1147,NA,0.127,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T18:45:00Z,2018
1,2018-05-08T18:30:00Z,PT,CMP 210,2.791,8.18,96,385,0.1151,NA,0.1479,NA,CN,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T18:30:00Z,2018
2,2018-05-08T19:30:00Z,PT,CMP 211,2.7,8.11,658,255,0.1225,NA,0.3302,turb diluted twice (20 mL DI water to 10mL sample),LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T19:30:00Z,2018
3,2018-05-08T20:30:00Z,PT,CMP 212,2.779,8.15,652,230,0.12,NA,0.3868,turb diluted twice (20 mL DI water to 10mL sample),LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T20:30:00Z,2018
4,2018-05-08T21:30:00Z,PT,CMP 213,2.691,8.19,796,220,0.1264,NA,0.4457,turb diluted twice (20 mL DI water to 10mL sample),LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T21:30:00Z,2018
5,2018-05-08T22:30:00Z,PT,CMP 214,2.552,8.22,758,140,0.128,NA,0.2963,turb diluted twice (20 mL DI water to 10mL sample),LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T22:30:00Z,2018
6,2018-05-08T23:30:00Z,PT,CMP 215,2.478,8.32,657,130,0.1254,NA,0.2633,turb diluted twice (20 mL DI water to 10mL sample),LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T23:30:00Z,2018
7,2018-05-09T00:30:00Z,PT,CMP 216,2.473,8.3,940,140,0.1174,NA,0.23,"turb 10ml sample, 10ml water",LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T00:30:00Z,2018
8,2018-05-09T01:30:00Z,PT,CMP 217,2.708,8.08,823,130,0.1142,NA,0.2326,"turb 10ml sample, 10ml water",LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T01:30:00Z,2018
9,2018-05-09T02:30:00Z,PT,CMP 218,2.841,8.13,530,125,0.1155,NA,0.183,"turb 10ml sample, 10ml water",LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T02:30:00Z,2018
10,2018-05-09T03:30:00Z,PT,CMP 219,2.775,8.08,371,150,0.1183,NA,0.1944,"turb 10ml sample, 10ml water",LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T03:30:00Z,2018
11,2018-05-09T04:30:00Z,PT,CMP 220,2.758,8.15,247,230,0.1145,NA,0.139,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T04:30:00Z,2018
12,2018-05-09T05:30:00Z,PT,CMP 221,2.75,8.23,144,260,1260,NA,0.1314,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T05:30:00Z,2018
13,2018-05-09T06:30:00Z,PT,CMP 222,2.747,8.23,170,265,0.1236,NA,0.1627,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T06:30:00Z,2018
14,2018-05-08T07:30:00Z,PT,CMP 223,2.754,8.1,256,255,0.1204,NA,0.1339,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T07:30:00Z,2018
15,2018-05-08T08:30:00Z,PT,CMP 224,2.754,8.02,454,172,0.1222,NA,0.2103,"turb 10ml sample, 10ml water",LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T08:30:00Z,2018
16,2018-05-08T09:30:00Z,PT,CMP 225,2.784,8.08,640,190,0.1238,NA,0.1889,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T09:30:00Z,2018
17,2018-05-08T10:30:00Z,PT,CMP 226,2.826,8.16,456,190,0.108,0.1835,0.1758,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T10:30:00Z,2018
18,2018-05-08T11:30:00Z,PT,CMP 227,2.831,8.12,523,185,0.1062,0.1906,0.1825,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T11:30:00Z,2018
19,2018-05-08T12:30:00Z,PT,CMP 228,2.827,8.36,916,230,0.1006,0.2694,0.2525,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T12:30:00Z,2018
20,2018-05-08T13:30:00Z,PT,CMP 229,2.833,8.1,628,170,0.1124,0.2068,0.1967,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T13:30:00Z,2018
21,2018-05-08T14:30:00Z,PT,CMP 230,2.805,8.09,639,260,0.0966,0.2502,0.235,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T14:30:00Z,2018
22,2018-05-08T15:30:00Z,PT,CMP 231,2.787,8.06,638,275,0.0871,0.2453,0.2298,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T15:30:00Z,2018
23,2018-05-08T16:30:00Z,PT,CMP 232,2.774,8.08,250,280,0.0667,0.1879,0.1799,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T16:30:00Z,2018
24,2018-05-08T17:30:00Z,PT,CMP 233,2.754,8.14,354,250,0.111,0.2034,0.1943,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T17:30:00Z,2018
1,2018-05-08T17:00:00Z,SD,CMP 234,2.616,7.66,74,285,0.102,0.1475,0.1268,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T17:00:00Z,2018
2,2018-05-08T18:00:00Z,SD,CMP 235,2.651,7.74,94,375,0.1329,0.1614,0.17,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T18:00:00Z,2018
3,2018-05-08T19:00:00Z,SD,CMP 236,2.726,7.88,123,300,0.1433,0.1616,0.1511,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T19:00:00Z,2018
4,2018-05-08T20:00:00Z,SD,CMP 237,2.763,7.91,138,280,0.1311,0.1561,0.1505,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T20:00:00Z,2018
5,2018-05-08T21:00:00Z,SD,CMP 238,2.986,7.9,145,380,0.1264,0.1718,0.1818,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T21:00:00Z,2018
6,2018-05-08T22:00:00Z,SD,CMP 239,3.328,7.89,157,365,0.1027,0.1716,0.1425,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T22:00:00Z,2018
7,2018-05-08T23:00:00Z,SD,CMP 240,3.534,7.98,177,275,0.1095,0.1668,0.1265,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T23:00:00Z,2018
8,2018-05-09T00:00:00Z,SD,CMP 241,3.617,7.89,174,255,0.1015,0.1574,0.1371,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T00:00:00Z,2018
9,2018-05-09T01:00:00Z,SD,CMP 242,2.829,8.03,112,370,0.0988,0.1602,0.1549,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T01:00:00Z,2018
10,2018-05-09T02:00:00Z,SD,CMP 243,2.685,8.06,111,395,0.1274,0.1652,0.1597,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T02:00:00Z,2018
11,2018-05-09T03:00:00Z,SD,CMP 244,2.613,8.03,107,245,0.1188,0.1523,0.1483,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T03:00:00Z,2018
12,2018-05-09T04:00:00Z,SD,CMP 245,2.594,8.03,98,310,0.1245,0.1507,0.1468,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T04:00:00Z,2018
13,2018-05-09T05:00:00Z,SD,CMP 246,2.52,7.95,92,545,0.1173,0.1525,0.1487,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T05:00:00Z,2018
14,2018-05-09T06:00:00Z,SD,CMP 247,2.513,7.91,104,300,0.1246,0.1949,0.149,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T06:00:00Z,2018
15,2018-05-08T07:00:00Z,SD,CMP 248,2.522,7.88,88,845,0.1299,0.217,0.1542,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T07:00:00Z,2018
16,2018-05-08T08:00:00Z,SD,CMP 249,2.593,7.94,82,490,0.1293,0.1653,0.1492,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T08:00:00Z,2018
17,2018-05-08T09:00:00Z,SD,CMP 250,2.653,7.98,88,405,0.128,0.136,0.1547,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T09:00:00Z,2018
18,2018-05-08T10:00:00Z,SD,CMP 251,2.682,7.99,91,465,0.1171,0.147,0.1581,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T10:00:00Z,2018
19,2018-05-08T11:00:00Z,SD,CMP 252,2.737,8.08,106,530,0.1237,0.1572,0.1681,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T11:00:00Z,2018
20,2018-05-08T12:00:00Z,SD,CMP 253,2.752,7.99,114,420,0.1201,0.1459,0.1542,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T12:00:00Z,2018
21,2018-05-08T13:00:00Z,SD,CMP 254,2.716,8.03,105,335,0.1252,0.1442,0.1537,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T13:00:00Z,2018
22,2018-05-08T14:00:00Z,SD,CMP 255,2.613,8.1,146,400,0.1341,0.1576,0.1635,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T14:00:00Z,2018
23,2018-05-08T15:00:00Z,SD,CMP 256,2.595,7.92,94,440,0.1183,0.1509,0.1578,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T15:00:00Z,2018
24,2018-05-08T16:00:00Z,SD,CMP 257,2.567,8.02,93,385,0.1161,0.144,0.1509,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T16:00:00Z,2018
1,2018-05-08T17:45:00Z,HL,CMP 258,2.74,7.92,38,630,0.1391,0.1311,0.1489,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T17:45:00Z,2018
2,2018-05-08T18:45:00Z,HL,CMP 259,2.769,8.09,57,538,0.1243,0.1636,0.1517,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T18:45:00Z,2018
3,2018-05-08T19:45:00Z,HL,CMP 260,2.711,8.14,54,495,0.1063,0.1623,0.1518,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T19:45:00Z,2018
4,2018-05-08T20:45:00Z,HL,CMP 261,2.82,8.18,43,410,0.1253,0.1486,0.1462,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T20:45:00Z,2018
5,2018-05-08T21:45:00Z,HL,CMP 262,2.87,8.16,48,398,0.1249,0.1465,0.1443,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T21:45:00Z,2018
6,2018-05-08T22:45:00Z,HL,CMP 263,3.019,8.14,71,436,0.1249,0.1331,0.1547,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T22:45:00Z,2018
7,2018-05-08T23:45:00Z,HL,CMP 264,3.039,8.22,59,477,0.1331,0.1671,0.1548,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T23:45:00Z,2018
8,2018-05-09T00:45:00Z,HL,CMP 265,3.041,8.17,57,459,0.1397,0.1618,0.1499,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T00:45:00Z,2018
9,2018-05-09T01:45:00Z,HL,CMP 266,2.957,8.16,75,419,0.1301,0.1574,0.1507,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T01:45:00Z,2018
10,2018-05-09T02:45:00Z,HL,CMP 267,2.81,8.19,86,405,0.1292,0.1658,0.1579,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T02:45:00Z,2018
11,2018-05-09T03:45:00Z,HL,CMP 268,2.752,8.15,80,535,0.1275,0.1672,0.164,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T03:45:00Z,2018
12,2018-05-09T04:45:00Z,HL,CMP 269,2.738,8.2,73,510,0.1276,0.1632,0.1552,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T04:45:00Z,2018
13,2018-05-09T05:45:00Z,HL,CMP 270,2.722,8.13,65,440,0.1305,0.1576,0.14,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T05:45:00Z,2018
14,2018-05-09T06:45:00Z,HL,CMP 271,2.731,8.18,74,500,0.1278,0.1612,0.1548,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-09T06:45:00Z,2018
15,2018-05-08T07:45:00Z,HL,CMP 272,2.727,8.12,58,550,0.1273,0.1604,0.1468,NA,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T07:45:00Z,2018
16,2018-05-08T08:45:00Z,HL,CMP 273,2.749,8.16,52,477,0.2569,0.2839,0.2784,noted in margins: .1290+.1279,LF,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-08T08:45:00Z,2018
