Site,Bottle,datetime,Deployment,ID,EC_uScm,pH,Turbidity_ntu,TP_mgL,TDP_mgL,PO4P_mgL,TN_mgL,TDN_mgL,DON_mgL,NH4N_mgL,NO3N_mgL,DOC_mgL,TSS_mgL,VSS_mgL,ID2,datetime_DLS
HL,1,2017-06-13T23:15:00Z,1,CMP 49,2.16,8.36,73.9,1.209,0.946,0.865,5.74,5.21,1.66,0.03,3.52,15.8,58.1,8.1,49,2017-06-13T23:15:00Z
HL,2,2017-06-14T00:15:00Z,1,CMP 50,2.09,8.27,76,1.053,0.787,0.703,5.5,4.23,1.4,0.05,2.78,14.7,55,8.7,50,2017-06-14T00:15:00Z
HL,3,2017-06-14T01:15:00Z,1,CMP 51,2.07,8.34,68.6,0.952,0.665,0.581,4.78,3.77,1.6,0.05,2.11,15.5,64.4,10.2,51,2017-06-14T01:15:00Z
HL,4,2017-06-14T02:15:00Z,1,CMP 52,2.02,8.33,63.4,0.832,0.598,0.551,3.89,3.66,1.74,0.06,1.86,14.3,58.3,9.8,52,2017-06-14T02:15:00Z
HL,5,2017-06-14T03:15:00Z,1,CMP 53,2.06,8.27,50.6,0.823,0.616,0.565,4.22,3.13,1.12,0.05,1.96,14.3,46.2,8.5,53,2017-06-14T03:15:00Z
HL,6,2017-06-14T04:15:00Z,1,CMP 54,2.09,8.3,47.5,0.878,0.665,0.607,4.49,3.72,1.46,0.05,2.21,14.8,41.3,7.1,54,2017-06-14T04:15:00Z
HL,7,2017-06-14T05:15:00Z,1,CMP 55,2.1,8.33,44,0.933,0.751,0.7,4.36,4.07,1.3,0.06,2.71,14,35,5.6,55,2017-06-14T05:15:00Z
HL,8,2017-06-14T06:15:00Z,1,CMP 56,2.14,8.37,43.5,1.071,0.842,0.782,5.11,4.76,1.53,0.06,3.17,14.3,38.7,5.1,56,2017-06-14T06:15:00Z
HL,9,2017-06-13T07:15:00Z,1,CMP 57,2.15,8.42,44.4,1.098,0.867,0.809,5.48,5.3,1.96,0.05,3.29,17.4,40.4,6.3,57,2017-06-13T07:15:00Z
HL,10,2017-06-13T08:15:00Z,1,CMP 58,2.12,8.33,51.2,1.043,0.775,0.738,4.99,4.48,1.44,0.06,2.97,13.9,48.1,8.1,58,2017-06-13T08:15:00Z
HL,11,2017-06-13T09:15:00Z,1,CMP 59,2.18,8.37,47.7,0.933,0.745,0.66,4.72,4.48,1.88,0.05,2.55,14.3,30.3,6.1,59,2017-06-13T09:15:00Z
HL,12,2017-06-13T10:15:00Z,1,CMP 60,2.1,8.37,47.5,0.887,0.677,0.629,4.99,3.44,1.04,0.06,2.34,14.9,38.8,7,60,2017-06-13T10:15:00Z
HL,13,2017-06-13T11:15:00Z,1,CMP 61,2.05,8.34,49.1,0.832,0.616,0.579,4.66,3.58,1.49,0.06,2.04,14.5,44.3,6,61,2017-06-13T11:15:00Z
HL,14,2017-06-13T12:15:00Z,1,CMP 62,2.01,8.33,49.3,0.823,0.61,0.531,3.95,3.09,1.19,0.07,1.83,13.7,43,7.7,62,2017-06-13T12:15:00Z
HL,15,2017-06-13T13:15:00Z,1,CMP 63,2.01,8.33,48.7,0.859,0.598,0.534,3.98,2.85,0.96,0.06,1.83,13.3,46.3,8.2,63,2017-06-13T13:15:00Z
HL,16,2017-06-13T14:15:00Z,1,CMP 64,2.05,8.24,48.3,0.823,0.61,0.579,3.98,3.66,1.56,0.07,2.04,13.6,40.8,7.4,64,2017-06-13T14:15:00Z
HL,17,2017-06-13T15:15:00Z,1,CMP 65,2.08,8.34,42.1,0.869,0.689,0.63,4.77,3.56,1.17,0.06,2.33,13.5,40.9,7.5,65,2017-06-13T15:15:00Z
HL,18,2017-06-13T16:15:00Z,1,CMP 66,2.11,8.31,46.2,0.942,0.763,0.681,5.02,4.36,1.65,0.06,2.66,14.4,42.2,7.6,66,2017-06-13T16:15:00Z
HL,19,2017-06-13T17:15:00Z,1,CMP 67,2.23,8.18,46.6,1.053,0.83,0.769,4.71,4.36,1.51,0.01,2.84,14.8,43.3,9.2,67,2017-06-13T17:15:00Z
HL,20,2017-06-13T18:15:00Z,1,CMP 68,2.4,8.26,54.7,0.961,0.726,0.684,3.77,3.31,1.57,0.04,1.71,14.9,49.5,9.1,68,2017-06-13T18:15:00Z
HL,21,2017-06-13T19:15:00Z,1,CMP 69,2.49,8.27,43.2,0.915,0.702,0.652,3.44,3.2,1.87,0.04,1.29,15.5,44.3,7.8,69,2017-06-13T19:15:00Z
HL,22,2017-06-13T20:15:00Z,1,CMP 70,2.52,8.34,43.9,0.924,0.696,0.643,3.31,3.15,1.99,0.03,1.12,15.4,43.6,7.9,70,2017-06-13T20:15:00Z
HL,23,2017-06-13T21:15:00Z,1,CMP 71,2.52,8.23,36.8,0.896,0.708,0.641,3.83,2.82,1.74,0.03,1.05,15.6,32.7,5.9,71,2017-06-13T21:15:00Z
HL,24,2017-06-13T22:15:00Z,1,CMP 72,2.42,8.21,37.8,0.896,0.683,0.643,3.09,2.86,1.37,0.05,1.44,15.6,36.6,6.8,72,2017-06-13T22:15:00Z
HL,0,2017-06-14T16:40:00Z,1,CMP 226,2.15,8.2,40.5,1.077,0.864,0.742,3.47,3.76,0.68,0.1,2.98,15.3,37.6,7.1,226,2017-06-14T16:45:00Z
HL,1,2017-06-28T15:56:00Z,2,CMP 200,2.16,8.02,106,0.992,0.553,0.461,2.45,2.22,0.73,0.02,1.47,16.1,90.8,15.6,200,2017-06-28T16:00:00Z
HL,2,2017-06-28T16:56:00Z,2,CMP 201,2.2,8.15,123,1.172,0.667,0.577,2.9,2.71,0.7,0.02,1.98,14.8,108,16.8,201,2017-06-28T17:00:00Z
HL,3,2017-06-28T17:56:00Z,2,CMP 202,2.36,8.06,91.2,1.134,0.693,0.585,2.81,2.54,0.78,0.02,1.75,17,79.9,14,202,2017-06-28T18:00:00Z
HL,4,2017-06-28T18:56:00Z,2,CMP 203,2.54,8.15,86.5,1.058,0.68,0.523,2.78,2.51,0.98,0,1.52,20.3,78.8,15.6,203,2017-06-28T19:00:00Z
HL,5,2017-06-28T19:56:00Z,2,CMP 204,2.6,8.12,575,2.805,0.712,0.582,2.56,2.34,1.15,0.01,1.18,22.9,484,52.3,204,2017-06-28T20:00:00Z
HL,6,2017-06-28T20:56:00Z,2,CMP 205,2.64,8.22,88.1,1.096,0.705,0.583,2.15,2.07,0.91,0.01,1.14,19.9,81,13.5,205,2017-06-28T21:00:00Z
HL,7,2017-06-28T21:56:00Z,2,CMP 206,2.59,8.21,61.1,0.954,0.705,0.593,2.09,1.97,0.99,0.01,0.97,19.8,54.5,9.7,206,2017-06-28T22:00:00Z
HL,8,2017-06-28T22:56:00Z,2,CMP 207,2.47,8.22,76.6,1.001,0.699,0.596,2.38,2.21,0.83,0.01,1.37,18.3,68.6,10.4,207,2017-06-28T23:00:00Z
HL,9,2017-06-28T23:56:00Z,2,CMP 208,2.26,8.21,109,1.22,0.743,0.605,3.16,3.09,0.89,0.03,2.17,15.7,100.6,15.4,208,2017-06-29T00:00:00Z
HL,10,2017-06-29T00:56:00Z,2,CMP 209,2.27,8.22,142,1.367,0.807,0.684,3.46,3.29,0.79,0.02,2.48,16.5,114.5,15.7,209,2017-06-29T01:00:00Z
HL,11,2017-06-29T01:56:00Z,2,CMP 210,2.22,8.23,144,1.177,0.636,0.551,2.77,2.62,0.71,0.03,1.88,14.5,116.1,15.3,210,2017-06-29T02:00:00Z
HL,12,2017-06-29T02:56:00Z,2,CMP 211,2.25,8.19,115,1.153,0.598,0.511,2.56,2.49,0.73,0.04,1.73,14,96.2,13.6,211,2017-06-29T03:00:00Z
HL,13,2017-06-29T03:56:00Z,2,CMP 212,2.22,8.23,101,0.868,0.585,0.501,2.53,2.41,0.63,0.04,1.74,13.6,80.2,12.4,212,2017-06-29T04:00:00Z
HL,14,2017-06-29T04:56:00Z,2,CMP 213,2.18,8.21,95.5,0.897,0.598,0.521,2.72,2.47,0.67,0.04,1.75,14,75.3,11.6,213,2017-06-29T05:00:00Z
HL,15,2017-06-29T05:56:00Z,2,CMP 214,2.2,8.2,100,1.039,0.655,0.574,2.89,2.79,0.7,0.05,2.05,14.6,88.3,11.4,214,2017-06-29T06:00:00Z
HL,16,2017-06-29T06:56:00Z,2,CMP 215,2.27,8.28,101,1.087,0.718,0.624,3.02,2.86,0.77,0.05,2.05,14.9,95.1,16.6,215,2017-06-29T07:00:00Z
HL,17,2017-06-28T07:56:00Z,2,CMP 216,2.34,8.26,98.5,1.106,0.782,0.665,3.26,3.05,0.9,0.06,2.08,15.8,84.9,13.2,216,2017-06-28T08:00:00Z
HL,18,2017-06-28T08:56:00Z,2,CMP 217,2.39,8.24,74.8,1.077,0.762,0.654,3.07,2.82,0.89,0.04,1.89,16.4,66.5,11,217,2017-06-28T09:00:00Z
HL,19,2017-06-28T09:56:00Z,2,CMP 218,2.37,8.22,65.8,1.058,0.756,0.665,2.99,2.8,0.76,0.06,1.98,16.5,55.8,9.8,218,2017-06-28T10:00:00Z
