Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,CablePwrV,Turb,F_Turb,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCµg/L,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Temp,F_Temp,SpCond,Sal,F_Sal,fDOMRFU,fDOMQSU,WiperPosV,Pressbara,Depth,F_Depth
8/18/2017,13:15, ,0,SD1,0,5.3,0,28.97,<0> (CND),0.83,3.29,0.1,0.15,83.8,<0> (CND),7.23,<0> (CND),7.65,<0> (CND),-61.9,21.365,<0> (CND),7767.9,4.31,<0> (CND),23.93,71.65,1.195,0.1945,1.99,<0> (CND)
8/18/2017,13:30, ,0,SD1,0,5.3,0,34.97,0,0.84,3.31,0.1,0.14,83,0,7.17,0,7.64,0,-61.9,21.353,0,7737.4,4.29,0,23.58,70.62,1.182,0.191,1.954,0
8/18/2017,13:45, ,0,SD1,0,5.3,0,29.18,0,1,3.95,0.11,0.16,84.1,0,7.22,0,7.67,0,-63.6,21.679,0,7355.7,4.06,0,26.43,79.17,1.193,0.1871,1.915,0
8/18/2017,14:00, ,0,SD1,0,5.3,0,29.2,0,1.05,4.15,0.13,0.17,85,0,7.28,0,7.7,0,-65.5,21.87,0,7065.4,3.89,0,27.78,83.22,1.19,0.1817,1.86,0
8/18/2017,14:15, ,0,SD1,0,5.3,0,30.98,0,1.08,4.26,0.15,0.2,86,0,7.34,0,7.73,0,-66.8,22.083,0,6929.5,3.81,0,28.42,85.13,1.194,0.176,1.802,0
8/18/2017,14:30, ,0,SD1,0,5.3,0,35.32,0,1.15,4.54,0.14,0.18,86.6,0,7.37,0,7.74,0,-67.9,22.311,0,6859.9,3.77,0,28.61,85.7,1.182,0.1699,1.74,0
8/18/2017,14:45, ,0,SD1,0,5.4,0,35.59,0,1.2,4.77,0.13,0.18,86.5,0,7.35,0,7.74,0,-67.7,22.356,0,6813.5,3.74,0,28.29,84.75,1.193,0.1631,1.671,0
8/18/2017,15:00, ,0,SD1,0,5.4,0,39.49,0,1.18,4.65,0.16,0.21,85.3,0,7.26,0,7.73,0,-67.3,22.273,0,6819.4,3.74,0,27.73,83.06,1.19,0.156,1.598,0
8/18/2017,15:15, ,0,SD1,0,5.4,0,44.11,0,1.21,4.79,0.16,0.21,84.9,0,7.22,0,7.74,0,-67.3,22.323,0,6685.9,3.67,0,28.27,84.68,1.195,0.1487,1.524,0
8/18/2017,15:30, ,0,SD1,0,5.4,0,33.43,0,1.31,5.21,0.18,0.22,85.9,0,7.28,0,7.75,0,-68,22.59,0,6561.5,3.59,0,30.09,90.15,1.181,0.1418,1.454,0
