Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,CablePwrV,Turb,F_Turb,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCµg/L,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Temp,F_Temp,SpCond,Sal,F_Sal,fDOMRFU,fDOMQSU,WiperPosV,Pressbara,Depth,F_Depth
7/20/2017,15:15, ,0,SD1,0,6.3,0,56.07,<0> (CND),1.32,5.22,0.2,0.2,79.8,<0> (CND),6.71,<0> (CND),7.75,<0> (CND),-63.4,23.577,<0> (CND),2937.3,1.53,<0> (CND),31.56,94.85,1.189,0.1417,1.468,<0> (CND)
7/20/2017,15:30, ,0,SD1,0,6.3,0,54.57,0,1.31,5.2,0.24,0.24,78.4,0,6.6,0,7.75,0,-63.3,23.532,0,2934,1.53,0,31.63,95.08,1.186,0.1344,1.393,0
7/20/2017,15:45, ,0,SD1,0,6.3,0,59.22,0,1.36,5.39,0.26,0.26,77.9,0,6.55,0,7.75,0,-63.6,23.63,0,2928.3,1.52,0,31.99,96.14,1.183,0.1279,1.327,0
7/20/2017,16:00, ,0,SD1,0,6.3,0,56.59,0,1.43,5.66,0.26,0.26,77.8,0,6.51,0,7.77,0,-64.5,23.807,0,2926.8,1.52,0,32.35,97.21,1.189,0.1221,1.268,0
7/20/2017,16:15, ,0,SD1,0,6.3,0,56.71,0,1.49,5.92,0.27,0.27,78.2,0,6.52,0,7.78,0,-65.4,23.995,0,2927.6,1.52,0,32.63,98.05,1.193,0.1163,1.208,0
7/20/2017,16:30, ,0,SD1,0,6.3,0,58.4,0,1.61,6.37,0.29,0.29,78.5,0,6.54,0,7.79,0,-66.1,24.153,0,2929.3,1.52,0,32.77,98.49,1.186,0.1114,1.158,0
7/20/2017,16:45, ,0,SD1,0,6.3,0,56.34,0,1.73,6.86,0.3,0.3,77.9,0,6.48,0,7.8,0,-66.4,24.2,0,2930.5,1.52,0,33,99.16,1.19,0.1074,1.117,0
7/20/2017,17:00, ,0,SD1,0,6.3,0,58.47,0,1.88,7.47,0.33,0.33,77.6,0,6.45,0,7.8,0,-66.6,24.208,0,2932.3,1.52,0,33.31,100.12,1.194,0.1048,1.09,0
7/20/2017,17:15, ,0,SD1,0,6.3,0,56.42,0,1.54,6.11,0.29,0.29,75.5,0,6.28,0,7.8,0,-66.3,24.181,0,2933.3,1.52,0,33.95,102.02,1.194,0.1037,1.079,0
7/20/2017,17:30, ,0,SD1,0,6.3,0,54.95,0,1.77,7.01,0.31,0.31,75.1,0,6.25,0,7.79,0,-66,24.144,0,2934.2,1.52,0,33.98,102.13,1.185,0.1032,1.074,0
7/20/2017,17:45, ,0,SD1,0,6.3,0,53.49,0,1.68,6.68,0.29,0.29,76.5,0,6.37,0,7.8,0,-66.6,24.107,0,2934.3,1.52,0,33.94,102.01,1.19,0.105,1.093,0
7/20/2017,18:00, ,0,SD1,0,6.3,0,52.98,0,1.36,5.41,0.23,0.23,78.4,0,6.68,0,7.8,0,-66.1,22.889,0,2910.9,1.51,0,35.03,105.26,1.191,0.1081,1.124,0
7/20/2017,18:15, ,0,SD1,0,6.3,0,43.61,0,1.29,5.12,0.2,0.2,79.3,0,6.79,0,7.8,0,-66.3,22.631,0,2910,1.51,0,35.9,107.86,1.193,0.1123,1.167,0
