Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,CablePwrV,Turb,F_Turb,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCµg/L,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Temp,F_Temp,SpCond,Sal,F_Sal,fDOMRFU,fDOMQSU,WiperPosV,Pressbara,Depth,F_Depth
7/6/2017,14:30, ,0,SD1,0,5.3,0,58.36,<0> (CND),1.29,5.12,0.2,0.21,79.8,<0> (CND),6.93,<0> (CND),7.72,<0> (CND),-61.2,21.923,<0> (CND),2648.4,1.37,<0> (CND),29.92,89.54,1.198,0.1801,1.87,<0> (CND)
7/6/2017,14:45, ,0,SD1,0,5.3,0,56.02,0,1.32,5.28,0.22,0.22,79.4,0,6.95,0,7.73,0,-61.2,21.526,0,2656.2,1.38,0,31.37,93.88,1.189,0.1766,1.835,0
7/6/2017,15:00, ,0,SD1,0,5.3,0,53.44,0,1.39,5.54,0.23,0.23,80.3,0,6.98,0,7.74,0,-62.3,21.864,0,2636,1.36,0,31.61,94.59,1.182,0.1726,1.793,0
7/6/2017,15:15, ,0,SD1,0,5.3,0,55.82,0,1.4,5.6,0.22,0.22,81.7,0,7.04,0,7.77,0,-63.9,22.353,0,2615.2,1.35,0,32.18,96.3,1.192,0.1682,1.749,0
7/6/2017,15:30, ,0,SD1,0,5.3,0,66.51,0,1.42,5.65,0.26,0.26,80.4,0,6.94,0,7.77,0,-63.7,22.292,0,2604.8,1.35,0,31.84,95.29,1.189,0.163,1.696,0
7/6/2017,15:45, ,0,SD1,0,5.3,0,66.96,0,1.46,5.82,0.26,0.26,80.1,0,6.88,0,7.77,0,-64.1,22.494,0,2596.4,1.34,0,31.69,94.82,1.186,0.1574,1.638,0
7/6/2017,16:00, ,0,SD1,0,5.3,0,66.92,0,1.49,5.94,0.26,0.26,78.9,0,6.78,0,7.76,0,-63.6,22.538,0,2590.3,1.34,0,31.49,94.23,1.186,0.1517,1.58,0
7/6/2017,16:15, ,0,SD1,0,5.3,0,63.26,0,1.51,6.02,0.24,0.25,80.1,0,6.85,0,7.77,0,-64.2,22.759,0,2579.6,1.33,0,32.19,96.33,1.185,0.1463,1.525,0
7/6/2017,16:30, ,0,SD1,0,5.3,0,59.23,0,1.47,5.84,0.25,0.26,79.9,0,6.83,0,7.78,0,-64.3,22.733,0,2576.2,1.33,0,32.4,96.96,1.184,0.141,1.47,0
7/6/2017,16:45, ,0,SD1,0,5.3,0,62.12,0,1.54,6.14,0.29,0.29,78.5,0,6.72,0,7.77,0,-63.8,22.668,0,2571.7,1.33,0,32.39,96.93,1.184,0.1357,1.416,0
7/6/2017,17:00, ,0,SD1,0,5.3,0,64.89,0,1.53,6.09,0.27,0.27,77.8,0,6.66,0,7.77,0,-64.1,22.708,0,2564.6,1.32,0,32.38,96.9,1.186,0.1305,1.363,0
