Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,CablePwrV,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Temp,F_Temp,ConduScm,SpCond,F_SpCond,Sal,F_Sal,nLFCondæS/cm,TDSmg/L,Turb,F_Turb,TSSmg/L,fDOMRFU,fDOMQSU,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCæg/L,pH,F_pH,pHmV,Presspsia,Depth,F_Depth
8/30/2018,10:30, ,0,LP,0,6.3,0,73,<0> (CND),6.43,<0> (CND),20.097,<0> (CND),8295.3,9152.4,<-5> (CND),5.14,<0> (CND),9232.2,5949,15.29,<0> (CND),0,50.68,152.13,1.83,7.33,0.22,0.22,7.71,<0> (CND),-54.6,1.289,0.962,<0> (CND)
8/30/2018,10:45, ,0,LP,0,6.3,0,73.4,0,6.46,0,20.158,0,8279.3,9123.1,-5,5.12,0,9201.8,5930,16.1,0,0,52,156.09,2.05,8.18,0.28,0.27,7.72,0,-55.6,1.261,0.942,0
8/30/2018,11:00, ,0,LP,0,6.3,0,73.2,0,6.43,0,20.241,0,8265,9091.3,-5,5.1,0,9168.5,5909,15.06,0,0,51.34,154.1,2.02,8.07,0.24,0.24,7.74,0,-56.4,1.232,0.922,0
8/30/2018,11:15, ,0,LP,0,6.3,0,72.6,0,6.37,0,20.269,0,8250.3,9069.8,-5,5.09,0,9146.4,5895,15.48,0,0,52.15,156.55,2,7.98,0.26,0.25,7.74,0,-56.6,1.213,0.909,0
8/30/2018,11:30, ,0,LP,0,6.3,0,70.6,0,6.18,0,20.348,0,8254.3,9059.2,-5,5.08,0,9134.6,5888,10.39,0,0,53.17,159.61,1.74,6.94,0.2,0.2,7.74,0,-56.3,1.208,0.905,0
8/30/2018,11:45, ,0,LP,0,6.3,0,68.6,0,6.02,0,20.287,0,8235.4,9050,-5,5.08,0,9126.2,5883,78.93,0,0,41.04,123.21,1.85,7.39,0.27,0.27,7.74,0,-56.4,1.219,0.913,0
8/30/2018,12:00, ,0,LP,0,6.3,0,70.1,0,6.15,0,20.289,0,8238.7,9053.2,-5,5.08,0,9129.4,5885,36.61,0,0,47.99,144.07,1.89,7.56,0.21,0.2,7.73,0,-56.2,1.261,0.942,0
8/30/2018,12:15, ,0,LP,0,6.3,0,64.6,0,5.66,0,20.339,0,8256.7,9063.5,-5,5.09,0,9139.1,5891,19.99,0,0,49.94,149.92,1.85,7.37,0.19,0.19,7.74,0,-56.7,1.334,0.994,0
8/30/2018,12:30, ,0,LP,0,6.2,0,72.3,0,6.33,0,20.391,0,8316.1,9118.8,-5,5.12,0,9194,5927,16.36,0,0,52.2,156.7,1.85,7.4,0.24,0.24,7.73,0,-56.2,1.44,1.069,0
8/30/2018,12:45, ,0,LP,0,6.2,0,85.2,0,7.37,0,20.935,0,8524.3,9241.8,-5,5.19,0,9309.9,6007,13.52,0,0,50.33,151.08,2.15,8.59,0.25,0.25,7.81,0,-60.6,1.567,1.158,0
8/30/2018,13:00, ,0,LP,0,6.2,0,80,0,6.97,0,20.637,0,8491.6,9263.6,-5,5.21,0,9336.4,6021,10.83,0,0,51.63,154.97,1.72,6.86,0.19,0.19,7.79,0,-59.3,1.711,1.259,0
8/30/2018,13:15, ,0,LP,0,6.2,0,83.8,0,7.32,0,20.462,0,8518,9326.4,-5,5.24,0,9402.3,6062,18.11,0,0,49.25,147.83,1.91,7.63,0.2,0.2,7.81,0,-60.6,1.856,1.36,0
8/30/2018,13:30, ,0,LP,0,6.2,0,80.3,0,7.02,0,20.426,0,8542.6,9360.3,-5,5.27,0,9437.1,6084,21.37,0,0,50.61,151.92,1.84,7.37,0.21,0.21,7.8,0,-60.1,1.997,1.46,0
8/30/2018,13:45, ,0,LP,0,6.2,0,80.8,0,7.08,0,20.347,0,8566.2,9401.8,-5,5.29,0,9480,6111,16.92,0,0,50.75,152.34,1.85,7.4,0.2,0.2,7.79,0,-59.2,2.132,1.554,0
8/30/2018,14:00, ,0,LP,0,6.2,0,79.3,0,6.95,0,20.283,0,8550.3,9397,-5,5.29,0,9476.1,6108,10.95,0,0,51.41,154.33,1.56,6.22,0.19,0.19,7.77,0,-58.2,2.263,1.646,0
8/30/2018,14:15, ,0,LP,0,6.2,0,80.7,0,7.08,0,20.234,0,8464.5,9312.2,-5,5.24,0,9391.4,6053,15.85,0,0,49.44,148.42,1.57,6.27,0.17,0.17,7.78,0,-58.7,2.393,1.738,0
8/30/2018,14:30, ,0,LP,0,6.2,0,80.8,0,7.1,0,20.236,0,8327.6,9161.2,-5,5.15,0,9239.1,5955,19.65,0,0,48.57,145.81,1.62,6.48,0.17,0.17,7.77,0,-58.5,2.514,1.823,0
8/30/2018,14:45, ,0,LP,0,6.2,0,81.9,0,7.17,0,20.4,0,8227.5,9020,-5,5.06,0,9094.4,5863,17.08,0,0,48.45,145.44,1.51,6.03,0.19,0.19,7.77,0,-58.3,2.623,1.9,0
8/30/2018,15:00, ,0,LP,0,6.2,0,81.2,0,7.11,0,20.415,0,8231.8,9021.8,-5,5.06,0,9095.9,5864,15.9,0,0,48.92,146.85,1.37,5.45,0.17,0.16,7.76,0,-57.4,2.722,1.97,0
8/30/2018,15:15, ,0,LP,0,6.2,0,78.9,0,6.92,0,20.351,0,8244.7,9048.2,-5,5.08,0,9123.5,5881,13.63,0,0,48.65,146.03,1.46,5.84,0.16,0.16,7.75,0,-57,2.805,2.028,0
8/30/2018,15:30, ,0,LP,0,6.2,0,77,0,6.75,0,20.327,0,8247.9,9056.2,-5,5.08,0,9131.8,5887,20.3,0,0,47.5,142.59,1.51,6.02,0.17,0.17,7.73,0,-56,2.87,2.074,0
8/30/2018,15:45, ,0,LP,0,6.2,0,79.3,0,6.95,0,20.327,0,8257.7,9067,-5,5.09,0,9142.8,5894,19.26,0,0,47.52,142.66,1.5,5.98,0.17,0.16,7.74,0,-56.3,2.922,2.11,0
8/30/2018,16:00, ,0,LP,0,6.2,0,75.6,0,6.62,0,20.33,0,8263,9072.2,-5,5.09,0,9148,5897,10.85,0,0,48.62,145.95,1.33,5.32,0.12,0.12,7.71,0,-54.5,2.97,2.144,0
8/30/2018,16:15, ,0,LP,0,6.2,0,73.7,0,6.46,0,20.34,0,8270,9078.1,-5,5.1,0,9153.8,5901,13.86,0,0,48.38,145.22,1.42,5.66,0.17,0.17,7.72,0,-55.1,3.011,2.173,0
8/30/2018,16:30, ,0,LP,0,6.2,0,77.3,0,6.78,0,20.348,0,8271.4,9078.1,-5,5.1,0,9153.7,5901,17.04,0,0,47.45,142.45,1.44,5.76,0.17,0.17,7.71,0,-54.8,3.047,2.198,0
