Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,pH,F_pH,pHmV,Turb,F_Turb,Temp,F_Temp,CondmS/cm,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,fDOMRFU,fDOMQSU,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCµg/L,Chlorophyllraw,BGA-PCraw,WiperPosV,Depth,F_Depth
4/13/2018,10:00, ,0,LP,0,5.5,7.67,0,-62.5,53.24,0,15.748,0,1.6636,2.0207,0,1.04,0,66.4,0,6.55,0,41.08,123.22,1.56,6.36,0.48,0.5,1.42,-0.59,1.212,1.557,0
4/13/2018,10:15, ,0,LP,0,5.5,7.67,0,-62.4,48.13,0,15.832,0,1.6712,2.0259,0,1.04,0,65.4,0,6.44,0,41.16,123.47,1.53,6.24,0.47,0.49,1.39,-0.6,1.196,1.645,0
4/13/2018,10:30, ,0,LP,0,5.4,7.66,0,-61.9,50.41,0,15.935,0,1.6981,2.0536,0,1.05,0,64.5,0,6.33,0,41.74,125.21,1.56,6.33,0.45,0.47,1.41,-0.62,1.204,1.734,0
4/13/2018,10:45, ,0,LP,0,5.5,7.66,0,-61.8,51.23,0,16.026,0,1.7133,2.0678,0,1.06,0,63.4,0,6.21,0,41.74,125.2,1.56,6.36,0.45,0.48,1.42,-0.62,1.204,1.818,0
4/13/2018,11:00, ,0,LP,0,5.4,7.66,0,-62,47.83,0,16.09,0,1.7309,2.0858,0,1.07,0,61.8,0,6.05,0,44.04,132.1,1.56,6.35,0.46,0.49,1.41,-0.61,1.207,1.894,0
4/13/2018,11:15, ,0,LP,0,5.5,7.66,0,-61.9,45.92,0,16.113,0,1.7313,2.0852,0,1.07,0,62,0,6.07,0,42.96,128.87,1.6,6.5,0.45,0.48,1.45,-0.62,1.2,1.962,0
4/13/2018,11:30, ,0,LP,0,5.4,7.66,0,-62,45.48,0,16.24,0,1.7421,2.0922,0,1.08,0,63.6,0,6.21,0,43.15,129.43,1.6,6.49,0.46,0.49,1.45,-0.61,1.206,2.019,0
4/13/2018,11:45, ,0,LP,0,5.5,7.66,0,-61.6,41.43,0,16.228,0,1.7408,2.0912,0,1.07,0,60.5,0,5.91,0,44.63,133.86,1.5,6.1,0.39,0.41,1.35,-0.68,1.197,2.068,0
4/13/2018,12:00, ,0,LP,0,5.4,7.68,0,-62.7,48.57,0,16.393,0,1.7499,2.0941,0,1.08,0,65,0,6.32,0,42.05,126.12,1.53,6.22,0.47,0.49,1.38,-0.6,1.206,2.105,0
4/13/2018,12:15, ,0,LP,0,5.4,7.67,0,-62.5,50.37,0,16.414,0,1.754,2.0981,0,1.08,0,64.3,0,6.25,0,42.4,127.19,1.56,6.35,0.47,0.49,1.41,-0.6,1.196,2.134,0
4/13/2018,12:30, ,0,LP,0,5.4,7.66,0,-61.7,45.96,0,16.414,0,1.7544,2.0986,0,1.08,0,58.8,0,5.71,0,44.55,133.64,1.45,5.89,0.42,0.44,1.3,-0.65,1.204,2.151,0
4/13/2018,12:45, ,0,LP,0,5.4,7.67,0,-62.4,46.97,0,16.521,0,1.7713,2.1136,0,1.09,0,64.3,0,6.24,0,42.44,127.29,1.58,6.41,0.43,0.45,1.43,-0.64,1.207,2.151,0
4/13/2018,13:00, ,0,LP,0,5.4,7.67,0,-62.1,47.94,0,16.5,0,1.801,2.1501,0,1.11,0,64.9,0,6.3,0,42.69,128.06,1.64,6.67,0.46,0.48,1.49,-0.61,1.207,2.139,0
4/13/2018,13:15, ,0,LP,0,5.4,7.67,0,-62.2,47.83,0,16.557,0,1.7883,2.1322,0,1.1,0,65,0,6.3,0,42.58,127.71,1.63,6.63,0.44,0.47,1.48,-0.63,1.201,2.112,0
4/13/2018,13:30, ,0,LP,0,5.4,7.68,0,-62.8,47.03,0,17.263,0,1.808,2.1215,0,1.09,0,66.8,0,6.37,0,42.48,127.43,1.65,6.69,0.46,0.49,1.5,-0.61,1.206,2.072,0
4/13/2018,13:45, ,0,LP,0,5.5,7.68,0,-62.9,48.67,0,16.846,0,1.7794,2.1076,0,1.08,0,65.9,0,6.35,0,42.45,127.32,1.57,6.4,0.42,0.45,1.43,-0.65,1.2,2.018,0
4/13/2018,14:00, ,0,LP,0,5.4,7.68,0,-63.4,47.81,0,17.049,0,1.7793,2.0979,0,1.08,0,66.8,0,6.41,0,42.21,126.6,1.58,6.42,0.45,0.47,1.43,-0.62,1.208,1.959,0
4/13/2018,14:15, ,0,LP,0,5.4,7.68,0,-63.1,47.64,0,16.833,0,1.7679,2.0947,0,1.08,0,66.1,0,6.37,0,42.37,127.1,1.58,6.42,0.43,0.46,1.43,-0.64,1.204,1.889,0
4/13/2018,14:30, ,0,LP,0,5.4,7.68,0,-62.9,49.51,0,16.83,0,1.7672,2.0939,0,1.08,0,66.2,0,6.38,0,42.31,126.92,1.52,6.2,0.46,0.48,1.38,-0.61,1.206,1.813,0
4/13/2018,14:45, ,0,LP,0,5.4,7.68,0,-63.2,47.84,0,17.02,0,1.7692,2.0873,0,1.07,0,67.1,0,6.44,0,41.95,125.84,1.57,6.38,0.44,0.46,1.42,-0.63,1.2,1.736,0
4/13/2018,15:00, ,0,LP,0,5.4,7.68,0,-63.2,48.85,0,16.879,0,1.76,2.0831,0,1.07,0,66.9,0,6.44,0,41.67,124.98,1.57,6.37,0.45,0.48,1.42,-0.62,1.206,1.656,0
4/13/2018,15:15, ,0,LP,0,5.5,7.69,0,-63.4,49.26,0,16.859,0,1.7434,2.0645,0,1.06,0,67.1,0,6.46,0,41.25,123.74,1.52,6.2,0.43,0.45,1.38,-0.64,1.207,1.58,0
4/13/2018,15:30, ,0,LP,0,5.4,7.7,0,-64.3,46.87,0,16.872,0,1.7285,2.0462,0,1.05,0,67.4,0,6.49,0,40.52,121.53,1.51,6.15,0.41,0.44,1.36,-0.66,1.21,1.505,0
4/13/2018,15:45, ,0,LP,0,5.4,7.72,0,-65.6,51.03,0,16.875,0,1.713,2.0277,0,1.04,0,67.9,0,6.54,0,40.1,120.27,1.53,6.22,0.42,0.44,1.38,-0.65,1.202,1.432,0
4/13/2018,16:00, ,0,LP,0,5.4,7.76,0,-68,51.95,0,16.889,0,1.6957,2.0065,0,1.03,0,68.4,0,6.58,0,39.43,118.28,1.5,6.12,0.43,0.45,1.36,-0.64,1.204,1.361,0
4/13/2018,16:15, ,0,LP,0,5.4,7.81,0,-70.7,48.42,0,16.859,0,1.6759,1.9845,0,1.02,0,68.7,0,6.62,0,38.73,116.17,1.5,6.11,0.45,0.47,1.35,-0.62,1.2,1.295,0
4/13/2018,16:30, ,0,LP,0,5.4,7.85,0,-73,46.49,0,16.856,0,1.6574,1.9627,0,1.01,0,69,0,6.65,0,38.16,114.46,1.47,5.99,0.45,0.47,1.32,-0.62,1.215,1.232,0
4/13/2018,16:45, ,0,LP,0,5.4,7.92,0,-76.7,43.09,0,16.857,0,1.628,1.9278,0,0.99,0,69.4,0,6.69,0,37.09,111.25,1.45,5.92,0.44,0.46,1.31,-0.63,1.199,1.169,0
4/13/2018,17:00, ,0,LP,0,5.4,7.98,0,-80.4,40.3,0,16.822,0,1.5965,1.8921,0,0.97,0,69.6,0,6.71,0,35.94,107.8,1.42,5.77,0.43,0.45,1.27,-0.64,1.202,1.111,0
4/13/2018,17:15, ,0,LP,0,5.4,8.03,0,-83.6,38.4,0,16.783,0,1.5663,1.8579,0,0.95,0,69.9,0,6.75,0,34.86,104.55,1.35,5.5,0.42,0.45,1.2,-0.65,1.207,1.053,0
4/13/2018,17:30, ,0,LP,0,5.4,8.05,0,-84.6,35.83,0,16.777,0,1.5577,1.8479,0,0.94,0,70.2,0,6.78,0,34.59,103.76,1.36,5.53,0.42,0.45,1.21,-0.65,1.202,0.995,0
4/13/2018,17:45, ,0,LP,0,5.4,8.11,0,-87.8,33.66,0,16.722,0,1.5246,1.8109,0,0.92,0,70.5,0,6.81,0,33.34,100,1.3,5.29,0.41,0.43,1.15,-0.66,1.204,0.943,0
4/13/2018,18:00, ,0,LP,0,5.4,8.12,0,-88.7,33,0,16.688,0,1.5086,1.7933,0,0.91,0,70.7,0,6.84,0,32.86,98.55,1.23,5.04,0.39,0.41,1.09,-0.68,1.199,0.896,0
4/13/2018,18:15, ,0,LP,0,5.4,8.15,0,-90.2,30.24,0,16.658,0,1.4884,1.7705,0,0.9,0,71.2,0,6.89,0,32.33,96.97,1.24,5.05,0.39,0.42,1.09,-0.68,1.206,0.851,0
4/13/2018,18:30, ,0,LP,0,5.4,8.15,0,-90.4,29.5,0,16.637,0,1.4875,1.7703,0,0.9,0,71.2,0,6.9,0,32.34,97.01,1.23,5.02,0.4,0.42,1.08,-0.67,1.198,0.811,0
4/13/2018,18:45, ,0,LP,0,5.4,8.16,0,-91.2,26.79,0,16.612,0,1.4734,1.7545,0,0.89,0,71.2,0,6.9,0,32.04,96.11,1.25,5.12,0.42,0.44,1.11,-0.65,1.203,0.779,0
4/13/2018,19:00, ,0,LP,0,5.4,8.18,0,-92.1,28.72,0,16.592,0,1.4584,1.7375,0,0.88,0,71.3,0,6.92,0,31.57,94.69,1.21,4.96,0.4,0.43,1.07,-0.67,1.199,0.752,0
4/13/2018,19:15, ,0,LP,0,5.4,8.18,0,-92,25.88,0,16.578,0,1.4577,1.7372,0,0.88,0,70.9,0,6.88,0,31.68,95.01,1.21,4.93,0.41,0.44,1.06,-0.66,1.205,0.734,0
4/13/2018,19:30, ,0,LP,0,5.4,8.16,0,-91.1,20.57,0,16.571,0,1.4546,1.7338,0,0.88,0,66.9,0,6.49,0,33.69,101.06,1.04,4.25,0.36,0.38,0.89,-0.71,1.196,0.731,0
4/13/2018,19:45, ,0,LP,0,5.4,8.13,0,-89.1,17.94,0,16.541,0,1.4559,1.7365,0,0.88,0,63,0,6.12,0,34.35,103.04,0.96,3.93,0.3,0.33,0.81,-0.77,1.203,0.734,0
4/13/2018,20:00, ,0,LP,0,5.4,8.17,0,-91.5,27.05,0,16.5,0,1.4556,1.7377,0,0.88,0,67.3,0,6.53,0,34.5,103.48,1.01,4.15,0.34,0.37,0.86,-0.73,1.208,0.757,0
4/13/2018,20:15, ,0,LP,0,5.4,8.12,0,-88.5,14.62,0,16.501,0,1.4608,1.7439,0,0.89,0,57,0,5.54,0,35,104.98,0.97,3.97,0.32,0.34,0.82,-0.75,1.207,0.799,0
4/13/2018,20:30, ,0,LP,0,5.4,8.17,0,-91.4,27.17,0,16.486,0,1.4642,1.7486,0,0.89,0,70.5,0,6.85,0,32.23,96.66,1.14,4.67,0.39,0.41,0.99,-0.68,1.204,0.857,0
4/13/2018,20:45, ,0,LP,0,5.4,8.15,0,-90.2,26.34,0,16.48,0,1.4771,1.7642,0,0.9,0,69.9,0,6.79,0,32.81,98.41,1.28,5.21,0.41,0.43,1.13,-0.66,1.204,0.928,0
4/13/2018,21:00, ,0,LP,0,5.4,8.13,0,-89.2,28.36,0,16.474,0,1.4847,1.7735,0,0.9,0,69.2,0,6.72,0,33.68,101.02,1.23,5.01,0.43,0.45,1.08,-0.64,1.2,1.007,0
4/13/2018,21:15, ,0,LP,0,5.4,8.1,0,-87.5,29.32,0,16.48,0,1.5077,1.8007,0,0.92,0,67.2,0,6.53,0,35.13,105.38,1.17,4.8,0.39,0.41,1.03,-0.68,1.204,1.095,0
4/13/2018,21:30, ,0,LP,0,5.4,8.03,0,-83.1,30,0,16.561,0,1.5599,1.8597,0,0.95,0,67.3,0,6.53,0,35.95,107.82,1.38,5.62,0.44,0.46,1.23,-0.63,1.196,1.186,0
4/13/2018,21:45, ,0,LP,0,5.4,7.92,0,-77.1,33.72,0,16.663,0,1.6219,1.929,0,0.99,0,66.2,0,6.41,0,40.27,120.79,1.46,5.94,0.42,0.45,1.31,-0.65,1.204,1.282,0
4/13/2018,22:00, ,0,LP,0,5.4,7.76,0,-67.5,54.4,0,16.82,0,1.7039,2.0194,0,1.04,0,69,0,6.65,0,39.7,119.08,1.61,6.55,0.5,0.53,1.46,-0.57,1.206,1.379,0
4/13/2018,22:15, ,0,LP,0,5.4,7.72,0,-65.4,50.49,0,16.921,0,1.7322,2.0483,0,1.05,0,69,0,6.63,0,40.11,120.3,1.64,6.67,0.49,0.52,1.49,-0.58,1.206,1.477,0
4/13/2018,22:30, ,0,LP,0,5.4,7.71,0,-64.6,53.6,0,16.965,0,1.7429,2.0588,0,1.06,0,67.2,0,6.46,0,41.7,125.09,1.59,6.45,0.48,0.51,1.44,-0.59,1.204,1.578,0
4/13/2018,22:45, ,0,LP,0,5.4,7.7,0,-64.3,48.16,0,16.999,0,1.7535,2.0698,0,1.06,0,66.1,0,6.35,0,42.5,127.49,1.56,6.34,0.43,0.46,1.41,-0.64,1.204,1.676,0
4/13/2018,23:00, ,0,LP,0,5.4,7.69,0,-63.8,50.34,0,17.161,0,1.8501,2.1759,0,1.12,0,66.2,0,6.33,0,45.16,135.47,1.65,6.72,0.45,0.48,1.51,-0.62,1.204,1.769,0
4/13/2018,23:15, ,0,LP,0,5.4,7.69,0,-63.8,57.05,0,17.194,0,1.8566,2.1819,0,1.12,0,66.6,0,6.37,0,43.38,130.11,1.7,6.89,0.47,0.49,1.55,-0.6,1.208,1.86,0
4/13/2018,23:30, ,0,LP,0,5.4,7.7,0,-64.1,58.86,0,17.2,0,1.8322,2.1529,0,1.11,0,66.7,0,6.38,0,42.37,127.09,1.63,6.61,0.47,0.49,1.48,-0.61,1.196,1.941,0
4/13/2018,23:45, ,0,LP,0,5.4,7.69,0,-63.8,55.64,0,17.17,0,1.8288,2.1504,0,1.11,0,63.2,0,6.04,0,42.82,128.43,1.65,6.69,0.45,0.48,1.5,-0.62,1.203,2.018,0
4/14/2018,0:00, ,0,LP,0,5.4,7.69,0,-63.8,50.05,0,17.228,0,1.8168,2.1335,0,1.1,0,64.6,0,6.18,0,42.39,127.15,1.64,6.68,0.48,0.5,1.5,-0.59,1.197,2.082,0
4/14/2018,0:15, ,0,LP,0,5.4,7.69,0,-63.7,53.57,0,17.227,0,1.8215,2.139,0,1.1,0,65.7,0,6.28,0,41.88,125.62,1.68,6.83,0.48,0.5,1.53,-0.59,1.204,2.137,0
4/14/2018,0:30, ,0,LP,0,5.4,7.68,0,-63.1,47.85,0,17.212,0,1.8372,2.1583,0,1.11,0,64.8,0,6.19,0,42.97,128.9,1.68,6.83,0.48,0.5,1.53,-0.59,1.197,2.183,0
4/14/2018,0:45, ,0,LP,0,5.4,7.66,0,-61.9,47.66,0,17.16,0,1.8404,2.1645,0,1.11,0,61.6,0,5.89,0,44.11,132.32,1.66,6.76,0.43,0.45,1.52,-0.64,1.204,2.218,0
4/14/2018,1:00, ,0,LP,0,5.4,7.67,0,-62.5,56,0,17.169,0,1.8579,2.1847,0,1.12,0,64.7,0,6.19,0,41.8,125.37,1.67,6.78,0.48,0.5,1.52,-0.59,1.199,2.239,0
4/14/2018,1:15, ,0,LP,0,5.4,7.64,0,-61,49.49,0,17.144,0,1.8594,2.1876,0,1.13,0,61.6,0,5.89,0,42.78,128.32,1.53,6.24,0.44,0.47,1.39,-0.63,1.206,2.246,0
4/14/2018,1:30, ,0,LP,0,5.4,7.66,0,-61.7,54.72,0,17.142,0,1.8795,2.2114,0,1.14,0,64.4,0,6.16,0,41.6,124.79,1.72,6.98,0.47,0.5,1.57,-0.6,1.2,2.24,0
4/14/2018,1:45, ,0,LP,0,5.4,7.65,0,-61.1,48.51,0,17.145,0,1.8853,2.2181,0,1.14,0,62.9,0,6.02,0,42.24,126.71,1.65,6.7,0.47,0.49,1.5,-0.6,1.203,2.221,0
4/14/2018,2:00, ,0,LP,0,5.4,7.65,0,-61.6,51.88,0,17.111,0,1.882,2.2159,0,1.14,0,64.3,0,6.16,0,41.91,125.71,1.68,6.83,0.48,0.5,1.53,-0.59,1.203,2.189,0
4/14/2018,2:15, ,0,LP,0,5.4,7.65,0,-61.5,51.26,0,17.096,0,1.8795,2.2137,0,1.14,0,64.1,0,6.14,0,42.04,126.1,1.66,6.73,0.46,0.49,1.51,-0.61,1.209,2.144,0
4/14/2018,2:30, ,0,LP,0,5.4,7.66,0,-61.8,55.17,0,17.093,0,1.864,2.1956,0,1.13,0,64.8,0,6.21,0,42.08,126.23,1.71,6.94,0.45,0.48,1.56,-0.62,1.206,2.088,0
4/14/2018,2:45, ,0,LP,0,5.4,7.67,0,-62.5,51.14,0,17.068,0,1.8438,2.173,0,1.12,0,65.6,0,6.29,0,42.09,126.26,1.66,6.76,0.46,0.48,1.52,-0.61,1.204,2.021,0
4/14/2018,3:00, ,0,LP,0,5.4,7.68,0,-62.9,57.42,0,17.052,0,1.8237,2.1501,0,1.11,0,65.9,0,6.32,0,41.77,125.3,1.63,6.61,0.47,0.49,1.48,-0.6,1.209,1.947,0
4/14/2018,3:15, ,0,LP,0,5.4,7.68,0,-63,47.43,0,17.022,0,1.8137,2.1397,0,1.1,0,65.8,0,6.32,0,42.12,126.35,1.59,6.47,0.45,0.47,1.44,-0.62,1.205,1.864,0
4/14/2018,3:30, ,0,LP,0,5.4,7.68,0,-63.1,53.31,0,16.96,0,1.8139,2.143,0,1.1,0,65.8,0,6.33,0,42.17,126.49,1.6,6.51,0.49,0.51,1.45,-0.58,1.207,1.783,0
4/14/2018,3:45, ,0,LP,0,5.4,7.68,0,-63.3,53.21,0,16.876,0,1.8172,2.151,0,1.11,0,65.7,0,6.33,0,42.3,126.87,1.63,6.61,0.46,0.48,1.48,-0.61,1.21,1.699,0
4/14/2018,4:00, ,0,LP,0,5.4,7.69,0,-63.5,52.49,0,16.83,0,1.8184,2.1547,0,1.11,0,65.8,0,6.34,0,42.26,126.77,1.6,6.52,0.47,0.5,1.46,-0.6,1.209,1.615,0
4/14/2018,4:15, ,0,LP,0,5.4,7.69,0,-63.6,53.25,0,16.737,0,1.8016,2.1392,0,1.1,0,65.8,0,6.36,0,42,125.98,1.64,6.65,0.46,0.49,1.49,-0.61,1.212,1.532,0
4/14/2018,4:30, ,0,LP,0,5.4,7.7,0,-64.3,52.87,0,16.642,0,1.7746,2.1116,0,1.09,0,66.2,0,6.4,0,41.48,124.42,1.61,6.54,0.46,0.49,1.46,-0.61,1.213,1.455,0
4/14/2018,4:45, ,0,LP,0,5.4,7.72,0,-65.2,50.35,0,16.546,0,1.7443,2.0802,0,1.07,0,66.3,0,6.43,0,40.94,122.8,1.59,6.46,0.42,0.44,1.44,-0.65,1.214,1.381,0
4/14/2018,5:00, ,0,LP,0,5.4,7.74,0,-66.7,53.4,0,16.417,0,1.7124,2.0481,0,1.05,0,66.4,0,6.46,0,40.18,120.51,1.54,6.28,0.48,0.5,1.4,-0.59,1.211,1.315,0
4/14/2018,5:15, ,0,LP,0,5.4,7.79,0,-69.6,48.43,0,16.283,0,1.6794,2.0149,0,1.03,0,66.4,0,6.48,0,39.56,118.66,1.57,6.37,0.47,0.49,1.42,-0.6,1.211,1.246,0
4/14/2018,5:30, ,0,LP,0,5.4,7.83,0,-71.7,46.86,0,16.214,0,1.6596,1.9942,0,1.02,0,66.4,0,6.48,0,39.18,117.51,1.52,6.17,0.48,0.51,1.37,-0.59,1.212,1.183,0
4/14/2018,5:45, ,0,LP,0,5.4,7.9,0,-75.5,44.02,0,16.117,0,1.6227,1.9542,0,1,0,66.4,0,6.5,0,38.25,114.73,1.47,5.99,0.45,0.48,1.32,-0.62,1.21,1.124,0
4/14/2018,6:00, ,0,LP,0,5.4,7.94,0,-78.2,40.34,0,16.05,0,1.5958,1.9249,0,0.99,0,66.4,0,6.51,0,37.42,112.24,1.47,5.99,0.47,0.49,1.32,-0.6,1.209,1.07,0
4/14/2018,6:15, ,0,LP,0,5.4,7.99,0,-81.2,37.23,0,15.983,0,1.5713,1.8982,0,0.97,0,66.6,0,6.54,0,36.68,110.01,1.48,6.02,0.48,0.51,1.33,-0.59,1.204,1.017,0
4/14/2018,6:30, ,0,LP,0,5.4,8,0,-81.5,37.72,0,15.972,0,1.5673,1.8939,0,0.97,0,66.5,0,6.53,0,36.64,109.9,1.41,5.75,0.48,0.5,1.26,-0.59,1.212,0.97,0
