Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,CablePwrV,Turb,F_Turb,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Temp,F_Temp,SpCond,Sal,F_Sal,fDOMRFU,fDOMQSU,ChlorophyllRFU,ChlorophyllugL,BGA-PCRFU,BGA-PCµg/L,WiperPosV,Pressbara,Depth,F_Depth
9/14/2017,10:45, ,0,LP,0,6.2,0,21.49,<0> (CND),79.1,<0> (CND),6.77,<0> (CND),7.69,<0> (CND),-54.9,21.906,<0> (CND),7168,3.95,<0> (CND),35.19,105.56,1.21,4.74,0.2,0.22,1.203,0.2033,2.065,<0> (CND)
9/14/2017,11:00, ,0,LP,0,6.2,0,19.92,0,78.7,0,6.74,0,7.69,0,-54.8,21.898,0,7156.2,3.94,0,35.62,106.88,1.27,4.98,0.22,0.23,1.207,0.2004,2.036,0
9/14/2017,11:15, ,0,LP,0,6.2,0,19.61,0,78.9,0,6.75,0,7.69,0,-54.9,21.913,0,7143.4,3.94,0,35.97,107.9,1.26,4.93,0.21,0.22,1.206,0.1966,1.997,0
9/14/2017,11:30, ,0,LP,0,6.2,0,22.96,0,78.4,0,6.71,0,7.69,0,-54.7,21.925,0,7101,3.91,0,36.47,109.43,1.27,4.95,0.24,0.25,1.208,0.1927,1.957,0
9/14/2017,11:45, ,0,LP,0,6.2,0,21.22,0,78,0,6.68,0,7.69,0,-54.7,21.913,0,7070.5,3.89,0,36.79,110.37,1.31,5.11,0.23,0.24,1.208,0.1883,1.912,0
9/14/2017,12:00, ,0,LP,0,6.2,0,20.47,0,77.8,0,6.66,0,7.69,0,-54.9,21.907,0,7038.2,3.87,0,37.02,111.05,1.33,5.22,0.26,0.27,1.206,0.1836,1.864,0
9/14/2017,12:15, ,0,LP,0,6.2,0,21.31,0,77.5,0,6.63,0,7.69,0,-54.9,21.911,0,7027.5,3.87,0,37.32,111.97,1.38,5.41,0.25,0.26,1.199,0.1784,1.811,0
9/14/2017,12:30, ,0,LP,0,6.2,0,21.98,0,77.1,0,6.6,0,7.69,0,-55,21.922,0,7016,3.86,0,37.49,112.49,1.35,5.27,0.24,0.25,1.204,0.1727,1.753,0
9/14/2017,12:45, ,0,LP,0,6.2,0,22.6,0,76.8,0,6.58,0,7.7,0,-55.2,21.915,0,6994.4,3.85,0,38.1,114.31,1.38,5.41,0.26,0.27,1.207,0.1667,1.692,0
9/14/2017,13:00, ,0,LP,0,6.2,0,22.23,0,76.5,0,6.56,0,7.7,0,-55.2,21.888,0,7000.1,3.85,0,38.35,115.05,1.38,5.41,0.26,0.28,1.206,0.1604,1.628,0
9/14/2017,13:15, ,0,LP,0,6.2,0,23.17,0,76.1,0,6.53,0,7.7,0,-55.1,21.84,0,7004.3,3.85,0,38.8,116.41,1.4,5.5,0.26,0.27,1.203,0.1539,1.561,0
9/14/2017,13:30, ,0,LP,0,6.2,0,23.19,0,75.7,0,6.5,0,7.69,0,-55,21.812,0,7006.8,3.86,0,39.28,117.83,1.46,5.73,0.28,0.29,1.205,0.1479,1.5,0
9/14/2017,13:45, ,0,LP,0,6.2,0,25.21,0,75.5,0,6.47,0,7.69,0,-54.9,21.835,0,7006.3,3.86,0,39.22,117.67,1.48,5.8,0.29,0.3,1.199,0.1427,1.447,0
9/14/2017,14:00, ,0,LP,0,6.2,0,24.44,0,74.7,0,6.41,0,7.69,0,-54.6,21.824,0,6999.4,3.85,0,40.11,120.35,1.53,5.99,0.27,0.28,1.204,0.1375,1.394,0
9/14/2017,14:15, ,0,LP,0,6.2,0,23,0,74.5,0,6.39,0,7.68,0,-54.4,21.831,0,6990.3,3.85,0,40.32,120.97,1.54,6.03,0.29,0.31,1.199,0.1337,1.355,0
9/14/2017,14:30, ,0,LP,0,6.2,0,24.41,0,74.3,0,6.36,0,7.68,0,-54.2,21.891,0,6982,3.84,0,40.77,122.31,1.66,6.52,0.3,0.31,1.204,0.1308,1.325,0
9/14/2017,14:45, ,0,LP,0,6.2,0,25.34,0,74,0,6.33,0,7.68,0,-54.1,21.966,0,6981.5,3.84,0,40.71,122.13,1.72,6.77,0.3,0.31,1.209,0.1293,1.31,0
9/14/2017,15:00, ,0,LP,0,6.2,0,20.03,0,71.2,0,6.1,0,7.66,0,-53.2,21.899,0,6974.5,3.84,0,41.84,125.53,1.58,6.19,0.3,0.31,1.206,0.1288,1.305,0
9/14/2017,15:15, ,0,LP,0,6.2,0,18.44,0,69.8,0,5.98,0,7.66,0,-52.9,21.875,0,6974,3.84,0,42.29,126.87,1.49,5.83,0.24,0.25,1.204,0.1298,1.316,0
9/14/2017,15:30, ,0,LP,0,6.2,0,22.03,0,74,0,6.31,0,7.68,0,-54.3,22.17,0,6977.2,3.84,0,41.82,125.48,1.63,6.42,0.28,0.29,1.205,0.1323,1.34,0
9/14/2017,15:45, ,0,LP,0,6.2,0,16.63,0,71.3,0,6.08,0,7.66,0,-53.2,22.079,0,6977.4,3.84,0,42.2,126.6,1.42,5.57,0.26,0.27,1.199,0.1359,1.377,0
9/14/2017,16:00, ,0,LP,0,6.2,0,19.62,0,71.8,0,6.14,0,7.68,0,-54,22.043,0,6976.1,3.84,0,40.68,122.04,1.48,5.8,0.23,0.24,1.204,0.1406,1.426,0
9/14/2017,16:15, ,0,LP,0,6.2,0,19.8,0,73.4,0,6.25,0,7.67,0,-53.9,22.23,0,6982.2,3.84,0,41.97,125.92,1.62,6.37,0.33,0.34,1.209,0.1461,1.481,0
9/14/2017,16:30, ,0,LP,0,6.2,0,20.5,0,78.6,0,6.67,0,7.71,0,-56.2,22.427,0,6990,3.84,0,40.22,120.67,1.77,6.98,0.33,0.34,1.206,0.1518,1.54,0
9/14/2017,16:45, ,0,LP,0,6.2,0,16.13,0,73.3,0,6.22,0,7.68,0,-54.1,22.352,0,6995.2,3.85,0,39.89,119.69,1.38,5.39,0.23,0.24,1.204,0.1579,1.602,0
9/14/2017,17:00, ,0,LP,0,6.2,0,19.78,0,76.9,0,6.54,0,7.71,0,-56,22.3,0,6991.4,3.84,0,39.97,119.93,1.53,6.01,0.28,0.29,1.203,0.1641,1.666,0
9/14/2017,17:15, ,0,LP,0,6.2,0,17.49,0,76.9,0,6.55,0,7.71,0,-56,22.25,0,6992.4,3.85,0,40.25,120.75,1.47,5.76,0.26,0.28,1.201,0.1706,1.732,0
9/14/2017,17:30, ,0,LP,0,6.2,0,20.61,0,76.7,0,6.53,0,7.72,0,-56.5,22.242,0,6994.7,3.85,0,38.76,116.29,1.58,6.21,0.28,0.29,1.206,0.1771,1.798,0
9/14/2017,17:45, ,0,LP,0,6.2,0,18.08,0,77.2,0,6.57,0,7.71,0,-55.9,22.242,0,7022.1,3.86,0,38.79,116.37,1.34,5.26,0.24,0.25,1.199,0.1842,1.87,0
9/14/2017,18:00, ,0,LP,0,6.2,0,23.64,0,79.2,0,6.74,0,7.72,0,-56.5,22.222,0,7048.2,3.88,0,37.71,113.15,1.53,6.02,0.27,0.28,1.203,0.1907,1.937,0
9/14/2017,18:15, ,0,LP,0,6.2,0,20.32,0,79.3,0,6.75,0,7.71,0,-56.3,22.227,0,7079.8,3.9,0,38.07,114.21,1.34,5.26,0.26,0.27,1.197,0.1969,2.001,0
9/14/2017,18:30, ,0,LP,0,6.2,0,16.95,0,78.6,0,6.69,0,7.71,0,-55.8,22.229,0,7100.2,3.91,0,38.21,114.64,1.22,4.77,0.22,0.23,1.206,0.2028,2.061,0
9/14/2017,18:45, ,0,LP,0,6.2,0,16.14,0,77.9,0,6.63,0,7.7,0,-55.4,22.225,0,7116,3.92,0,38.3,114.9,1.33,5.19,0.2,0.22,1.204,0.2089,2.122,0
9/14/2017,19:00, ,0,LP,0,6.2,0,18.71,0,79.8,0,6.79,0,7.71,0,-55.9,22.247,0,7212.6,3.97,0,36.75,110.25,1.28,5.01,0.24,0.25,1.205,0.2146,2.181,0
9/14/2017,19:15, ,0,LP,0,6.2,0,19.21,0,80,0,6.8,0,7.71,0,-55.8,22.233,0,7255.2,4,0,36.07,108.2,1.28,4.99,0.25,0.26,1.198,0.22,2.236,0
9/14/2017,19:30, ,0,LP,0,6.2,0,25.57,0,80.6,0,6.86,0,7.7,0,-55.7,22.215,0,7301.2,4.03,0,35.59,106.78,1.31,5.13,0.24,0.25,1.205,0.2245,2.281,0
9/14/2017,19:45, ,0,LP,0,6.2,0,22.58,0,80,0,6.8,0,7.69,0,-55.1,22.197,0,7344.3,4.05,0,36.53,109.61,1.18,4.59,0.24,0.25,1.209,0.2283,2.32,0
9/14/2017,20:00, ,0,LP,0,6.2,0,18.13,0,80.4,0,6.83,0,7.69,0,-54.9,22.23,0,7435.7,4.11,0,35.3,105.89,1.27,4.95,0.23,0.25,1.206,0.2314,2.352,0
9/14/2017,20:15, ,0,LP,0,6.2,0,23.87,0,81.1,0,6.89,0,7.69,0,-54.9,22.234,0,7504.7,4.15,0,34.15,102.45,1.25,4.89,0.23,0.24,1.203,0.2338,2.376,0
9/14/2017,20:30, ,0,LP,0,6.2,0,17.7,0,79.6,0,6.77,0,7.68,0,-54.2,22.221,0,7495.6,4.14,0,34.66,103.98,1.15,4.47,0.18,0.2,1.204,0.2356,2.395,0
9/14/2017,20:45, ,0,LP,0,6.2,0,23.86,0,80.8,0,6.86,0,7.68,0,-54.4,22.211,0,7550.7,4.17,0,34.69,104.07,1.18,4.61,0.19,0.21,1.204,0.2366,2.405,0
9/14/2017,21:00, ,0,LP,0,6.2,0,18.57,0,80.4,0,6.83,0,7.68,0,-54.4,22.199,0,7563.8,4.18,0,34.47,103.43,1.19,4.66,0.23,0.24,1.206,0.2374,2.413,0
9/14/2017,21:15, ,0,LP,0,6.2,0,17.55,0,81,0,6.89,0,7.68,0,-54.4,22.177,0,7579.3,4.19,0,34.47,103.41,1.21,4.74,0.19,0.21,1.197,0.2378,2.418,0
9/14/2017,21:30, ,0,LP,0,6.2,0,15.65,0,80.5,0,6.85,0,7.68,0,-54,22.17,0,7594,4.2,0,34.7,104.12,1.13,4.39,0.22,0.23,1.203,0.2376,2.415,0
9/14/2017,21:45, ,0,LP,0,6.2,0,15.81,0,80,0,6.8,0,7.67,0,-53.6,22.15,0,7593.9,4.2,0,34.92,104.76,1.06,4.11,0.22,0.23,1.208,0.2368,2.407,0
9/14/2017,22:00, ,0,LP,0,6.2,0,13.47,0,79.5,0,6.77,0,7.67,0,-53.7,22.124,0,7587.7,4.2,0,34.97,104.9,1.07,4.18,0.19,0.21,1.206,0.2354,2.393,0
9/14/2017,22:15, ,0,LP,0,6.2,0,14.67,0,81.1,0,6.9,0,7.68,0,-54.3,22.149,0,7623.3,4.22,0,34.4,103.2,1.19,4.63,0.22,0.24,1.204,0.2331,2.37,0
9/14/2017,22:30, ,0,LP,0,6.2,0,24.8,0,80.9,0,6.89,0,7.68,0,-54,22.108,0,7610.2,4.21,0,34.38,103.15,1.17,4.56,0.21,0.22,1.205,0.2301,2.338,0
9/14/2017,22:45, ,0,LP,0,6.2,0,15.24,0,81.2,0,6.91,0,7.68,0,-54.3,22.097,0,7618.9,4.22,0,34.44,103.33,1.14,4.45,0.17,0.19,1.198,0.2262,2.299,0
9/14/2017,23:00, ,0,LP,0,6.2,0,16.57,0,80.7,0,6.88,0,7.68,0,-54.2,22.065,0,7593.8,4.2,0,34.33,102.99,1.14,4.44,0.21,0.22,1.203,0.2209,2.244,0
9/14/2017,23:15, ,0,LP,0,6.2,0,20.99,0,80,0,6.82,0,7.67,0,-53.8,22.007,0,7567.9,4.19,0,33.93,101.79,1.13,4.41,0.2,0.21,1.208,0.2147,2.181,0
9/14/2017,23:30, ,0,LP,0,6.2,0,20.25,0,79.1,0,6.76,0,7.67,0,-53.5,21.944,0,7538,4.17,0,33.65,100.96,1.16,4.54,0.22,0.23,1.206,0.2075,2.108,0
9/14/2017,23:45, ,0,LP,0,6.2,0,35.29,0,77.7,0,6.66,0,7.66,0,-53.3,21.849,0,7446.3,4.11,0,33.16,99.48,1.2,4.67,0.28,0.29,1.204,0.199,2.022,0
9/15/2017,0:00, ,0,LP,0,6.2,0,37.71,0,76.6,0,6.57,0,7.66,0,-53,21.737,0,7377.4,4.07,0,33.08,99.25,1.23,4.8,0.27,0.29,1.205,0.1903,1.933,0
9/15/2017,0:15, ,0,LP,0,6.2,0,46,0,75.4,0,6.49,0,7.66,0,-52.8,21.611,0,7289.4,4.02,0,33.27,99.82,1.15,4.49,0.29,0.3,1.199,0.1812,1.839,0
9/15/2017,0:30, ,0,LP,0,6.2,0,41.55,0,74.8,0,6.44,0,7.66,0,-52.8,21.544,0,7227.3,3.99,0,33.61,100.85,1.33,5.19,0.3,0.31,1.204,0.1719,1.744,0
9/15/2017,0:45, ,0,LP,0,6.2,0,47.49,0,74,0,6.39,0,7.66,0,-52.8,21.442,0,7168.5,3.95,0,34.5,103.52,1.37,5.36,0.29,0.3,1.209,0.1623,1.647,0
9/15/2017,1:00, ,0,LP,0,6.2,0,43.81,0,73.3,0,6.34,0,7.66,0,-52.7,21.367,0,7128.1,3.93,0,35,105.02,1.37,5.37,0.3,0.31,1.206,0.1534,1.556,0
9/15/2017,1:15, ,0,LP,0,6.2,0,45.48,0,71.7,0,6.22,0,7.65,0,-52.3,21.227,0,7077.2,3.9,0,35.97,107.93,1.43,5.6,0.33,0.35,1.204,0.145,1.47,0
9/15/2017,1:30, ,0,LP,0,6.2,0,46.19,0,70.4,0,6.12,0,7.65,0,-52.1,21.132,0,7032.7,3.87,0,37.19,111.57,1.49,5.85,0.36,0.37,1.206,0.1373,1.391,0
9/15/2017,1:45, ,0,LP,0,6.2,0,46.11,0,69.3,0,6.04,0,7.64,0,-51.8,21.015,0,7008.8,3.86,0,38.12,114.35,1.53,5.99,0.36,0.38,1.2,0.1305,1.322,0
9/15/2017,2:00, ,0,LP,0,6.2,0,31.46,0,68.6,0,5.98,0,7.64,0,-51.7,20.954,0,6986.6,3.85,0,39.5,118.5,1.54,6.03,0.36,0.37,1.205,0.1244,1.26,0
9/15/2017,2:15, ,0,LP,0,6.2,0,36.07,0,68,0,5.95,0,7.64,0,-51.5,20.882,0,6976.4,3.84,0,40.93,122.8,1.58,6.2,0.35,0.36,1.198,0.1192,1.207,0
9/15/2017,2:30, ,0,LP,0,6.2,0,30.34,0,67,0,5.86,0,7.63,0,-51.2,20.787,0,6952.8,3.83,0,41.63,124.91,1.58,6.19,0.35,0.36,1.204,0.1148,1.161,0
9/15/2017,2:45, ,0,LP,0,6.2,0,26.72,0,66,0,5.79,0,7.63,0,-50.9,20.698,0,6938.6,3.82,0,42.57,127.71,1.58,6.21,0.35,0.37,1.209,0.1105,1.118,0
9/15/2017,3:00, ,0,LP,0,6.2,0,26.97,0,65.4,0,5.75,0,7.62,0,-50.6,20.614,0,6931,3.82,0,43.22,129.65,1.64,6.43,0.34,0.35,1.207,0.1065,1.077,0
9/15/2017,3:15, ,0,LP,0,6.2,0,24.83,0,64.3,0,5.65,0,7.62,0,-50.2,20.536,0,6920.2,3.81,0,44.01,132.05,1.68,6.62,0.33,0.34,1.204,0.1022,1.033,0
9/15/2017,3:30, ,0,LP,0,6.2,0,27.27,0,64,0,5.64,0,7.62,0,-50.4,20.466,0,6902.2,3.8,0,44.56,133.7,1.7,6.67,0.34,0.35,1.205,0.0978,0.989,0
9/15/2017,3:45, ,0,LP,0,6.2,0,26.01,0,63.6,0,5.61,0,7.62,0,-50.3,20.415,0,6893.7,3.79,0,44.82,134.45,1.63,6.41,0.34,0.35,1.199,0.0931,0.94,0
9/15/2017,4:00, ,0,LP,0,6.2,0,21.07,0,63.3,0,5.59,0,7.62,0,-50.5,20.364,0,6873.6,3.78,0,45.43,136.28,1.69,6.64,0.33,0.34,1.205,0.0886,0.894,0
9/15/2017,4:15, ,0,LP,0,6.2,0,20.7,0,62.6,0,5.53,0,7.62,0,-50.3,20.289,0,6857.1,3.77,0,46.07,138.22,1.69,6.64,0.34,0.35,1.196,0.0841,0.848,0
9/15/2017,4:30, ,0,LP,0,6.2,0,23.07,0,61.8,0,5.48,0,7.62,0,-50.3,20.204,0,6807.3,3.74,0,46.84,140.51,1.7,6.69,0.35,0.36,1.204,0.0796,0.803,0
9/15/2017,4:45, ,0,LP,0,6.2,0,23.45,0,61.3,0,5.44,0,7.62,0,-50.3,20.155,0,6795.2,3.74,0,47.29,141.87,1.73,6.81,0.33,0.34,1.208,0.0759,0.765,0
9/15/2017,5:00, ,0,LP,0,6.2,0,19.53,0,60.4,0,5.36,0,7.62,0,-50.3,20.099,0,6759.5,3.72,0,47.64,142.93,1.67,6.56,0.35,0.36,1.206,0.0725,0.73,0
9/15/2017,5:15, ,0,LP,0,6.2,0,21.89,0,60.1,0,5.35,0,7.62,0,-50.2,20.048,0,6751.1,3.71,0,47.87,143.62,1.69,6.66,0.34,0.35,1.204,0.07,0.704,0
9/15/2017,5:30, ,0,LP,0,6.2,0,22.76,0,59.3,0,5.28,0,7.61,0,-50,20.009,0,6728.1,3.7,0,48.18,144.56,1.75,6.89,0.38,0.39,1.206,0.0691,0.695,0
9/15/2017,5:45, ,0,LP,0,6.2,0,23.08,0,58.3,0,5.2,0,7.62,0,-50.2,19.953,0,6700.1,3.68,0,48.48,145.44,1.79,7.04,0.34,0.35,1.198,0.0691,0.695,0
9/15/2017,6:00, ,0,LP,0,6.2,0,23.36,0,57.2,0,5.1,0,7.61,0,-49.6,19.897,0,6701.5,3.68,0,49.49,148.47,1.68,6.62,0.34,0.36,1.203,0.0708,0.713,0
9/15/2017,6:15, ,0,LP,0,6.2,0,23.42,0,57.7,0,5.15,0,7.61,0,-49.8,19.866,0,6720.2,3.69,0,48.68,146.05,1.68,6.59,0.35,0.36,1.208,0.0753,0.758,0
