Bottle,Date,Site,ID,DOC_ppm,DOC_rep2,TN_ppm,TN_rep2,NO3_ppm,NO3_rep2,NH4_ppm,NH4_rep2,TP_ppm,TP_rep2,PO4_PPM,PO4_rep2
17,4/18/2018,SD,CMP 62,11.0,,2.81,2.85,1.89,,0.07,,0.640,0.660,0.302,
18,4/18/2018,SD,CMP 63,10.8,,2.84,,1.66,,0.08,,0.611,,0.254,
19,4/18/2018,SD,CMP 64,10.3,,2.37,,1.43,,0.07,,0.563,,0.193,
20,4/18/2018,SD,CMP 65,10.0,,2.24,,1.27,,0.09,0.09,0.543,,0.156,0.156
21,4/18/2018,SD,CMP 66,9.6,,2.17,,1.19,,0.11,,0.514,,0.141,
22,4/18/2018,SD,CMP 67,9.3,,2.06,,1.19,,0.08,,0.494,,0.143,
23,4/18/2018,SD,CMP 68,12.5,12.6,2.18,,1.27,,0.09,,0.455,,0.156,
24,4/18/2018,SD,CMP 69,9.9,,2.29,,1.38,1.36,0.08,,0.524,,0.182,
1,4/18/2018,HL,CMP 70,11.6,,3.12,,1.99,,0.01,,0.844,,0.391,
2,4/18/2018,HL,CMP 71,11.3,,2.65,2.65,1.60,,0.03,,0.728,0.718,0.357,
6,4/18/2018,HL,CMP 72,11.6,,2.62,,1.57,,0.03,,0.660,,0.364,
7,4/18/2018,HL,CMP 73,11.7,,3.94,,2.55,,0.05,,1.017,,0.475,
8,4/18/2018,HL,CMP 74,11.5,,3.66,,2.26,,0.07,0.07,0.873,,0.418,0.420
9,4/18/2018,HL,CMP 75,11.1,,3.31,,2.05,,0.06,,0.747,,0.357,
10,4/18/2018,HL,CMP 76,11.1,,3.20,,1.98,,0.05,,0.737,,0.330,
11,4/18/2018,HL,CMP 77,11.0,,2.96,,2.01,,0.05,,0.631,,0.342,
12,4/18/2018,HL,CMP 78,11.1,11.1,3.29,,2.04,2.06,0.07,,0.679,,0.373,
13,4/18/2018,HL,CMP 79,11.3,,3.43,,2.21,,0.06,,0.660,,0.411,
14,4/18/2018,HL,CMP 80,11.3,,3.48,3.53,2.29,,0.07,,0.737,0.737,0.438,
15,4/18/2018,HL,CMP 81,11.4,,3.15,,1.98,,0.01,,0.708,,0.400,
16,4/18/2018,HL,CMP 82,11.4,,2.94,,1.84,,0.06,,0.621,,0.391,
17,4/18/2018,HL,CMP 83,11.2,,3.40,,2.17,,0.06,0.06,0.747,,0.418,0.420
18,4/18/2018,HL,CMP 84,10.9,,3.30,,2.16,,0.07,,0.737,,0.403,
19,4/18/2018,HL,CMP 85,10.8,,3.32,,2.05,,0.05,,0.757,,0.360,
20,4/18/2018,HL,CMP 86,10.9,,3.22,,1.90,,0.04,,0.757,,0.315,
21,4/18/2018,HL,CMP 87,10.8,10.8,2.74,,1.70,1.72,0.08,,0.592,,0.275,
22,4/18/2018,HL,CMP 88,10.7,,2.70,,1.67,,0.06,,0.563,,0.261,
23,4/18/2018,HL,CMP 89,11.0,,3.11,3.11,1.80,,0.08,,0.621,0.611,0.287,
24,4/18/2018,HL,CMP 90,10.8,,3.16,,1.94,,0.07,,0.728,,0.344,
,,,CMP 91,10.0,,1.88,,1.21,,0.02,,0.631,,0.151,
,,,CMP 92,11.4,,2.02,,1.22,,0.04,0.03,0.524,,0.169,0.169
,,,CMP 93,10.7,,2.01,,1.17,,0.03,,0.543,,0.196,
,,,CMP 94,12.0,,2.24,,1.43,,0.01,,0.572,,0.249,
,,,CMP 95,12.4,,2.37,,1.40,,0.05,,0.650,,0.270,
,,,CMP 96,12.7,,2.38,,1.21,1.21,0.00,,0.959,,0.281,
,,,CMP 97,13.1,,2.28,,1.16,,0.04,,0.892,,0.288,
,,,CMP 98,12.8,,2.39,2.40,1.23,,0.03,,0.931,0.931,0.278,
,,,CMP 99,13.0,,2.98,,1.90,,0.07,,0.873,,0.312,
,,,CMP 100,12.1,12.2,2.80,,1.81,,0.03,,0.776,,0.293,
,,,CMP 101,10.0,,2.00,,0.93,,0.03,0.03,0.988,,0.165,0.163
,,,CMP 102,6.7,,1.74,,0.33,,0.02,,0.640,,0.062,
,,,CMP 103,6.6,,0.96,,0.29,,0.03,,0.338,,0.042,
,,,CMP 104,6.7,,0.99,,0.30,,0.03,,0.260,,0.043,
,,,CMP 105,6.8,,0.95,,0.36,0.36,0.01,,0.279,,0.055,
,,,CMP 106,9.8,,1.75,,0.90,,0.03,,0.455,,0.163,
