Bottle,Date,Site,ID,DOC_ppm,DOC_rep2,TN_ppm,TN_rep2,NO3_ppm,NO3_rep2,NH4_ppm,NH4_rep2,TP_ppm,TP_rep2,PO4_PPM,PO4_rep2
,,,CMP 306,13.6,,2.01,,1.45,,0.01,,0.815,,0.236,
,,,CMP 307,12.4,,2.03,,1.37,,0.02,,0.708,,0.221,
,,,CMP 308,11.3,,1.94,,1.31,,0.03,,0.679,,0.203,
,,,CMP 309,11.8,,2.14,,1.44,1.43,0.04,,0.679,,0.246,
,,,CMP 310,12.3,12.2,2.31,2.34,1.51,,0.04,,0.795,,0.257,
,,,CMP 311,12.6,,2.34,,1.67,,0.05,,0.757,,0.296,
,,,CMP 312,12.5,,2.24,,1.73,,0.05,,0.815,0.834,0.312,
,,,CMP 313,13.3,,2.31,,1.67,,0.08,,0.959,,0.314,
,,,CMP 314,12.4,,2.88,,1.77,,0.05,,1.132,,0.321,0.326
,,,CMP 315,11.9,,2.09,,1.55,,0.05,,0.815,,0.275,
,,,CMP 316,11.3,,1.93,,1.37,,0.04,,0.815,,0.234,
,,,CMP 317,10.2,,1.83,,1.13,,0.05,,0.670,,0.182,
,,,CMP 318,11.9,,1.62,,0.90,0.92,0.04,,0.679,,0.160,
,,,CMP 319,9.0,,1.70,1.70,0.85,,0.04,,0.621,,0.129,
,,,CMP 320,9.8,9.7,2.01,,1.06,,0.04,,0.689,,0.168,
,,,CMP 321,10.8,,1.88,,1.22,,0.06,0.06,0.660,0.650,0.199,
,,,CMP 322,11.6,,1.90,,1.41,,0.06,,0.689,,0.243,
,,,CMP 323,12.3,,2.09,,1.50,,0.06,,0.728,,0.261,0.263
,,,CMP 324,12.7,,2.31,,1.55,,0.08,,0.940,,0.263,
,,,CMP 325,13.5,,2.26,,1.51,,0.10,,0.959,,0.261,
,,,CMP 326,14.4,,2.48,,1.34,,0.09,,0.921,,0.240,
,,,CMP 327,19.2,,2.04,,1.22,1.24,0.11,0.12,0.969,,0.231,
,,,CMP 328,17.7,,2.55,2.46,1.26,,0.10,,0.979,,0.234,
,,,CMP 329,14.8,,2.50,,1.78,,0.04,,1.007,,0.351,
,,,CMP 330,19.1,18.9,2.89,,1.91,,0.01,,0.911,0.892,0.362,
,,,CMP 331,14.6,,2.75,,1.86,,0.02,,0.853,,0.356,
,,,CMP 332,14.6,,2.67,,1.94,,0.04,,0.737,,0.386,0.386
,,,CMP 333,14.6,,2.93,,2.08,,0.03,,0.959,,0.420,
,,,CMP 334,15.5,,3.50,,2.24,,0.03,,0.931,,0.476,
,,,CMP 335,15.5,,2.65,,1.98,,0.03,,0.921,,0.469,
,,,CMP 336,15.7,,2.95,,1.82,1.81,0.02,,0.882,,0.460,
,,,CMP 337,15.6,,2.84,2.82,2.07,,0.04,,1.007,,0.472,
,,,CMP 338,14.6,,3.32,,2.13,,0.05,,0.988,,0.449,
,,,CMP 339,14.3,,2.81,,1.95,,0.06,,0.931,0.998,0.405,
,,,CMP 340,13.9,14.0,2.63,,1.83,,0.05,,1.199,,0.360,
,,,CMP 341,13.9,,2.60,,1.60,,0.05,0.05,0.921,,0.293,0.299
,,,CMP 342,14.3,,2.33,,1.51,,0.06,,0.708,,0.272,
,,,CMP 343,14.3,,2.28,,1.47,,0.06,,0.699,,0.273,
,,,CMP 344,13.1,,2.52,2.45,1.67,,0.06,,0.844,,0.323,
,,,CMP 345,13.8,,2.82,,1.84,1.86,0.05,,1.036,,0.383,
,,,CMP 346,14.4,,2.93,2.95,1.98,,0.03,,1.123,,0.430,
,,,CMP 347,15.4,,2.69,,1.75,,0.03,,0.979,,0.461,
,,,CMP 348,16.3,,2.51,,1.57,,0.03,,0.911,0.894,0.434,
,,,CMP 349,17.1,,2.33,,1.36,,0.03,,0.795,,0.418,
,,,CMP 350,8.0,7.9,2.09,,0.72,,0.02,,1.027,,0.128,0.128
,,,CMP 351,10.3,,1.76,,0.57,,0.01,0.01,1.266,,0.088,
,,,CMP 352,10.1,,1.94,1.91,0.63,,0.04,,1.055,,0.107,
,,,CMP 353,9.9,,1.77,,0.52,,0.03,,0.631,,0.091,
,,,CMP 354,11.4,,1.88,,0.55,0.55,0.02,,0.572,,0.097,
,,,CMP 355,13.0,,2.05,1.98,0.95,,0.02,,0.640,,0.196,
,,,CMP 356,13.3,,2.43,,1.38,,0.03,,0.699,,0.293,
,,,CMP 357,13.0,,2.43,,1.56,,0.05,,0.882,0.882,0.336,
,,,CMP 358,13.2,,2.01,,1.26,,0.04,,0.766,,0.267,
,,,CMP 359,12.7,,2.23,,1.36,,0.05,0.05,0.747,,0.267,0.266
,,,CMP 360,7.2,7.1,2.01,,1.03,,0.04,,0.563,,0.200,
,,,CMP 361,11.1,,1.67,,0.64,,0.03,,0.592,,0.119,
,,,CMP 362,11.0,,1.93,,0.85,,0.01,,0.834,,0.160,
,,,CMP 363,12.9,,2.19,,1.07,1.06,0.03,,0.873,,0.237,
,,,CMP 364,14.1,,2.01,2.03,1.09,,0.02,,0.776,,0.267,
,,,CMP 365,16.1,,2.22,,0.97,,0.02,,0.863,,0.276,
,,,CMP 366,17.0,,1.51,,0.82,,0.02,,1.027,0.953,0.273,
,,,CMP 367,17.4,,1.51,,0.65,,0.02,,0.950,,0.254,
,,,CMP 368,13.5,,2.15,,1.56,1.58,0.05,0.05,0.950,,0.335,0.336
1,5/29/2018,FM,CMP 369,14.3,,2.34,,1.77,,0.00,,0.873,,0.405,
2,5/29/2018,FM,CMP 370,12.9,13.0,2.20,,1.70,,0.03,,0.902,,0.405,
3,5/29/2018,FM,CMP 371,14.9,,2.32,,1.64,,0.00,,0.863,,0.395,
4,5/29/2018,FM,CMP 372,14.7,,2.39,,1.74,,0.05,,0.805,,0.427,
5,5/29/2018,FM,CMP 373,15.1,,2.52,2.45,1.86,,0.03,,0.795,,0.461,
6,5/29/2018,FM,CMP 374,15.0,,2.70,,2.02,1.96,0.06,,0.892,,0.512,
7,5/29/2018,FM,CMP 375,15.8,,2.74,,2.11,,0.06,,0.950,1.007,0.547,
8,5/29/2018,FM,CMP 376,14.9,,2.59,,1.97,,0.07,,0.853,,0.546,
9,5/29/2018,FM,CMP 377,14.1,,2.80,,1.95,,0.07,0.07,0.892,,0.504,0.501
10,5/29/2018,FM,CMP 378,16.1,,2.59,,1.89,,0.06,,0.921,,0.484,
11,5/29/2018,FM,CMP 379,14.8,,2.45,,1.70,,0.08,,0.805,,0.426,
12,5/29/2018,FM,CMP 380,12.1,12.2,2.11,,1.56,,0.07,,0.737,,0.394,
13,5/29/2018,FM,CMP 381,13.1,,2.01,,1.46,,0.06,,0.747,,0.333,
14,5/29/2018,FM,CMP 382,12.7,,1.93,1.93,1.31,,0.00,,0.699,,0.299,
15,5/29/2018,FM,CMP 383,12.7,,1.84,,1.34,1.40,0.09,,0.824,,0.320,
16,5/29/2018,FM,CMP 384,13.0,,2.48,,1.49,,0.00,,0.776,0.834,0.321,
17,5/29/2018,FM,CMP 385,13.8,,2.27,,1.63,,0.00,,0.950,,0.408,
18,5/29/2018,FM,CMP 386,14.5,,2.35,,1.77,,0.04,0.04,1.094,,0.473,0.469
19,5/29/2018,FM,CMP 387,13.4,,2.27,,1.73,,0.00,,1.055,,0.489,
20,5/29/2018,FM,CMP 388,15.5,,2.18,,1.53,,0.04,,1.007,,0.506,
21,5/29/2018,FM,CMP 389,16.3,,2.10,,1.43,,0.02,,0.931,,0.489,
22,5/29/2018,FM,CMP 390,16.1,16.0,2.19,,1.42,,0.00,,0.940,,0.510,
23,5/29/2018,FM,CMP 391,16.3,,2.29,2.27,1.45,,0.00,,0.940,,0.492,
24,5/29/2018,FM,CMP 392,15.5,,2.44,,1.81,1.86,0.00,,1.209,,0.512,
1,5/29/2018,HL,CMP 393,19.4,,1.50,,0.56,,0.00,,0.721,0.776,0.080,
2,5/29/2018,HL,CMP 394,10.7,,0.95,,0.44,,0.00,,0.757,,0.078,
3,5/29/2018,HL,CMP 395,10.1,,0.98,,0.43,,0.00,0.00,0.533,,0.080,0.078
4,5/29/2018,HL,CMP 396,10.7,,1.10,,0.52,,0.00,,0.387,,0.097,
5,5/29/2018,HL,CMP 397,12.6,,1.58,,0.91,,0.00,,0.533,,0.199,
6,5/29/2018,HL,CMP 398,13.2,,1.89,,1.29,,0.01,,0.611,,0.297,
7,5/29/2018,HL,CMP 399,14.3,,2.14,,1.40,,0.00,,0.679,,0.329,
8,5/29/2018,HL,CMP 400,13.9,14.0,1.97,1.97,1.31,,0.03,,0.776,,0.348,
9,5/29/2018,HL,CMP 401,12.5,,2.79,,2.13,2.12,0.00,,0.737,,0.216,
10,5/29/2018,HL,CMP 402,12.0,,3.69,,2.76,,0.07,,0.950,0.950,0.272,
11,5/29/2018,HL,CMP 403,11.4,,3.54,,2.56,,0.05,,0.660,,0.248,
12,5/29/2018,HL,CMP 404,10.8,,3.53,,2.14,,0.07,0.06,1.237,,0.227,0.228
13,5/29/2018,HL,CMP 405,8.8,,3.06,,1.57,,0.01,,0.708,,0.134,
14,5/29/2018,HL,CMP 406,8.2,,3.01,,1.35,,0.00,,0.718,,0.104,
15,5/29/2018,HL,CMP 407,7.8,,4.00,,3.01,,0.00,,0.795,,0.104,
16,5/29/2018,HL,CMP 408,9.3,,3.22,,1.71,,0.01,,0.795,,0.148,
17,5/29/2018,HL,CMP 409,11.7,,3.69,3.69,2.28,,0.00,,0.572,,0.224,
18,5/29/2018,HL,CMP 410,13.0,13.0,3.61,,2.46,2.43,0.00,,0.650,,0.257,
19,5/29/2018,HL,CMP 411,13.5,,3.76,,2.38,,0.00,,0.795,0.795,0.272,
20,5/29/2018,HL,CMP 412,14.7,,3.73,,2.29,,0.02,,0.766,,0.294,
21,5/29/2018,HL,CMP 413,15.7,,3.53,,2.12,,0.01,0.01,0.621,,0.291,0.291
22,5/29/2018,HL,CMP 414,16.7,,3.81,,2.06,,0.02,,0.988,,0.315,
23,5/29/2018,HL,CMP 415,15.5,,3.88,,2.25,,0.02,,0.921,,0.293,
24,5/29/2018,HL,CMP 416,14.2,,3.63,3.55,2.74,,0.02,,1.701,,0.309,
,,,CMP 417,10.0,,1.80,,0.44,,0.02,,0.989,,0.090,
,,,CMP 418,10.7,,2.32,,0.51,,0.00,,0.990,,0.101,
,,,CMP 419,11.4,,2.75,,0.73,,0.01,,0.650,,0.171,
,,,CMP 420,14.0,14.0,3.22,,1.26,1.25,0.01,,1.663,,0.272,
,,,CMP 421,12.9,,3.34,,1.40,,0.02,,1.182,,0.370,
,,,CMP 422,18.8,,3.52,,1.45,,0.02,0.02,1.118,,0.382,0.383
,,,CMP 423,11.9,,3.04,,1.02,,0.00,,1.427,1.436,0.251,
,,,CMP 424,11.8,,3.16,,1.42,,0.07,,1.209,,0.357,
,,,CMP 425,11.1,,2.88,2.84,0.99,,0.02,,0.724,,0.236,
,,,CMP 426,9.6,,2.19,,0.55,,0.02,,0.926,,0.115,
,,,CMP 427,9.5,,2.64,,0.74,,0.08,,0.972,,0.163,
,,,CMP 428,10.5,,1.91,,0.55,,0.06,,0.935,,0.122,
,,,CMP 429,5.7,,1.60,,0.51,0.51,0.05,,0.856,,0.116,
,,,CMP 430,6.5,6.5,2.15,,0.56,,0.06,,0.917,,0.129,
,,,CMP 431,10.2,,2.93,,0.81,,0.04,0.04,1.056,1.056,0.208,0.208
,,,CMP 432,12.5,,2.69,,0.98,,0.04,,1.127,,0.273,
,,,CMP 433,15.3,,2.87,,1.03,,0.03,,0.880,,0.332,
,,,CMP 434,16.7,,3.27,3.27,1.01,,0.02,,0.825,,0.365,
,,,CMP 435,17.7,,3.45,,0.99,,0.01,,0.825,,0.365,
,,,CMP 436,18.8,,3.02,,0.87,,0.00,,1.136,,0.362,
,,,CMP 437,19.2,,2.64,,0.86,,0.01,,0.788,,0.373,
,,,CMP 438,13.8,,3.55,,1.69,1.74,0.09,,1.100,,0.470,
,,,CMP 439,14.9,,3.78,,1.52,,0.07,,0.999,,0.434,
,,,CMP 440,13.2,13.2,2.68,,0.67,,0.02,0.02,1.291,1.273,0.206,0.206
,,,CMP 441,10.4,,2.43,,1.11,,0.08,,0.456,,0.276,
,,,CMP 442,11.4,,2.49,,1.15,,0.06,,0.613,,0.288,
,,,CMP 443,12.3,,3.07,3.06,1.33,,0.08,,0.595,,0.345,
,,,CMP 444,14.1,,3.42,,1.50,,0.07,,0.641,,0.395,
,,,CMP 445,16.3,,3.40,,1.53,,0.05,,0.678,,0.400,
,,,CMP 446,13.1,,3.43,,1.49,,0.05,,0.715,,0.408,
,,,CMP 447,13.3,,3.09,,1.58,1.54,0.06,,0.705,,0.424,
,,,CMP 448,12.1,,3.21,,1.36,,0.07,,0.641,,0.348,0.348
,,,CMP 449,10.7,,2.71,,1.12,,0.07,0.07,0.705,0.724,0.293,
,,,CMP 450,9.4,9.4,2.25,,0.91,,0.06,,0.715,,0.227,
,,,CMP 451,8.4,,1.94,,0.79,,0.08,,0.540,,0.196,
,,,CMP 452,7.8,,1.78,1.81,0.68,,0.07,,0.373,,0.168,
,,,CMP 453,8.6,,1.81,,0.69,,0.06,,0.317,,0.162,
,,,CMP 454,12.4,,2.45,,1.02,,0.05,,0.493,,0.324,
,,,CMP 455,11.4,,2.33,,1.26,,0.09,,0.521,,0.321,
,,,CMP 456,13.1,,2.62,,1.38,1.40,0.06,,0.641,,0.386,
,,,CMP 457,14.7,,2.84,,1.40,,0.06,,0.724,,0.376,0.376
,,,CMP 458,15.5,,2.68,,1.31,,0.07,0.06,0.733,,0.348,
,,,CMP 459,16.8,,2.72,,1.18,,0.06,,0.807,,0.330,0.336
,,,CMP 460,17.0,16.9,2.42,,1.01,,0.06,,0.834,,0.308,
,,,CMP 461,17.5,,2.81,2.80,1.05,,0.05,0.05,0.871,,0.306,0.305
,,,CMP 462,14.0,,3.16,,1.60,,0.05,,0.880,0.880,0.400,
,,,CMP 463,12.5,,2.84,,1.47,,0.07,,0.669,,0.423,0.421
,,,CMP 464,11.4,,2.69,,1.24,,0.06,,0.953,,0.389,0.397
,,,CMP 465,18.6,,4.09,,1.90,1.90,0.15,,0.807,,0.312,0.320
,,,CMP 466,15.4,,3.96,,1.90,,0.02,0.03,0.779,,0.476,0.481
,,,CMP 467,14.8,,3.81,,1.93,,0.06,,0.751,,0.496,
,,,CMP 468,14.5,,3.42,,2.04,,0.05,,0.751,,0.506,
,,,CMP 469,14.1,,4.74,,2.27,,0.02,,0.862,,0.583,0.589
,,,CMP 470,15.5,15.6,4.91,4.63,3.05,3.05,0.03,,0.953,,0.691,0.691
,,,CMP 471,15.2,,5.04,,2.32,,0.03,,1.008,1.008,0.679,0.677
,,,CMP 472,17.6,,4.18,,2.24,,0.03,,0.926,,0.661,0.657
,,,CMP 473,15.0,,5.15,,2.47,,0.02,,0.926,,0.644,
,,,CMP 474,14.3,,4.41,,2.22,2.24,0.06,,0.862,,0.596,
,,,CMP 475,13.8,,3.61,,1.92,,0.06,0.06,0.696,,0.501,
,,,CMP 476,13.0,,3.46,,1.66,,0.06,,0.715,,0.418,
,,,CMP 477,12.1,,3.24,,1.40,,0.07,,0.604,,0.350,
,,,CMP 478,11.6,,3.00,,1.25,,0.09,,0.447,,0.344,
,,,CMP 479,11.0,,3.10,3.15,1.23,,0.06,,0.456,,0.309,
,,,CMP 480,11.4,11.5,3.27,,1.35,,0.07,,0.521,,0.350,
,,,CMP 481,14.3,,3.88,,1.73,,0.06,,0.953,,0.456,
,,,CMP 482,13.8,,3.36,3.36,1.98,,0.05,,0.969,,0.555,
,,,CMP 483,15.5,,4.11,,2.06,2.05,0.04,,0.908,0.913,0.628,
,,,CMP 484,15.8,,4.53,,1.90,,0.03,0.03,1.036,,0.625,
,,,CMP 485,16.4,,3.76,,1.68,,0.02,,0.944,,0.613,0.614
,,,CMP 486,17.6,,3.25,,1.53,,0.04,,0.862,,0.603,0.613
,,,CMP 487,16.4,,3.95,,1.67,,0.03,,0.926,,0.611,0.608
,,,CMP 488,16.4,,6.34,6.48,3.28,,0.04,,1.237,,0.764,
,,,CMP 489,15.1,,4.82,,2.93,2.93,0.04,,1.309,,0.611,
,,,CMP 490,14.1,14.2,4.47,,2.29,,0.07,,1.063,,0.599,0.597
,,,CMP 491,13.8,,4.10,,2.09,,0.07,,0.999,,0.558,0.555
,,,CMP 492,14.8,,4.24,,2.44,2.32,0.06,,0.770,,0.627,0.683
,,,CMP 493,14.3,,4.83,,2.98,3.02,0.06,0.07,1.027,,0.676,0.701
,,,CMP 494,14.3,,4.39,,2.81,2.87,0.08,,1.054,,0.699,0.718
,,,CMP 495,15.3,,4.49,,2.18,,0.08,,1.008,,0.744,
,,,CMP 496,15.4,,4.04,,2.05,,0.09,,1.164,1.164,0.793,
,,,CMP 497,14.7,,4.88,4.80,2.27,,0.07,,1.072,,0.709,
,,,CMP 498,13.8,,4.97,,2.71,2.72,0.06,,1.045,,0.657,
,,,CMP 499,13.2,,3.82,,2.22,,0.06,,1.145,,0.574,
,,,CMP 500,12.4,12.5,4.05,,1.88,,0.08,,1.008,,0.493,0.476
,,,CMP 501,11.5,,3.51,,1.54,1.59,0.08,,0.953,,0.415,0.414
,,,CMP 502,10.9,,3.28,,1.40,,0.07,0.07,0.641,,0.370,0.371
,,,CMP 503,10.8,,3.04,,1.39,,0.10,,0.540,,0.370,0.377
,,,CMP 504,11.3,,3.78,,1.46,,0.05,,0.797,,0.389,0.392
,,,CMP 505,12.6,,3.87,,1.77,,0.08,,1.436,1.427,0.498,0.498
,,,CMP 506,14.3,,4.88,4.99,2.07,,0.07,,1.273,,0.650,0.647
,,,CMP 507,17.1,,4.53,,2.25,,0.10,,1.164,,0.758,0.758
,,,CMP 508,16.1,,4.38,,2.21,,0.07,,1.291,,0.844,0.844
,,,CMP 509,17.1,,4.25,,2.19,,0.11,,1.346,,0.928,0.949
,,,CMP 510,17.8,18.2,4.35,,2.13,2.25,0.17,,1.436,,0.956,0.965
,,,CMP 511,18.5,,4.50,,2.27,,0.13,0.13,1.527,,0.788,0.757
,,,CMP 512,15.5,,3.84,3.92,1.96,1.97,0.07,,1.173,1.182,0.718,0.721
,,,CMP 513,15.1,,2.13,,1.39,,0.04,,1.080,,0.297,
,,,CMP 514,12.1,,2.25,,1.36,,0.05,,1.075,,0.288,
,,,CMP 515,12.5,,1.94,1.92,1.29,,0.06,,1.428,,0.267,0.270
,,,CMP 516,13.2,,2.30,,1.39,,0.07,,1.428,,0.315,
,,,CMP 517,14.4,,2.10,,1.30,,0.07,,1.084,,0.294,
,,,CMP 518,14.2,,2.18,,1.18,,0.07,,1.247,,0.282,
,,,CMP 519,14.6,,2.27,,1.07,,0.10,,0.902,,0.279,
,,,CMP 520,14.3,14.3,2.63,,1.27,,0.09,0.08,1.120,,0.297,
,,,CMP 521,12.7,,2.51,,1.69,1.67,0.05,,1.247,1.256,0.420,
,,,CMP 522,12.5,,2.60,,1.73,,0.05,,1.218,,0.432,
,,,CMP 523,11.4,,2.06,,0.98,,0.05,,2.057,,0.218,
,,,CMP 524,9.8,,1.74,1.72,0.65,,0.04,,2.047,,0.137,0.135
,,,CMP 525,9.4,,1.28,,0.58,,0.05,,1.151,,0.120,
,,,CMP 526,9.5,,1.37,,0.61,,0.05,,1.113,,0.122,0.123
,,,CMP 527,10.1,,1.72,,0.71,,0.06,,1.870,,0.132,0.132
,,,CMP 528,12.1,,2.24,,1.28,,0.06,,0.969,,0.269,
,,,CMP 529,12.3,,2.47,,1.63,,0.08,0.08,0.786,,0.391,
,,,CMP 530,12.5,12.4,2.45,,1.61,1.60,0.09,,0.824,0.824,0.400,
,,,CMP 531,13.1,,2.55,,1.60,,0.10,,1.180,,0.388,
,,,CMP 532,12.6,,2.37,,1.55,,0.10,,1.190,,0.413,
,,,CMP 533,11.4,,2.25,2.18,1.19,,0.08,,1.107,,0.249,0.249
,,,CMP 534,10.4,,2.17,,1.33,,0.08,,1.380,,0.296,
,,,CMP 535,10.4,,2.41,,1.30,,0.08,,1.046,,0.309,
,,,CMP 536,11.3,,2.28,,1.33,,0.09,,1.352,,0.320,
,,,CMP 537,11.9,,2.28,,1.50,,0.05,,0.650,,0.339,
,,,CMP 538,14.4,,2.54,,1.50,,0.06,0.06,0.766,,0.362,
,,,CMP 539,13.8,,2.32,,1.45,1.44,0.05,,0.815,0.776,0.347,
,,,CMP 540,14.3,14.2,2.37,,1.41,,0.05,,0.921,,0.339,
,,,CMP 541,14.5,,2.02,,1.22,,0.05,,0.766,,0.311,
,,,CMP 542,14.3,,1.97,2.05,1.10,,0.04,,0.844,,0.297,0.297
,,,CMP 543,14.2,,2.31,,1.21,,0.04,,0.679,,0.314,
,,,CMP 544,13.5,,2.63,,1.72,,0.06,,0.979,,0.446,
,,,CMP 545,11.9,,2.24,,1.53,,0.07,,0.979,,0.380,
,,,CMP 546,10.5,,1.94,,1.27,,0.08,,0.766,,0.303,
,,,CMP 547,9.7,,1.92,,1.10,,0.08,0.08,0.563,,0.255,
,,,CMP 548,9.2,,1.92,,1.03,1.03,0.08,,0.485,0.494,0.240,
,,,CMP 549,9.0,,1.94,,1.00,,0.07,,0.455,,0.231,
,,,CMP 550,11.1,11.1,2.20,,1.38,,0.08,,0.533,,0.338,
,,,CMP 551,11.3,,2.63,2.65,1.42,,0.08,,0.766,,0.356,0.353
,,,CMP 552,11.9,,2.60,,1.58,,0.10,,0.882,,0.401,
,,,CMP 553,12.7,,2.47,,1.59,,0.09,,0.834,,0.408,
,,,CMP 554,13.1,,2.42,,1.58,,0.08,,0.824,,0.403,
,,,CMP 555,12.9,,2.28,,1.62,,0.06,,0.708,,0.415,
,,,CMP 556,12.2,,2.24,,1.61,,0.09,0.08,0.679,,0.408,
,,,CMP 557,11.3,,2.02,,1.42,1.41,0.09,,0.670,0.660,0.347,
,,,CMP 558,10.5,,1.94,,1.25,,0.09,,0.543,,0.300,
,,,CMP 559,9.4,,1.98,,1.08,,0.08,,0.582,,0.252,
,,,CMP 560,11.9,9.9,1.88,1.89,1.01,,0.08,,0.979,,0.237,0.236
,,,CMP 561,15.8,,2.63,,1.72,,0.05,,0.892,,0.591,
,,,CMP 562,17.5,,2.48,,1.39,,0.02,,0.882,,0.583,
,,,CMP 563,20.6,,2.20,,1.23,,0.03,,0.834,,0.577,
,,,CMP 564,18.0,,2.29,,1.15,,0.03,,0.911,,0.585,
,,,CMP 565,18.0,,2.23,,1.08,,0.04,0.04,0.892,,0.588,
,,,CMP 566,16.8,,2.37,,1.32,1.33,0.05,,0.940,0.931,0.577,
,,,CMP 567,15.3,,3.11,,2.26,,0.05,,1.055,,0.628,
,,,CMP 568,14.1,,2.94,,2.05,,0.06,,0.959,,0.554,
,,,CMP 569,13.4,,2.73,2.76,1.89,,0.06,,0.689,,0.496,0.495
,,,CMP 570,13.0,13.0,2.60,,1.78,,0.07,,0.776,,0.464,
,,,CMP 571,12.5,,2.55,,1.75,,0.06,,0.766,,0.443,
,,,CMP 572,12.7,,2.66,,1.76,,0.07,,0.737,,0.458,
,,,CMP 573,14.0,,2.68,,1.88,,0.06,,0.757,,0.498,
,,,CMP 574,14.2,,2.89,,2.00,,0.06,0.07,0.853,,0.551,
,,,CMP 575,15.2,,2.98,,2.06,2.05,0.05,,0.931,0.921,0.599,
,,,CMP 576,16.1,,2.73,,1.68,,0.05,,0.940,,0.599,
,,,CMP 577,16.7,,2.49,,1.51,,0.04,,0.863,,0.600,
,,,CMP 578,16.3,,2.61,2.67,1.70,,0.05,,0.882,,0.597,0.597
,,,CMP 579,15.6,,2.92,,1.89,,0.05,,0.921,,0.579,
,,,CMP 580,14.5,14.5,2.76,,1.92,,0.06,,0.834,,0.538,
,,,CMP 581,13.9,,2.67,,1.85,,0.07,,0.786,,0.501,
,,,CMP 582,13.1,,2.76,,1.80,,0.06,,0.786,,0.481,
,,,CMP 583,13.9,,2.67,,1.83,,0.07,0.06,0.747,,0.489,
,,,CMP 584,15.8,,2.73,,1.91,1.89,0.07,,0.786,0.786,0.521,
,,,CMP 585,17.1,,2.73,,1.76,,0.00,,0.921,,0.557,
,,,CMP 586,16.9,,2.76,,1.70,,0.06,,0.969,,0.571,
,,,CMP 587,16.9,,2.79,2.81,1.73,,0.06,,0.969,,0.591,0.586
,,,CMP 588,17.0,,2.84,,1.76,,0.07,,0.959,,0.608,
,,,CMP 589,17.3,,3.25,,1.84,,0.07,,1.027,,0.627,
,,,CMP 590,17.4,17.4,3.10,,1.87,,0.07,,1.123,,0.625,
,,,CMP 591,15.9,,2.65,,1.61,,0.06,,1.113,,0.577,
,,,CMP 592,15.1,,2.97,,1.98,,0.05,0.05,1.123,,0.610,
,,,CMP 593,14.1,,3.12,,2.05,2.03,0.05,,1.103,1.094,0.563,
,,,CMP 594,13.3,,2.92,,1.89,,0.08,,0.959,,0.516,
,,,CMP 595,12.9,,2.63,,1.85,,0.08,,0.882,,0.495,
,,,CMP 596,12.5,,2.56,2.61,1.85,,0.07,,0.844,,0.484,0.483
,,,CMP 597,13.2,,2.84,,1.91,,0.04,,0.824,,0.520,
,,,CMP 598,14.2,,3.05,,2.04,,0.05,,0.873,,0.575,
,,,CMP 599,15.2,,2.88,,1.85,,0.04,,0.979,,0.594,
,,,CMP 600,15.8,15.9,2.65,,1.64,,0.05,,0.902,,0.575,
,,,CMP 601,15.7,,2.62,,1.64,,0.06,0.07,1.084,,0.574,
,,,CMP 602,15.6,,2.71,,1.64,1.63,0.06,,1.007,1.007,0.575,
,,,CMP 603,15.6,,2.68,,1.71,,0.06,,0.882,,0.569,
,,,CMP 604,14.7,,2.86,,1.88,,0.06,,0.940,,0.569,
,,,CMP 605,13.9,,2.78,2.79,1.91,,0.07,,0.882,,0.543,0.543
,,,CMP 606,13.4,,2.80,,1.87,,0.04,,0.873,,0.518,
,,,CMP 607,13.2,,2.75,,1.88,,0.08,,0.882,,0.512,
,,,CMP 608,14.6,,2.82,,1.90,1.89,0.07,0.07,0.872,0.872,0.538,
1,7/10/2018,FM,CMP 609,12.4,,1.54,,0.73,,0.00,,0.228,,0.204,
2,7/10/2018,FM,CMP 610,13.5,,1.80,1.76,1.12,,0.01,,0.328,,0.311,
3,7/10/2018,FM,CMP 611,15.0,,1.98,,1.33,,0.00,,0.415,,0.394,
4,7/10/2018,FM,CMP 612,14.7,,2.10,,1.29,,0.02,,0.499,,0.465,
5,7/10/2018,FM,CMP 613,12.5,,1.71,,1.09,,0.00,,0.327,,0.304,
6,7/10/2018,FM,CMP 614,12.5,,1.80,,1.19,,0.03,,0.389,,0.356,
7,7/10/2018,FM,CMP 615,12.5,,1.62,,1.01,,0.01,,0.292,,0.280,0.280
8,7/10/2018,FM,CMP 616,10.6,,1.20,,0.55,,0.00,,0.258,0.258,0.134,
9,7/10/2018,FM,CMP 617,8.7,,1.28,,0.68,0.69,0.07,0.07,0.212,,0.183,
10,7/10/2018,FM,CMP 618,6.6,6.9,1.06,,0.51,,0.02,,0.182,,0.115,
11,7/10/2018,FM,CMP 619,6.5,,1.03,,0.49,,0.02,,0.119,,0.109,
12,7/10/2018,FM,CMP 620,6.8,,1.16,,0.51,,0.05,,0.182,,0.128,
13,7/10/2018,FM,CMP 621,10.3,,1.57,,0.73,,0.03,,0.327,,0.217,
14,7/10/2018,FM,CMP 622,12.1,,1.59,1.51,0.87,,0.02,,0.364,,0.262,
15,7/10/2018,FM,CMP 623,13.7,,1.82,,0.98,,0.11,,0.334,,0.305,
16,7/10/2018,FM,CMP 624,15.2,,1.71,,0.96,,0.02,,0.349,,0.328,0.325
17,7/10/2018,FM,CMP 625,15.2,,1.86,1.84,0.89,,0.00,,0.379,0.379,0.338,
18,7/10/2018,FM,CMP 626,16.9,,1.79,,0.81,0.81,0.00,0.00,0.395,,0.337,
