Site,Bottle,Date,ID,EC_uScm,pH,Turbidity_ntu,TP_mgL,TDP_mgL,PO4P_mgL,TN_mgL,TDN_mgL,DON_mgL,NH4N_mgL,NO3N_mgL,DOC_mgL,TSS_mgL,VSS_mgL
SD,19,6/12/2017,CMP 43,1.62,7.39,79.2,0.538,0.34,0.272,2.62,2.55,1.65,0.02,0.88,23.7,71.4,12.8
SD,20,6/12/2017,CMP 44,1.63,7.4,76.5,0.611,0.365,0.283,3.22,3.15,2.2,0.04,0.91,25.5,76,14
SD,21,6/12/2017,CMP 45,1.72,7.86,90.5,0.685,0.371,0.319,3.08,2.96,1.91,0.04,1.01,26.8,82.8,16.3
HL,22,6/13/2017,CMP 46,1.9,7.91,85.5,0.749,0.395,0.35,3.23,2.99,1.86,0.02,1.1,16.9,55.2,8.6
HL,23,6/13/2017,CMP 47,2.13,7.78,74.7,0.723,0.371,0.317,3.38,3.16,2.13,0.04,0.99,21.2,63.3,10.2
HL,24,6/13/2017,CMP 48,2.47,7.78,81.8,0.778,0.334,0.241,4.23,2.71,2.05,0.05,0.61,24.8,59.8,10.6
HL,1,6/13/2017,CMP 49,2.16,8.36,73.9,1.209,0.946,0.865,5.74,5.21,1.66,0.03,3.52,15.8,58.1,8.1
HL,2,6/13/2017,CMP 50,2.09,8.27,76,1.053,0.787,0.703,5.5,4.23,1.4,0.05,2.78,14.7,55,8.7
HL,3,6/13/2017,CMP 51,2.07,8.34,68.6,0.952,0.665,0.581,4.78,3.77,1.6,0.05,2.11,15.5,64.4,10.2
HL,4,6/13/2017,CMP 52,2.02,8.33,63.4,0.832,0.598,0.551,3.89,3.66,1.74,0.06,1.86,14.3,58.3,9.8
HL,5,6/13/2017,CMP 53,2.06,8.27,50.6,0.823,0.616,0.565,4.22,3.13,1.12,0.05,1.96,14.3,46.2,8.5
HL,6,6/13/2017,CMP 54,2.09,8.3,47.5,0.878,0.665,0.607,4.49,3.72,1.46,0.05,2.21,14.8,41.3,7.1
HL,7,6/13/2017,CMP 55,2.1,8.33,44,0.933,0.751,0.7,4.36,4.07,1.3,0.06,2.71,14,35,5.6
HL,8,6/13/2017,CMP 56,2.14,8.37,43.5,1.071,0.842,0.782,5.11,4.76,1.53,0.06,3.17,14.3,38.7,5.1
HL,9,6/13/2017,CMP 57,2.15,8.42,44.4,1.098,0.867,0.809,5.48,5.3,1.96,0.05,3.29,17.4,40.4,6.3
HL,10,6/13/2017,CMP 58,2.12,8.33,51.2,1.043,0.775,0.738,4.99,4.48,1.44,0.06,2.97,13.9,48.1,8.1
HL,11,6/13/2017,CMP 59,2.18,8.37,47.7,0.933,0.745,0.66,4.72,4.48,1.88,0.05,2.55,14.3,30.3,6.1
HL,12,6/13/2017,CMP 60,2.1,8.37,47.5,0.887,0.677,0.629,4.99,3.44,1.04,0.06,2.34,14.9,38.8,7
HL,13,6/13/2017,CMP 61,2.05,8.34,49.1,0.832,0.616,0.579,4.66,3.58,1.49,0.06,2.04,14.5,44.3,6
HL,14,6/13/2017,CMP 62,2.01,8.33,49.3,0.823,0.61,0.531,3.95,3.09,1.19,0.07,1.83,13.7,43,7.7
HL,15,6/13/2017,CMP 63,2.01,8.33,48.7,0.859,0.598,0.534,3.98,2.85,0.96,0.06,1.83,13.3,46.3,8.2
HL,16,6/13/2017,CMP 64,2.05,8.24,48.3,0.823,0.61,0.579,3.98,3.66,1.56,0.07,2.04,13.6,40.8,7.4
HL,17,6/13/2017,CMP 65,2.08,8.34,42.1,0.869,0.689,0.63,4.77,3.56,1.17,0.06,2.33,13.5,40.9,7.5
HL,18,6/13/2017,CMP 66,2.11,8.31,46.2,0.942,0.763,0.681,5.02,4.36,1.65,0.06,2.66,14.4,42.2,7.6
HL,19,6/13/2017,CMP 67,2.23,8.18,46.6,1.053,0.83,0.769,4.71,4.36,1.51,0.01,2.84,14.8,43.3,9.2
HL,20,6/13/2017,CMP 68,2.4,8.26,54.7,0.961,0.726,0.684,3.77,3.31,1.57,0.04,1.71,14.9,49.5,9.1
HL,21,6/13/2017,CMP 69,2.49,8.27,43.2,0.915,0.702,0.652,3.44,3.2,1.87,0.04,1.29,15.5,44.3,7.8
HL,22,6/13/2017,CMP 70,2.52,8.34,43.9,0.924,0.696,0.643,3.31,3.15,1.99,0.03,1.12,15.4,43.6,7.9
HL,23,6/13/2017,CMP 71,2.52,8.23,36.8,0.896,0.708,0.641,3.83,2.82,1.74,0.03,1.05,15.6,32.7,5.9
HL,24,6/13/2017,CMP 72,2.42,8.21,37.8,0.896,0.683,0.643,3.09,2.86,1.37,0.05,1.44,15.6,36.6,6.8
WL ,1,6/14/2017,CMP 73,2.27,8.2,14.9,0.538,0.291,0.215,2.55,1.96,1.94,0.01,0.01,25.5,13.8,8
WL ,2,6/14/2017,CMP 74,2.24,8.13,20.9,0.795,0.518,0.466,2.87,2.78,2.01,0.01,0.77,18.3,19.7,5.6
WL ,3,6/14/2017,CMP 75,2.25,7.93,12.5,0.565,0.365,0.305,3.22,1.93,1.61,0.01,0.31,21.4,15.9,6.3
WL ,4,6/14/2017,CMP 76,2.25,7.97,19.4,0.593,0.383,0.325,2.34,1.96,1.59,0.01,0.36,21.1,19.5,6.9
WL ,5,6/14/2017,CMP 77,2.37,7.95,19.6,0.602,0.426,0.337,2.97,1.89,1.57,0.02,0.3,21.4,17.4,6.3
WL ,6,6/14/2017,CMP 78,2.44,8.1,25.8,0.63,0.426,0.369,2.63,2,1.51,0.02,0.48,18.5,22.5,6.6
WL ,7,6/14/2017,CMP 79,2.38,8.06,24,0.814,0.583,0.548,3.25,2.35,1.48,0.01,0.86,16.5,25.9,6.2
PT,1,6/14/2017,CMP 80,2.37,8.38,70.6,1.108,0.792,0.776,4.82,4.11,1.2,0.04,2.86,14.4,54.3,9.4
PT,2,6/14/2017,CMP 81,2.16,8.27,69.8,1.13,0.865,0.777,4.43,4.08,0.87,0.05,3.16,13.5,69.2,10.3
